Number of features,Number of samples,Execution time,Fitness,Train score,Number of clusters,Algorithm,Scoring method
110,403,0.0716,0.5662,0.0,2,1,1
1366,403,0.1462,0.5651,0.0,2,1,1
167,403,0.0806,0.5655,0.0,2,1,1
1388,582,0.1696,0.5063,0.0,2,1,1
134,403,0.0755,0.575,0.0,2,1,1
1026,582,0.1769,0.5063,0.0,2,1,1
1226,582,0.1751,0.5063,0.0,2,1,1
102,403,0.0838,0.5903,0.0,2,1,1
117,403,0.0762,0.583,0.0,2,1,1
959,582,0.1629,0.5462,0.0,2,1,1
606,510,0.1348,0.7258,0.0,2,1,1
465,403,0.0933,0.5785,0.0,2,1,1
213,403,0.0747,0.5638,0.0,2,1,1
1386,582,0.1836,0.5063,0.0,2,1,1
1995,510,0.2044,0.6101,0.0,2,1,1
2078,403,0.198,0.5617,0.0,2,1,1
1631,403,0.1966,0.5618,0.0,2,1,1
1053,510,0.1651,0.6992,0.0,2,1,1
245,403,0.0857,0.5859,0.0,2,1,1
434,403,0.095,0.5665,0.0,2,1,1
576,510,0.1212,0.741,0.0,2,1,1
285,403,0.0901,0.5634,0.0,2,1,1
5772,510,0.4726,0.6109,0.0,2,1,1
3291,582,0.396,0.5063,0.0,2,1,1
1657,582,0.1942,0.5063,0.0,2,1,1
958,582,0.1629,0.5063,0.0,2,1,1
840,510,0.1269,0.7353,0.0,2,1,1
434,510,0.088,0.7467,0.0,2,1,1
611,403,0.1041,0.5773,0.0,2,1,1
600,510,0.1156,0.7178,0.0,2,1,1
561,510,0.1028,0.7257,0.0,2,1,1
6272,403,0.4587,0.562,0.0,2,1,1
1383,582,0.1993,0.5063,0.0,2,1,1
7525,403,0.4153,0.5626,0.0,2,1,1
1170,510,0.1569,0.7014,0.0,2,1,1
3702,403,0.2756,0.5577,0.0,2,1,1
4083,510,0.3924,0.6174,0.0,2,1,1
969,582,0.1824,0.5402,0.0,2,1,1
171,403,0.0784,0.584,0.0,2,1,1
100,403,0.0788,0.5666,0.0,2,1,1
8842,403,0.7258,0.5674,0.0,2,1,1
439,403,0.1366,0.5015,0.0,2,1,1
3691,582,0.3891,0.5063,0.0,2,1,1
711,510,0.1294,0.7078,0.0,2,1,1
700,510,0.12,0.7364,0.0,2,1,1
6906,403,0.4988,0.5627,0.0,2,1,1
1447,582,0.2201,0.5511,0.0,2,1,1
1136,403,0.1441,0.5635,0.0,2,1,1
713,510,0.1215,0.6143,0.0,2,1,1
262,403,0.0879,0.5683,0.0,2,1,1
5667,582,0.5249,0.5063,0.0,2,1,1
873,510,0.1307,0.7227,0.0,2,1,1
727,510,0.1311,0.7235,0.0,2,1,1
3356,403,0.2692,0.5612,0.0,2,1,1
103,403,0.0735,0.5705,0.0,2,1,1
356,403,0.0887,0.5785,0.0,2,1,1
275,403,0.078,0.5785,0.0,2,1,1
1003,403,0.1264,0.5589,0.0,2,1,1
1905,582,0.2131,0.5063,0.0,2,1,1
7028,582,0.6817,0.5063,0.0,2,1,1
1389,403,0.1579,0.5622,0.0,2,1,1
467,403,0.099,0.5733,0.0,2,1,1
956,582,0.1529,0.5063,0.0,2,1,1
7416,510,0.6476,0.6089,0.0,2,1,1
842,510,0.1275,0.6045,0.0,2,1,1
1105,403,0.1296,0.5624,0.0,2,1,1
126,403,0.073,0.5814,0.0,2,1,1
270,403,0.0813,0.5711,0.0,2,1,1
672,403,0.1039,0.5544,0.0,2,1,1
970,582,0.1604,0.5063,0.0,2,1,1
1318,582,0.2036,0.5063,0.0,2,1,1
2953,403,0.249,0.5659,0.0,2,1,1
700,510,0.1176,0.7085,0.0,2,1,1
2106,510,0.2072,0.6131,0.0,2,1,1
3353,582,0.3133,0.5063,0.0,2,1,1
3564,510,0.3139,0.6134,0.0,2,1,1
237,403,0.0874,0.5648,0.0,2,1,1
1890,510,0.1922,0.6125,0.0,2,1,1
1406,403,0.1423,0.5551,0.0,2,1,1
959,510,0.1263,0.6075,0.0,2,1,1
1162,582,0.1828,0.5063,0.0,2,1,1
1925,582,0.2706,0.5477,0.0,2,1,1
1185,510,0.1363,0.6131,0.0,2,1,1
126,403,0.0711,0.5986,0.0,2,1,1
1027,510,0.143,0.7175,0.0,2,1,1
180,403,0.0757,0.5783,0.0,2,1,1
979,510,0.1289,0.6137,0.0,2,1,1
1491,403,0.1667,0.5705,0.0,2,1,1
4099,510,0.4052,0.6113,0.0,2,1,1
1111,510,0.1534,0.617,0.0,2,1,1
961,582,0.1748,0.5063,0.0,2,1,1
1090,510,0.1529,0.6885,0.0,2,1,1
102,403,0.0738,0.5653,0.0,2,1,1
1829,510,0.1783,0.6159,0.0,2,1,1
134,403,0.0752,0.5487,0.0,2,1,1
4481,403,0.3156,0.567,0.0,2,1,1
446,403,0.1009,0.5546,0.0,2,1,1
118,403,0.0686,0.5875,0.0,2,1,1
684,403,0.1554,0.5015,0.0,2,1,1
5207,403,0.3554,0.5586,0.0,2,1,1
1853,510,0.2081,0.7206,0.0,2,1,1
2444,510,0.2409,0.6089,0.0,2,1,1
1033,510,0.1409,0.6121,0.0,2,1,1
1754,582,0.2448,0.5063,0.0,2,1,1
988,582,0.1934,0.5637,0.0,2,1,1
1078,582,0.1668,0.5063,0.0,2,1,1
934,582,0.1546,0.5063,0.0,2,1,1
108,403,0.0687,0.5868,0.0,2,1,1
1132,582,0.1851,0.5063,0.0,2,1,1
3834,582,0.4033,0.5063,0.0,2,1,1
418,403,0.094,0.5713,0.0,2,1,1
1389,510,0.1534,0.6162,0.0,2,1,1
1078,582,0.1662,0.5063,0.0,2,1,1
111,403,0.0757,0.5979,0.0,2,1,1
967,582,0.1507,0.5063,0.0,2,1,1
2588,403,0.2465,0.5015,0.0,2,1,1
1499,582,0.2095,0.5184,0.0,2,1,1
972,582,0.1417,0.5063,0.0,2,1,1
105,403,0.0752,0.5919,0.0,2,1,1
1065,582,0.1625,0.5063,0.0,2,1,1
4192,510,0.4284,0.6102,0.0,2,1,1
1468,582,0.1687,0.5063,0.0,2,1,1
1754,582,0.2286,0.5063,0.0,2,1,1
1242,510,0.1588,0.6289,0.0,2,1,1
696,510,0.1299,0.7432,0.0,2,1,1
233,403,0.0768,0.5693,0.0,2,1,1
946,582,0.1479,0.5063,0.0,2,1,1
3093,403,0.2721,0.5619,0.0,2,1,1
972,582,0.1707,0.545,0.0,2,1,1
184,403,0.0721,0.573,0.0,2,1,1
1550,582,0.2132,0.5063,0.0,2,1,1
5081,403,0.3468,0.5692,0.0,2,1,1
3336,510,0.2835,0.6168,0.0,2,1,1
856,510,0.1257,0.7331,0.0,2,1,1
565,510,0.1015,0.7131,0.0,2,1,1
2485,403,0.2109,0.5563,0.0,2,1,1
958,582,0.1695,0.4928,0.0,2,1,1
493,510,0.1057,0.7318,0.0,2,1,1
122,403,0.0812,0.5945,0.0,2,1,1
4429,510,0.3743,0.6111,0.0,2,1,1
144,403,0.0763,0.5725,0.0,2,1,1
962,582,0.168,0.5504,0.0,2,1,1
1076,510,0.1457,0.5985,0.0,2,1,1
6003,403,0.4418,0.5572,0.0,2,1,1
8616,582,0.9414,0.5063,0.0,2,1,1
555,403,0.1019,0.5716,0.0,2,1,1
568,403,0.1119,0.5741,0.0,2,1,1
7416,510,0.7311,0.6089,0.0,2,1,1
105,403,0.0842,0.5749,0.0,2,1,1
148,403,0.0727,0.5815,0.0,2,1,1
111,403,0.0705,0.576,0.0,2,1,1
5821,510,0.4891,0.6046,0.0,2,1,1
834,510,0.1274,0.6092,0.0,2,1,1
6004,510,0.5275,0.6101,0.0,2,1,1
576,510,0.1062,0.7382,0.0,2,1,1
747,510,0.1336,0.7225,0.0,2,1,1
101,403,0.073,0.5882,0.0,2,1,1
320,403,0.0889,0.5657,0.0,2,1,1
1158,582,0.1869,0.5063,0.0,2,1,1
565,510,0.1083,0.7433,0.0,2,1,1
283,403,0.0823,0.5773,0.0,2,1,1
1330,510,0.1592,0.6173,0.0,2,1,1
240,403,0.0795,0.5855,0.0,2,1,1
161,403,0.0733,0.5759,0.0,2,1,1
155,403,0.0805,0.5742,0.0,2,1,1
2636,510,0.2697,0.6121,0.0,2,1,1
451,510,0.1056,0.7382,0.0,2,1,1
106,403,0.0719,0.5833,0.0,2,1,1
115,403,0.0766,0.5845,0.0,2,1,1
970,582,0.1584,0.5063,0.0,2,1,1
1433,403,0.1282,0.5614,0.0,2,1,1
934,582,0.1596,0.5457,0.0,2,1,1
1959,403,0.1795,0.5556,0.0,2,1,1
1317,582,0.1941,0.5063,0.0,2,1,1
3563,582,0.356,0.5063,0.0,2,1,1
941,582,0.1539,0.5063,0.0,2,1,1
950,582,0.1664,0.5466,0.0,2,1,1
970,582,0.1502,0.5063,0.0,2,1,1
1673,582,0.2611,0.4999,0.0,2,1,1
4454,582,0.4811,0.5063,0.0,2,1,1
105,403,0.0662,0.5888,0.0,2,1,1
461,510,0.1208,0.7455,0.0,2,1,1
1240,510,0.1536,0.6973,0.0,2,1,1
908,510,0.1377,0.7287,0.0,2,1,1
948,582,0.1526,0.5063,0.0,2,1,1
3885,582,0.5017,0.5063,0.0,2,1,1
940,582,0.1495,0.5253,0.0,2,1,1
1012,582,0.1778,0.5472,0.0,2,1,1
3849,403,0.2642,0.5552,0.0,2,1,1
1064,582,0.1466,0.5063,0.0,2,1,1
