Number of features,Number of samples,Execution time,Fitness,Train score,Test time,Number of trees
12113,149,4.3094,0.602,0.0,0.186,10
6056,149,3.6025,0.5676,0.0,0.1004,10
5066,149,3.0575,0.6387,0.0,0.051,10
12818,149,2.3888,0.6104,0.0,0.0892,10
3249,149,3.7462,0.5814,0.0,0.0683,10
2664,149,3.4518,0.5982,0.0,0.0886,10
391,149,2.9395,0.5878,0.0,0.0719,10
3055,149,1.8129,0.5751,0.0,0.0316,10
5916,149,1.996,0.566,0.0,0.0457,10
7227,149,2.0983,0.6353,0.0,0.0605,10
12113,149,4.2905,0.5986,0.0,0.1787,10
6056,149,3.5602,0.5455,0.0,0.1212,10
5066,149,3.7955,0.6103,0.0,0.095,10
12818,149,2.4536,0.5624,0.0,0.0967,10
3249,149,1.8159,0.5706,0.0,0.0294,10
2664,149,1.8221,0.5646,0.0,0.0446,10
391,149,1.4369,0.5644,0.0,0.0209,10
3055,149,3.6965,0.534,0.0,0.082,10
5916,149,3.9002,0.5502,0.0,0.1556,10
7227,149,3.8818,0.5814,0.0,0.1445,10
9649,149,4.1351,0.6114,0.0,0.1311,10
7671,149,4.0853,0.5553,0.0,0.1452,10
7195,149,3.7481,0.6187,0.0,0.1354,10
12818,149,2.4483,0.6162,0.0,0.0967,10
6667,149,4.0587,0.5609,0.0,0.1198,10
6394,149,4.0216,0.5908,0.0,0.1405,10
5773,149,3.8576,0.5338,0.0,0.1423,10
6557,149,2.0491,0.6144,0.0,0.0481,10
7400,149,2.1192,0.6056,0.0,0.0627,10
8070,149,2.1168,0.5763,0.0,0.0596,10
8147,149,2.1983,0.5467,0.0,0.0725,10
7943,149,2.1186,0.6164,0.0,0.067,10
12818,149,2.4015,0.6063,0.0,0.0908,10
8801,149,2.1759,0.614,0.0,0.0742,10
7723,149,4.0995,0.6148,0.0,0.1338,10
7417,149,4.0754,0.5936,0.0,0.1587,10
7664,149,4.1307,0.5331,0.0,0.1633,10
7837,149,4.1673,0.5571,0.0,0.1489,10
7971,149,4.2008,0.6349,0.0,0.1597,10
8309,149,3.9708,0.604,0.0,0.1496,10
8440,149,4.2015,0.5284,0.0,0.1554,10
8170,149,4.0269,0.5473,0.0,0.1315,10
8157,149,4.2391,0.5734,0.0,0.2078,10
12818,149,2.5506,0.5805,0.0,0.1103,10
8139,149,2.21,0.6356,0.0,0.0612,10
8100,149,2.1028,0.5928,0.0,0.0642,10
7942,149,2.1147,0.5935,0.0,0.0573,10
8143,149,4.156,0.5809,0.0,0.1132,10
8128,149,4.3621,0.6214,0.0,0.1463,10
8347,149,3.9822,0.6426,0.0,0.137,10
6638,149,3.9709,0.5602,0.0,0.145,10
6627,149,3.9634,0.6331,0.0,0.1193,10
8316,149,4.1404,0.5569,0.0,0.1398,10
6649,149,2.0283,0.5881,0.0,0.0521,10
6618,149,4.0076,0.5943,0.0,0.1503,10
6546,149,3.9198,0.5758,0.0,0.1251,10
6575,149,3.9716,0.5718,0.0,0.1224,10
6613,149,2.2214,0.5983,0.0,0.0577,10
6628,149,2.1098,0.5959,0.0,0.0609,10
8347,149,2.1575,0.6026,0.0,0.0771,10
5940,149,3.8275,0.584,0.0,0.1432,10
5932,149,3.8692,0.6005,0.0,0.1263,10
6490,149,4.0664,0.5861,0.0,0.1447,10
5946,149,2.0873,0.6115,0.0,0.054,10
5948,149,3.9018,0.5479,0.0,0.1174,10
5892,149,4.0045,0.5627,0.0,0.1193,10
5942,149,3.5891,0.5946,0.0,0.1,10
5906,149,1.974,0.5667,0.0,0.0451,10
5992,149,2.0257,0.5784,0.0,0.0495,10
8347,149,2.1809,0.6234,0.0,0.0715,10
5643,149,2.0304,0.6154,0.0,0.0528,10
5675,149,1.9809,0.6194,0.0,0.055,10
5803,149,2.0135,0.6147,0.0,0.0446,10
5708,149,1.9972,0.6142,0.0,0.0484,10
5683,149,3.8814,0.5884,0.0,0.1205,10
5655,149,3.811,0.5757,0.0,0.1297,10
5646,149,3.9084,0.6109,0.0,0.1094,10
5644,149,3.9002,0.6069,0.0,0.1093,10
5681,149,4.0012,0.5795,0.0,0.1084,10
8347,149,3.8709,0.6049,0.0,0.1196,10
5468,149,3.9542,0.6308,0.0,0.1513,10
5510,149,3.8224,0.6005,0.0,0.1182,10
5590,149,3.8515,0.5851,0.0,0.1052,10
5483,149,2.006,0.6034,0.0,0.0577,10
5592,149,4.0144,0.596,0.0,0.1515,10
5512,149,3.8135,0.5863,0.0,0.1097,10
5478,149,3.7768,0.5464,0.0,0.0878,10
5494,149,2.1466,0.5736,0.0,0.054,10
5516,149,1.9908,0.5875,0.0,0.05,10
8347,149,2.1746,0.5345,0.0,0.0598,10
5440,149,3.8032,0.6131,0.0,0.1051,10
5412,149,3.7622,0.6083,0.0,0.1188,10
5477,149,3.7845,0.6197,0.0,0.1428,10
5491,149,2.177,0.5619,0.0,0.0415,10
5463,149,3.8088,0.5686,0.0,0.1337,10
5489,149,3.8718,0.5882,0.0,0.0968,10
5425,149,3.8424,0.5971,0.0,0.0974,10
5409,149,1.9713,0.6428,0.0,0.0487,10
5432,149,1.9765,0.6682,0.0,0.0438,10
8347,149,2.1533,0.6038,0.0,0.0746,10
4355,149,3.666,0.5728,0.0,0.0964,10
4379,149,3.7808,0.5707,0.0,0.1399,10
4363,149,3.6978,0.6357,0.0,0.1068,10
4339,149,1.9297,0.5659,0.0,0.0408,10
4401,149,3.7616,0.5454,0.0,0.1025,10
4309,149,3.5447,0.5904,0.0,0.1048,10
4387,149,3.6643,0.6281,0.0,0.0948,10
4381,149,1.8998,0.5823,0.0,0.0435,10
5432,149,2.0047,0.5827,0.0,0.0481,10
5376,149,1.9652,0.5952,0.0,0.0476,10
6150,149,2.014,0.5807,0.0,0.0544,10
7071,149,2.0911,0.5565,0.0,0.0557,10
5868,149,2.0173,0.5827,0.0,0.0443,10
13381,149,2.4814,0.5986,0.0,0.0946,10
3230,149,1.8425,0.5454,0.0,0.0343,10
13290,149,2.4227,0.6221,0.0,0.1001,10
5107,149,2.0335,0.6069,0.0,0.0492,10
3075,149,1.8464,0.5356,0.0,0.0342,10
916,149,1.6383,0.6107,0.0,0.0175,10
12582,149,2.4183,0.6124,0.0,0.1014,10
11647,149,2.3541,0.5696,0.0,0.0831,10
9736,149,2.2427,0.5827,0.0,0.0821,10
9186,149,2.2239,0.6382,0.0,0.0685,10
4078,149,1.8972,0.4879,0.0,0.0415,10
5389,149,1.9769,0.6079,0.0,0.0511,10
12548,149,2.3862,0.6042,0.0,0.0892,10
11715,149,2.4011,0.5819,0.0,0.0926,10
2608,149,1.7645,0.5543,0.0,0.0333,10
12020,149,2.368,0.6056,0.0,0.0855,10
10950,149,2.3231,0.5978,0.0,0.0843,10
10838,149,2.3623,0.5955,0.0,0.0907,10
9266,149,2.1966,0.6357,0.0,0.0686,10
4756,149,1.9263,0.6308,0.0,0.0375,10
10877,149,2.3419,0.5791,0.0,0.0948,10
6122,149,2.0721,0.6371,0.0,0.0542,10
8751,149,2.1774,0.6051,0.0,0.0621,10
5799,149,2.0047,0.6163,0.0,0.0495,10
14191,149,2.4867,0.5587,0.0,0.0998,10
2559,149,1.7721,0.5833,0.0,0.0238,10
12640,149,2.3982,0.6386,0.0,0.0903,10
2813,149,1.8264,0.4893,0.0,0.0332,10
1464,149,1.7002,0.6272,0.0,0.022,10
13312,149,2.3976,0.5643,0.0,0.0906,10
1063,149,1.6935,0.6006,0.0,0.0198,10
10728,149,2.3578,0.612,0.0,0.084,10
12323,149,2.4434,0.6098,0.0,0.1012,10
6987,149,2.1265,0.5573,0.0,0.0569,10
7038,149,2.1227,0.5879,0.0,0.0716,10
1899,149,1.7567,0.5768,0.0,0.0225,10
5652,149,2.0724,0.5964,0.0,0.0502,10
12258,149,2.3903,0.5989,0.0,0.085,10
1940,149,1.7834,0.6003,0.0,0.024,10
13544,149,2.48,0.6513,0.0,0.1021,10
11407,149,2.3446,0.5892,0.0,0.0819,10
14256,149,2.5198,0.6143,0.0,0.1003,10
14278,149,2.5523,0.5244,0.0,0.1023,10
8505,149,2.2302,0.5901,0.0,0.0754,10
13851,149,2.4711,0.587,0.0,0.095,10
7779,149,2.1468,0.6385,0.0,0.057,10
11933,149,2.3553,0.6463,0.0,0.0864,10
7438,149,2.1842,0.6157,0.0,0.0635,10
8711,149,2.2259,0.5919,0.0,0.0666,10
4626,149,1.9949,0.5672,0.0,0.0447,10
10579,149,2.366,0.6017,0.0,0.0919,10
2854,149,1.847,0.5322,0.0,0.0338,10
10706,149,2.3357,0.5734,0.0,0.0816,10
7746,149,2.1519,0.5852,0.0,0.0562,10
5808,149,2.0449,0.5989,0.0,0.0649,10
10439,149,2.3221,0.5956,0.0,0.0675,10
3430,149,1.8801,0.5705,0.0,0.0322,10
4984,149,1.9557,0.5953,0.0,0.0487,10
8634,149,2.2008,0.5924,0.0,0.0574,10
2753,149,1.8275,0.5619,0.0,0.0264,10
10874,149,2.3161,0.6428,0.0,0.0859,10
873,149,1.5398,0.5551,0.0,0.0159,10
