Number of features,Number of samples,Execution time,Fitness,Train score,Test time,Number of iterations,Time by iteration,Max iterations,Optimizer,Kernel
86,100,2.6497,0.4457,0.0,0.0036,28,0.0139,1000,avltree,1
8,100,1.9527,0.5482,0.0,0.0025,7,0.0038,1000,avltree,1
48,100,2.6195,0.5523,0.0,0.0032,24,0.015,1000,avltree,1
36,100,2.3056,0.5536,0.0,0.0042,23,0.0127,1000,avltree,1
63,100,3.7481,0.3682,0.0,0.004,33,0.0465,1000,avltree,1
41,100,2.1379,0.5464,0.0,0.0047,21,0.0158,1000,avltree,1
75,100,3.4972,0.4414,0.0,0.0075,39,0.0406,1000,avltree,1
9,100,1.9717,0.6483,0.0,0.0029,10,0.0042,1000,avltree,1
42,100,2.3184,0.5285,0.0,0.0033,19,0.0126,1000,avltree,1
58,100,3.2343,0.5871,0.0,0.003,34,0.0358,1000,avltree,1
83,100,2.715,0.4885,0.0,0.0035,25,0.0187,1000,avltree,1
117,100,2.1743,0.6068,0.0,0.0033,22,0.0074,1000,avltree,1
14,100,2.1985,0.3479,0.0,0.0038,11,0.0046,1000,avltree,1
33,100,2.0641,0.7598,0.0,0.0031,19,0.01,1000,avltree,1
102,100,2.4147,0.5437,0.0,0.0035,20,0.0097,1000,avltree,1
37,100,2.3085,0.5376,0.0,0.0032,19,0.0185,1000,avltree,1
31,100,2.3235,0.8144,0.0,0.0032,17,0.0189,1000,avltree,1
23,100,1.9767,0.4063,0.0,0.003,14,0.0106,1000,avltree,1
78,100,3.3267,0.462,0.0,0.0036,31,0.0219,1000,avltree,1
113,100,1.7522,0.51,0.0,0.0026,36,0.0087,1000,avltree,1
41,100,2.4099,0.5138,0.0,0.0028,22,0.0173,1000,avltree,1
101,100,2.4199,0.5476,0.0,0.0063,22,0.0131,1000,avltree,1
91,100,2.8803,0.5815,0.0,0.0035,30,0.0191,1000,avltree,1
8,100,2.1525,0.5982,0.0,0.0028,9,0.0036,1000,avltree,1
10,100,1.9355,0.6539,0.0,0.0026,9,0.0053,1000,avltree,1
76,100,3.0993,0.6222,0.0,0.0061,33,0.02,1000,avltree,1
120,100,2.3562,0.5954,0.0,0.0069,22,0.0113,1000,avltree,1
18,100,2.1699,0.4945,0.0,0.0055,14,0.0097,1000,avltree,1
9,100,1.9955,0.4808,0.0,0.0043,9,0.0065,1000,avltree,1
42,100,2.4457,0.4916,0.0,0.0046,25,0.0205,1000,avltree,1
118,100,2.4097,0.5409,0.0,0.0036,17,0.014,1000,avltree,1
109,100,2.4,0.6114,0.0,0.0029,25,0.0118,1000,avltree,1
95,100,2.5301,0.5769,0.0,0.0068,26,0.0144,1000,avltree,1
80,100,2.9109,0.4797,0.0,0.0036,25,0.0168,1000,avltree,1
21,100,1.9018,0.3864,0.0,0.0028,12,0.0064,1000,avltree,1
7,100,1.8868,0.4784,0.0,0.0024,7,0.0038,1000,avltree,1
52,100,2.7437,0.5137,0.0,0.0033,27,0.017,1000,avltree,1
118,100,2.6317,0.5529,0.0,0.0036,30,0.0153,1000,avltree,1
110,100,2.3624,0.5289,0.0,0.0037,23,0.0169,1000,avltree,1
79,100,2.8057,0.616,0.0,0.0045,33,0.0244,1000,avltree,1
41,100,1.3698,0.4245,0.0,0.0024,21,0.0077,1000,avltree,1
5,100,1.1265,0.5314,0.0,0.0019,5,0.0025,1000,avltree,1
55,100,1.5831,0.6417,0.0,0.0023,29,0.0103,1000,avltree,1
31,100,1.23,0.6463,0.0,0.0025,16,0.0063,1000,avltree,1
99,100,1.5098,0.629,0.0,0.0029,31,0.0095,1000,avltree,1
31,100,1.2578,0.4873,0.0,0.0022,17,0.0044,1000,avltree,1
2,100,1.1446,0.536,0.0,0.0017,3,0.0031,1000,avltree,1
88,100,1.6012,0.5841,0.0,0.0025,27,0.0079,1000,avltree,1
105,100,1.5269,0.5526,0.0,0.0026,24,0.0063,1000,avltree,1
115,100,1.3609,0.5695,0.0,0.0032,29,0.0065,1000,avltree,1
130,100,1.32,0.5688,0.0,0.0029,24,0.0063,1000,avltree,1
20,100,1.1641,0.6149,0.0,0.0024,13,0.0034,1000,avltree,1
79,100,1.7007,0.5931,0.0,0.0028,35,0.0129,1000,avltree,1
120,100,1.3496,0.5747,0.0,0.0026,27,0.0064,1000,avltree,1
96,100,1.5646,0.5896,0.0,0.0025,34,0.0079,1000,avltree,1
39,100,1.3459,0.6639,0.0,0.0023,23,0.0075,1000,avltree,1
75,100,1.7358,0.4954,0.0,0.0024,23,0.0082,1000,avltree,1
11,100,1.1331,0.4268,0.0,0.0019,11,0.0025,1000,avltree,1
40,100,1.3264,0.6605,0.0,0.0023,21,0.0064,1000,avltree,1
86,100,1.4164,0.5639,0.0,0.0031,26,0.0124,1000,avltree,1
86,100,2.7684,0.4457,0.0,0.0035,32,0.014,1000,avltree,1
8,100,1.8959,0.5482,0.0,0.003,7,0.0041,1000,avltree,1
48,100,2.3569,0.5523,0.0,0.0032,23,0.0149,1000,avltree,1
36,100,2.3516,0.5536,0.0,0.0031,24,0.0136,1000,avltree,1
63,100,3.5162,0.3916,0.0,0.0034,29,0.0372,1000,avltree,1
41,100,2.3324,0.5464,0.0,0.0046,21,0.0154,1000,avltree,1
75,100,3.4399,0.4288,0.0,0.0035,32,0.0333,1000,avltree,1
9,100,1.9845,0.6483,0.0,0.0028,10,0.0061,1000,avltree,1
42,100,2.0673,0.5285,0.0,0.0037,22,0.0208,1000,avltree,1
58,100,3.0551,0.5871,0.0,0.0034,31,0.0235,1000,avltree,1
83,100,2.9953,0.5031,0.0,0.0036,29,0.0235,1000,avltree,1
117,100,2.5752,0.5814,0.0,0.0034,28,0.0095,1000,avltree,1
14,100,2.0891,0.3479,0.0,0.0029,11,0.0047,1000,avltree,1
33,100,2.2868,0.7598,0.0,0.0031,20,0.0142,1000,avltree,1
102,100,2.5691,0.5915,0.0,0.0061,29,0.0183,1000,avltree,1
37,100,2.1793,0.5376,0.0,0.0032,17,0.0176,1000,avltree,1
31,100,1.7846,0.8144,0.0,0.0064,18,0.0118,1000,avltree,1
23,100,2.2294,0.4063,0.0,0.003,14,0.0063,1000,avltree,1
78,100,3.2467,0.4795,0.0,0.0034,24,0.0153,1000,avltree,1
113,100,1.6588,0.5015,0.0,0.0029,23,0.0087,1000,avltree,1
41,100,1.3197,0.5138,0.0,0.0023,21,0.0072,1000,avltree,1
101,100,1.5519,0.5116,0.0,0.0025,35,0.0093,1000,avltree,1
91,100,1.7411,0.5731,0.0,0.0025,35,0.0105,1000,avltree,1
8,100,1.1486,0.5982,0.0,0.002,9,0.0023,1000,avltree,1
