iteration,mean_n_stars_execution,mean_binpacking_execution,mean_smart_execution,std_n_stars_execution,std_binpacking_execution,std_smart_execution,strategy_min_execution,mean_n_stars_idle,mean_binpacking_idle,mean_smart_idle,std_n_stars_idle,std_binpacking_idle,std_smart_idle,strategy_min_idle
1,109141.268,109891.103,110323.867 (=),28124.887,22449.361,27269.019,n_stars,99719.714,56851.696,90498.053 (=),28124.887,22449.361,27269.019,binpacking
2,105760.706,106367.422,103566.98 (=),26241.615,21729.28,11910.527,smart,75212.325,55191.52,23122.345 (+),26241.615,21729.28,11910.527,smart
3,106958.594,106918.781,104129.554 (=),30181.233,21855.664,12227.489,smart,84718.084,55341.101,23353.711 (+),30181.233,21855.664,12227.489,smart
4,111116.824,111767.057,108962.636 (=),27844.832,22881.81,12523.488,smart,73789.804,58024.056,23687.263 (+),27844.832,22881.81,12523.488,smart
5,111575.548,112160.548,109260.373 (=),25890.108,22822.818,12752.746,smart,65773.552,58715.559,22740.253 (+),25890.108,22822.818,12752.746,smart
6,111233.704,110407.901,107632.857 (=),35848.784,22630.648,11810.551,smart,98331.147,57845.278,22469.891 (+),35848.784,22630.648,11810.551,smart
7,113334.125,113814.863,110939.986 (=),31913.691,23271.65,12611.152,smart,104546.301,59067.619,22078.466 (+),31913.691,23271.65,12611.152,smart
8,114664.284,116300.532,113309.088 (=),25297.46,23826.685,12234.905,smart,62900.892,60487.926,23045.289 (+),25297.46,23826.685,12234.905,smart
9,112568.311,112482.68,109649.062 (=),31088.145,23032.638,11999.405,smart,80286.392,58417.537,21953.733 (+),31088.145,23032.638,11999.405,smart
10,114228.932,115538.499,112985.128 (=),27203.785,23491.03,15316.343,smart,101162.899,59799.858,50115.502 (=),27203.785,23491.03,15316.343,smart
11,116789.232,117380.902,114684.346 (=),24986.732,24064.215,12638.324,smart,64809.363,61308.879,22248.693 (+),24986.732,24064.215,12638.324,smart
12,117195.513,116444.135,113494.999 (=),34236.994,23425.386,11845.984,smart,93773.678,58918.332,22401.269 (+),34236.994,23425.386,11845.984,smart
13,111414.692,111159.479,108216.63 (=),30715.575,22746.78,12140.801,smart,82304.829,58013.361,23637.608 (+),30715.575,22746.78,12140.801,smart
14,109302.667,110623.641,107665.469 (=),25272.558,22601.945,11884.81,smart,56055.525,57214.485,22234.058 (+),25272.558,22601.945,11884.81,smart
15,116301.302,115673.544,113016.152 (=),35295.835,23689.821,12542.372,smart,79529.409,59552.869,22931.782 (+),35295.835,23689.821,12542.372,smart
16,116159.046,116439.976,113475.288 (=),31242.675,23756.927,12451.353,smart,76326.081,60513.815,23433.64 (+),31242.675,23756.927,12451.353,smart
17,114529.325,114872.979,111933.175 (=),28620.688,23468.149,12556.015,smart,73554.304,59543.994,23329.319 (+),28620.688,23468.149,12556.015,smart
18,114019.667,112703.541,109694.823 (=),35739.487,23067.578,11678.301,smart,90043.027,58537.674,23933.292 (+),35739.487,23067.578,11678.301,smart
19,108745.101,108611.322,106259.39 (=),29911.677,22035.429,12677.343,smart,84667.866,55754.824,23027.03 (+),29911.677,22035.429,12677.343,smart
20,109156.21,109550.264,106634.182 (=),29282.582,22400.789,12199.746,smart,56681.927,56241.874,22908.847 (+),29282.582,22400.789,12199.746,smart
21,115624.357,114331.778,111455.581 (=),39432.36,23368.031,12192.948,smart,102367.514,59439.366,23614.025 (+),39432.36,23368.031,12192.948,smart
22,117236.968,117848.985,114711.811 (=),27274.062,24091.081,12753.055,smart,67854.272,61116.349,23333.777 (+),27274.062,24091.081,12753.055,smart
23,111334.659,111207.083,108268.803 (=),34487.589,22602.039,11714.929,smart,68771.297,57213.15,23656.046 (+),34487.589,22602.039,11714.929,smart
24,115349.147,115240.745,112140.481 (=),33869.442,23527.338,13016.366,smart,84842.439,58948.896,27348.519 (+),33869.442,23527.338,13016.366,smart
25,111734.477,111324.296,108343.543 (=),29889.083,22751.272,12318.743,smart,81750.487,57803.766,22513.534 (+),29889.083,22751.272,12318.743,smart
26,109866.474,109920.636,107503.213 (=),29154.364,22486.446,12494.152,smart,80393.539,57617.825,23222.976 (+),29154.364,22486.446,12494.152,smart
27,117978.785,118774.741,115697.938 (=),27922.981,24261.636,12437.243,smart,101513.49,61697.528,22280.484 (+),27922.981,24261.636,12437.243,smart
28,116125.45,115838.827,112883.199 (=),33499.948,23679.274,12019.336,smart,85595.442,60329.635,23133.623 (+),33499.948,23679.274,12019.336,smart
29,113991.484,113480.552,110577.719 (=),33953.044,23195.556,12098.333,smart,124135.988,59007.545,21433.24 (+),33953.044,23195.556,12098.333,smart
30,113434.403,113203.825,110180.964 (=),32803.703,23065.546,12984.219,smart,92690.207,58467.943,28501.036 (+),32803.703,23065.546,12984.219,smart
