worker_id,type,iteration,time
master,execution,0,2907714
master,execution,1,2814506
master,execution,2,2829000
master,execution,3,2957148
master,execution,4,2968252
master,execution,5,2921029
master,execution,6,3011473
master,execution,7,3077025
master,execution,8,2976081
master,execution,9,3057646
master,execution,10,3105616
master,execution,11,3082559
master,execution,12,2941139
master,execution,13,2927092
master,execution,14,3060429
master,execution,15,3081178
master,execution,16,3039540
master,execution,17,2981973
master,execution,18,2874486
master,execution,19,2898588
master,execution,20,3025178
master,execution,21,3118225
master,execution,22,2943086
master,execution,23,3049368
master,execution,24,2945620
master,execution,25,2908374
master,execution,26,3142859
master,execution,27,3065048
master,execution,28,3002663
master,execution,29,2995628
