iteration,mean_execution_time,std_execution_time,mean_idle_time,std_idle_time,max_sum_time,min_sum_time
0,109891.1032965104,22072.033550473912,58812.09882100875,19714.927318574013,166742.7988234855,96745.0
1,106367.422306918,21364.0558050662,57094.675644302406,19065.71620019262,161558.94209641032,93572.0
2,106918.78072896773,21488.315525262144,57249.415306652045,19194.274848837045,162259.88219206472,94052.0
3,111767.0569811786,22497.21398777173,60024.88578952922,20086.753025489445,169791.11324439017,98322.0
4,112160.54791150283,22439.21424890455,60740.23303587412,19947.477042931423,170876.1065128478,98341.0
5,110407.90050984008,22250.27423889758,59839.94258462056,19818.819867209597,168253.17834163996,96743.0
6,113814.86346465809,22880.502226279572,61104.43395420787,20423.303128687567,172882.4829537257,100237.0
7,116300.53234677695,23426.207590748392,62573.71693799596,20909.21400548662,176788.45872017305,102196.0
8,112482.68038094479,22645.507750405362,60431.93492423202,20218.02357248256,170900.21747436907,98589.0
9,115538.49895187066,23096.194194817315,61861.921710983894,20597.699466474314,175338.35660582175,101481.0
10,117380.90157523855,23659.745632357204,63422.97794693911,21095.117298292378,178689.7802572797,103177.0
11,116444.13525953038,23031.65404464908,60949.99893911658,20613.554587577688,175362.46756734306,101746.0
12,111159.47858568965,22364.45418790733,60013.821431207,19933.908784129555,169172.8393025231,97567.0
13,110623.64082616846,22222.05339492677,59187.397794825556,19851.35560107574,167838.1253611665,97454.0
14,115673.54415824747,23291.644456985236,61606.41589412491,20849.363050423384,175226.41285590155,101565.0
15,116439.97553085639,23357.62202485093,62600.4987898874,20827.00515319857,176953.79102774756,102499.0
16,114872.9794030553,23073.698183695513,61597.235203806384,20598.059023813745,174416.9734334015,101153.0
17,112703.54149075253,22679.85977850296,60556.21434619542,20245.44330264609,171241.21535874144,99218.0
18,108611.32242535286,21665.05967260799,57677.40463112,19356.41277239736,164366.1469021022,95309.0
19,109550.26404755897,22024.278826308917,58181.2489731447,19722.07170714452,165792.13805493218,96300.0
20,114331.77801537524,22975.262684602545,61488.99940506549,20494.754346983773,173771.14410693856,100543.0
21,117848.98489367458,23686.159944195533,63223.809527133715,21145.649887389176,178965.33410323717,103698.0
22,111207.0829978592,22222.145817924455,59186.01709954395,19851.599845620884,168420.23286075168,97360.0
23,115240.74504722042,23131.892177892118,60981.61703096493,20726.240275993216,174189.64151048652,101160.0
24,111324.29625645503,22368.87072731292,59796.99884079304,19960.737001029254,169128.06180255496,97993.0
25,109920.63603168128,22108.495955561088,59604.64605724805,19677.816816535782,167538.46055368774,96205.0
26,118774.74081829158,23853.848053387148,63825.02935864713,21280.017701907465,180472.26919831714,104188.0
27,115838.82726413425,23281.274597408534,62409.96755444944,20757.517811036156,176168.4625667687,102030.0
28,113480.55178073561,22805.687296648553,61042.28765272085,20342.774429356934,172488.09651169908,99857.0
29,113203.82520219559,22677.861781651656,60484.07900778047,20250.315249419647,171671.76824305003,99500.0
