iteration,mean_execution_time,std_execution_time,mean_idle_time,std_idle_time,max_sum_time,min_sum_time
0,109141.26760348935,27652.166602564794,103158.3253292164,20887.50722644516,208860.98208839857,67052.0
1,105760.70594233167,25800.548104532532,77805.8534666394,22064.23954604505,180973.0309600831,63863.0
2,106958.59386419374,29673.948867741976,87639.39683354345,25590.71457011148,191676.67746995238,60224.0
3,111116.82434204749,27376.81846917996,76334.28032948513,24106.097437646986,184906.6286605498,61453.0
4,111575.54765865875,25454.949455165286,68041.60561588191,22715.098625426657,177349.09975401126,68682.0
5,111233.70415856034,35246.24027879024,101721.87584052171,30663.07164773087,209564.85080439804,60026.0
6,113334.12469404585,31377.2880488995,108151.34617710725,25071.76110012136,217880.42599858288,72787.0
7,114664.28449536693,24872.262531921206,65069.887891136685,22334.3938704191,177565.17612346573,68591.0
8,112568.31149218994,30565.618402857544,83054.88804951,27139.19011902887,192854.70327338294,61938.0
9,114228.93159898272,26746.546411045438,104651.27454651381,19364.476949950782,215391.8303272794,72074.0
10,116789.23228758195,24566.756964499258,67044.1688856067,21783.160640395887,181598.5955436684,83914.0
11,117195.5126593931,33661.54089491702,97007.2535588986,29300.025338931828,210969.19109966175,72060.0
12,111414.69167301709,30199.31014104722,85142.92621004087,26491.557559356257,193719.52034272323,67651.0
13,109302.66707334945,24847.778428948863,57988.47386886713,22948.05863176326,165358.19181325435,64338.0
14,116301.3020534072,34702.58542347128,82271.80194626783,31940.167826751185,195830.71060146613,57276.0
15,116159.04572972174,30717.55085154131,78958.01464243072,27718.08951373144,192485.12655073806,58966.0
16,114529.32493792164,28139.63328489824,76090.65971791478,25023.005481043743,188083.62933190592,58527.0
17,114019.66706576674,35138.78041555569,93147.95886055818,31433.944154179346,204062.69396430635,78964.0
18,108745.10064650449,29408.923886025033,87587.44763026656,25278.245956886454,193412.96668909554,62474.0
19,109156.21044322378,28790.402230859934,58636.476418617356,27255.48937467846,165838.13764788723,48258.0
20,115624.35749815992,38769.58423446378,105897.42826395895,34367.16726171148,217991.87148665357,65771.0
21,117236.9682906105,26815.641701503922,70194.07474196792,24075.59311976429,185091.2405411795,59710.0
22,111334.65901202199,33907.924374768154,71142.7212684783,31948.14917326304,180105.95623821768,54676.0
23,115349.14664918752,33300.166997778586,87768.04065469217,29838.981100701927,200191.58594872328,71394.0
24,111734.4766077765,29386.709621395497,84569.4692786924,25592.13630225956,193484.96357717912,75649.0
25,109866.47360724854,28664.3402779323,83165.73003409401,24888.26391707435,190260.01264020609,61279.0
26,117978.78548400047,27453.65346261924,105013.95522747841,20300.1270200992,219492.27553722958,74541.0
27,116125.45014357945,32936.88349965338,88547.00938657954,29340.996620492446,201720.89255060634,71796.0
28,113991.48356329932,33382.36440470195,128416.53919702658,24558.412873260728,238127.47145375833,77696.0
29,113434.40290598388,32252.34138192535,95886.42117872884,27741.83539261154,206124.61004542175,67635.0
