iteration,mean_execution_time,std_execution_time,mean_idle_time,std_idle_time,max_sum_time,min_sum_time
0,2907714.0,0.0,,,2907714,2907714
1,2814506.0,0.0,,,2814506,2814506
2,2829000.0,0.0,,,2829000,2829000
3,2957148.0,0.0,,,2957148,2957148
4,2968252.0,0.0,,,2968252,2968252
5,2921029.0,0.0,,,2921029,2921029
6,3011473.0,0.0,,,3011473,3011473
7,3077025.0,0.0,,,3077025,3077025
8,2976081.0,0.0,,,2976081,2976081
9,3057646.0,0.0,,,3057646,3057646
10,3105616.0,0.0,,,3105616,3105616
11,3082559.0,0.0,,,3082559,3082559
12,2941139.0,0.0,,,2941139,2941139
13,2927092.0,0.0,,,2927092,2927092
14,3060429.0,0.0,,,3060429,3060429
15,3081178.0,0.0,,,3081178,3081178
16,3039540.0,0.0,,,3039540,3039540
17,2981973.0,0.0,,,2981973,2981973
18,2874486.0,0.0,,,2874486,2874486
19,2898588.0,0.0,,,2898588,2898588
20,3025178.0,0.0,,,3025178,3025178
21,3118225.0,0.0,,,3118225,3118225
22,2943086.0,0.0,,,2943086,2943086
23,3049368.0,0.0,,,3049368,3049368
24,2945620.0,0.0,,,2945620,2945620
25,2908374.0,0.0,,,2908374,2908374
26,3142859.0,0.0,,,3142859,3142859
27,3065048.0,0.0,,,3065048,3065048
28,3002663.0,0.0,,,3002663,3002663
29,2995628.0,0.0,,,2995628,2995628
