iteration,mean_execution_time,std_execution_time,mean_idle_time,std_idle_time,max_sum_time,min_sum_time
0,110323.86729998548,26810.683726877836,93618.67595409504,21247.372997264974,200821.92072227737,87456.0
1,103566.98008380983,11710.336138093604,23919.667260225622,11081.01883605057,126689.32510202793,87727.0
2,104129.5537461623,12021.970583504122,24159.011249514413,11404.219935202244,127483.2646206929,86232.0
3,108962.63626260645,12312.994584934891,24504.065141161325,11697.127314049707,132649.89923239575,89859.0
4,109260.37261598193,12538.398811565932,23524.399517458423,12007.745415826701,132000.62548285842,90959.0
5,107632.85695490424,11612.040433121689,23244.715255781382,11021.731297240643,130102.74836882626,88561.0
6,110939.98615231267,12399.184488833358,22839.792774880545,11901.790191981218,133018.45250136388,90554.0
7,113309.08754706141,12029.261242528959,23839.953829577866,11434.513940466697,136354.3762489867,95014.0
8,109649.06176217912,11797.719491602384,22710.758126460198,11260.243825405789,131602.79461775732,92018.0
9,112985.12806537586,15058.907591212848,51843.62287526562,12041.525484013568,163100.63017813265,92184.0
10,114684.34644411397,12425.900020077035,23015.889187638015,11919.292228091748,136933.0393254974,97110.0
11,113494.99862233576,11646.877633134383,23173.726921806858,11064.656155334893,135896.26798008237,96586.0
12,108216.62963641559,11936.739583552475,24452.697792184073,11290.168556352142,131854.23750219351,89436.0
13,107665.46931951428,11685.050901399029,23000.749746122438,11118.193277822691,129899.52740743262,91018.0
14,113016.15213859337,12331.56071235543,23722.533297523445,11770.831455644044,135947.93432619938,95111.0
15,113475.28814224283,12242.071744955636,24241.696781103394,11638.19279952197,136908.92836397613,92973.0
16,111933.17534763161,12344.974673465998,24133.778055257095,11757.502944013033,135262.49413438013,92224.0
17,109694.82333707693,11482.013263543637,24758.577981173676,10767.999494026933,133628.1153855448,96198.0
18,106259.39045486102,12464.263605714186,23821.06515032708,11907.991584301906,129286.4201001772,89160.0
19,106634.18228168672,11994.693799634764,23698.807590556935,11406.694971838093,129543.0296192251,89261.0
20,111455.58115294893,11988.010284363343,24428.302023373442,11347.977452462606,135069.60644220992,95156.0
21,114711.8108000403,12538.702790474743,24138.39018466599,11967.387022177418,138045.58797855076,94605.0
22,108268.80252378996,11518.025735243662,24471.771363548407,10829.465177013983,131924.8481752201,93941.0
23,112140.48115903922,12797.588276513055,28291.571214787004,11947.608911621037,139489.0,93462.0
24,108343.54284355119,12111.690948017374,23289.862943362437,11561.610977145458,130857.07702213486,90378.0
25,107503.21296551546,12284.151198202479,24023.76825495477,11698.965068698399,130726.18894530507,93447.0
26,115697.93820859396,12228.198597123317,23048.776055177234,11703.709039072874,137978.4217285986,97059.0
27,112883.19939073345,11817.316046735385,23931.334548574494,11197.059767419272,136016.82278768878,95119.0
28,110577.7187764936,11894.98531622952,22172.31721612577,11400.991600085505,132010.95875208185,90888.0
29,110180.96385155825,12765.981749627656,29483.830498388023,11815.81199819752,138682.0,92819.0
