number_of_features,execution_times,fitness,idle_times,times_by_iteration,test_times,train_scores,number_of_iterations,number_of_samples,task,max_iterations,optimizer,kernel
200,2.0607,0.4235,40.8135,0.1329,0.0095,0.4615,1.0,1082,ranking,1000,rbtree,linear
100,10.9543,0.4895,31.9198,0.2411,0.0076,0.7041,6.5,1082,ranking,1000,rbtree,linear
400,2.193,0.5217,40.6811,0.1487,0.0156,0.5471,1.0,1082,ranking,1000,rbtree,linear
500,8.3564,0.5478,34.5177,0.2524,0.0164,0.8848,5.5,1082,ranking,1000,rbtree,linear
300,17.2846,0.4939,25.5896,0.3672,0.0116,0.8245,8.0,1082,ranking,1000,rbtree,linear
600,3.6846,0.5459,39.1896,0.2014,0.0204,0.6618,1.8,1082,ranking,1000,rbtree,linear
900,2.4921,0.577,40.382,0.1866,0.028,0.5667,1.0,1082,ranking,1000,rbtree,linear
1000,2.6472,0.5903,40.2269,0.2267,0.0318,0.61,1.0,1082,ranking,1000,rbtree,linear
700,2.5511,0.5645,40.323,0.2315,0.0226,0.6143,1.0,1082,ranking,1000,rbtree,linear
800,2.5327,0.5157,40.3414,0.2124,0.0246,0.6414,1.0,1082,ranking,1000,rbtree,linear
1100,2.6445,0.5538,40.2296,0.2282,0.0324,0.5864,1.0,1082,ranking,1000,rbtree,linear
1400,2.8788,0.5885,39.9954,0.2659,0.0423,0.6242,1.0,1082,ranking,1000,rbtree,linear
1500,2.9906,0.5698,39.8836,0.2827,0.0412,0.6106,1.0,1082,ranking,1000,rbtree,linear
1300,2.7339,0.4842,40.1403,0.2283,0.0441,0.5233,1.0,1082,ranking,1000,rbtree,linear
1200,2.8196,0.535,40.0545,0.2584,0.0387,0.5844,1.0,1082,ranking,1000,rbtree,linear
1600,3.1523,0.5735,17.619,0.2815,0.045,0.612,1.0,1082,ranking,1000,rbtree,linear
1900,3.0373,0.5387,17.7341,0.2797,0.0535,0.5396,1.0,1082,ranking,1000,rbtree,linear
2000,3.2324,0.527,17.539,0.3041,0.0537,0.5898,1.0,1082,ranking,1000,rbtree,linear
1800,3.0453,0.4386,17.726,0.272,0.0523,0.5113,1.0,1082,ranking,1000,rbtree,linear
1700,3.1206,0.5987,17.6508,0.2689,0.0527,0.6133,1.0,1082,ranking,1000,rbtree,linear
2100,3.4298,0.5922,17.3415,0.3173,0.0617,0.6207,1.0,1082,ranking,1000,rbtree,linear
2400,3.4794,0.4088,17.292,0.3224,0.0673,0.4942,1.0,1082,ranking,1000,rbtree,linear
