number_of_features,execution_times,fitness,times_by_iteration,test_times,train_scores,number_of_iterations,number_of_samples,task,max_iterations,optimizer,kernel
200,43.2572,0.6182,0.4432,0.0126,0.9998,31.9,1082,ranking,1000,avltree,rbf
100,54.6164,0.5826,0.5756,0.0092,0.9997,32.6,1082,ranking,1000,avltree,rbf
400,26.3528,0.586,0.2921,0.0167,0.9998,26.9,1082,ranking,1000,avltree,rbf
500,30.3057,0.6557,0.311,0.0203,0.9999,31.4,1082,ranking,1000,avltree,rbf
300,35.7467,0.5865,0.3646,0.0141,0.9997,29.6,1082,ranking,1000,avltree,rbf
600,28.5835,0.6143,0.3218,0.0219,0.9998,29.1,1082,ranking,1000,avltree,rbf
900,27.6485,0.565,0.2931,0.0295,0.9999,29.0,1082,ranking,1000,avltree,rbf
1000,26.2379,0.5878,0.2856,0.0337,0.9999,28.8,1082,ranking,1000,avltree,rbf
700,22.5343,0.6181,0.2677,0.0256,0.9999,27.5,1082,ranking,1000,avltree,rbf
800,23.3792,0.6401,0.2863,0.0271,0.9999,27.2,1082,ranking,1000,avltree,rbf
1100,27.0312,0.6603,0.2766,0.0346,0.9999,31.2,1082,ranking,1000,avltree,rbf
1400,19.6512,0.6465,0.2236,0.0435,0.9999,24.7,1082,ranking,1000,avltree,rbf
1500,25.9194,0.6601,0.2778,0.0451,0.9999,29.6,1082,ranking,1000,avltree,rbf
1300,22.516,0.6479,0.2618,0.0393,0.9999,27.4,1082,ranking,1000,avltree,rbf
1200,23.3297,0.6488,0.2662,0.0381,0.9999,27.6,1082,ranking,1000,avltree,rbf
1600,24.9682,0.6426,0.2716,0.047,0.9999,30.1,1082,ranking,1000,avltree,rbf
1900,17.5094,0.6493,0.2113,0.0553,0.9999,24.0,1082,ranking,1000,avltree,rbf
2000,25.7227,0.6235,0.2798,0.0591,0.9999,29.3,1082,ranking,1000,avltree,rbf
1800,23.7162,0.6711,0.2597,0.0531,0.9999,26.4,1082,ranking,1000,avltree,rbf
1700,25.3367,0.6779,0.2699,0.0514,0.9999,28.6,1082,ranking,1000,avltree,rbf
2100,23.1121,0.6548,0.2448,0.0601,0.9999,28.1,1082,ranking,1000,avltree,rbf
2400,23.8858,0.6446,0.254,0.0723,0.9999,27.6,1082,ranking,1000,avltree,rbf
2500,24.6238,0.6262,0.266,0.0742,0.9999,29.2,1082,ranking,1000,avltree,rbf
2300,25.4194,0.637,0.2704,0.0655,0.9999,29.8,1082,ranking,1000,avltree,rbf
2200,22.5296,0.6666,0.2632,0.0623,0.9999,27.4,1082,ranking,1000,avltree,rbf
2600,25.3449,0.6517,0.2708,0.0741,0.9999,29.6,1082,ranking,1000,avltree,rbf
2900,20.2715,0.6378,0.2436,0.0786,1.0,26.6,1082,ranking,1000,avltree,rbf
3000,25.072,0.6774,0.2657,0.0832,0.9999,29.9,1082,ranking,1000,avltree,rbf
2700,23.9746,0.6638,0.2628,0.0752,0.9999,29.1,1082,ranking,1000,avltree,rbf
2800,25.4021,0.6589,0.2719,0.0783,0.9999,29.4,1082,ranking,1000,avltree,rbf
3100,23.7515,0.6329,0.2433,0.0871,0.9999,28.2,1082,ranking,1000,avltree,rbf
3400,21.9441,0.6567,0.2468,0.0971,0.9999,27.7,1082,ranking,1000,avltree,rbf
3500,25.5505,0.6536,0.2664,0.105,0.9999,29.2,1082,ranking,1000,avltree,rbf
3300,24.664,0.6437,0.2665,0.0932,1.0,29.9,1082,ranking,1000,avltree,rbf
3200,24.0174,0.6587,0.2548,0.0927,0.9999,27.6,1082,ranking,1000,avltree,rbf
3600,22.4556,0.6396,0.2435,0.1014,0.9999,25.2,1082,ranking,1000,avltree,rbf
3900,24.3194,0.6501,0.253,0.1103,0.9999,28.2,1082,ranking,1000,avltree,rbf
