23/09/15 15:11:03 WARN NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
INFO:root:Metaheuristic results will be saved in "/home/big_data/data/paper-binary-black-hole-algorithm/Results/BBHA_1694790673_5066526/result_2023-09-15_15_11_13.csv"
INFO:root:Metrics will be saved in JSON files (one per iteration) inside folder "Results/BBHA_1694790673_5066526"
INFO:root:Running 10 independent runs of the BBHA experiment with 25 iterations and 60 stars
INFO:root:Metric: log-likelihood | Model: clustering | Parameters: 2_clusters_kmeans_algorithm_log-likelihood_score_method | Random state: 13
INFO:root:Survival dataset: "Breast_Invasive_Carcinoma"
INFO:root:	Samples (rows): 1082 | Features (columns): 19727
INFO:root:	Y shape: 1082
INFO:root:Fitness function with 19727 features: 5.047074794769287 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with all the features finished in 5.0907957553863525 seconds
INFO:root:log-likelihood with all the features: -0.7886867366168692
INFO:root:Running normal algorithm 
INFO:root:Independent run 1/10
INFO:root:Initializing stars...
INFO:root:Fitness function with 641 features: 1.0065255165100098 seconds | Log Likelihood (higher is better): -0.7885829498089073
INFO:root:Fitness function with 7868 features: 2.3611302375793457 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 17033 features: 3.8438940048217773 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 6027 features: 1.7875149250030518 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 15984 features: 3.8030827045440674 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 8374 features: 1.9675378799438477 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 14814 features: 3.2015228271484375 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 19514 features: 4.608109712600708 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 9145 features: 2.2345361709594727 seconds | Log Likelihood (higher is better): -0.7871076656847883
