Iteration,Worker,Time
1.0,labmovil4-All-Series,449.26848578453064
2.0,labmovil4-All-Series,422.15760684013367
3.0,labmovil4-All-Series,320.85352540016174
5.0,labmovil4-All-Series,237.3436245918274
6.0,labmovil4-All-Series,206.2437846660614
7.0,labmovil4-All-Series,183.6182324886322
8.0,labmovil4-All-Series,182.61885952949524
9.0,labmovil4-All-Series,174.03666996955872
10.0,labmovil4-All-Series,167.0035376548767
11.0,labmovil4-All-Series,153.73024106025696
12.0,labmovil4-All-Series,153.45200991630554
13.0,labmovil4-All-Series,152.69490718841553
14.0,labmovil4-All-Series,131.12924766540527
15.0,labmovil4-All-Series,134.0999298095703
16.0,labmovil4-All-Series,127.8568787574768
17.0,labmovil4-All-Series,128.59224009513855
18.0,labmovil4-All-Series,126.7622447013855
19.0,labmovil4-All-Series,122.85019850730896
20.0,labmovil4-All-Series,131.3702654838562
21.0,labmovil4-All-Series,123.36333656311035
22.0,labmovil4-All-Series,131.91018223762512
23.0,labmovil4-All-Series,131.51744270324707
24.0,labmovil4-All-Series,155.10325837135315
25.0,labmovil4-All-Series,123.82176637649536
1.0,labmovil2-All-Series,498.12819385528564
2.0,labmovil2-All-Series,421.32140159606934
3.0,labmovil2-All-Series,324.49523544311523
5.0,labmovil2-All-Series,249.4687008857727
6.0,labmovil2-All-Series,209.15982007980347
7.0,labmovil2-All-Series,197.01295447349548
8.0,labmovil2-All-Series,185.41399145126343
9.0,labmovil2-All-Series,174.06345915794373
10.0,labmovil2-All-Series,170.78517866134644
11.0,labmovil2-All-Series,154.24169969558716
12.0,labmovil2-All-Series,155.66178965568542
13.0,labmovil2-All-Series,148.835116147995
14.0,labmovil2-All-Series,175.9834909439087
15.0,labmovil2-All-Series,135.9025547504425
16.0,labmovil2-All-Series,126.277179479599
17.0,labmovil2-All-Series,125.37298703193665
18.0,labmovil2-All-Series,124.19863080978394
19.0,labmovil2-All-Series,126.38066744804382
20.0,labmovil2-All-Series,130.05162453651428
21.0,labmovil2-All-Series,128.34830498695374
22.0,labmovil2-All-Series,132.54917001724243
23.0,labmovil2-All-Series,132.75750708580017
24.0,labmovil2-All-Series,140.4994101524353
25.0,labmovil2-All-Series,122.16726446151733
1.0,labmovil3-All-Series,586.5969216823578
2.0,labmovil3-All-Series,417.09080362319946
3.0,labmovil3-All-Series,317.39616894721985
5.0,labmovil3-All-Series,246.13539147377014
6.0,labmovil3-All-Series,228.73903441429138
7.0,labmovil3-All-Series,198.0711691379547
8.0,labmovil3-All-Series,183.236398935318
9.0,labmovil3-All-Series,171.249329328537
10.0,labmovil3-All-Series,169.7346134185791
11.0,labmovil3-All-Series,152.79909014701843
12.0,labmovil3-All-Series,154.50063586235046
13.0,labmovil3-All-Series,157.04892539978027
14.0,labmovil3-All-Series,136.51846480369568
15.0,labmovil3-All-Series,135.23803687095642
16.0,labmovil3-All-Series,129.91988015174866
17.0,labmovil3-All-Series,126.62518048286438
18.0,labmovil3-All-Series,123.90187525749207
19.0,labmovil3-All-Series,123.99537420272827
20.0,labmovil3-All-Series,128.75982284545898
21.0,labmovil3-All-Series,124.438791513443
22.0,labmovil3-All-Series,129.4555368423462
23.0,labmovil3-All-Series,132.12774229049683
24.0,labmovil3-All-Series,85.13575744628906
25.0,labmovil3-All-Series,125.11142182350159
