Iteration,Worker,Time
1.0,labmovil3-All-Series,504.7961735725403
2.0,labmovil3-All-Series,423.3033390045166
3.0,labmovil3-All-Series,323.6025092601776
4.0,labmovil3-All-Series,214.628497838974
5.0,labmovil3-All-Series,244.2979657649994
6.0,labmovil3-All-Series,214.3275535106659
7.0,labmovil3-All-Series,196.48735809326172
8.0,labmovil3-All-Series,184.82644081115723
9.0,labmovil3-All-Series,173.36652064323425
10.0,labmovil3-All-Series,168.8173897266388
11.0,labmovil3-All-Series,151.27557468414307
12.0,labmovil3-All-Series,147.74307680130005
13.0,labmovil3-All-Series,167.19268774986267
14.0,labmovil3-All-Series,154.60281014442444
15.0,labmovil3-All-Series,146.8637719154358
16.0,labmovil3-All-Series,141.45476269721985
17.0,labmovil3-All-Series,137.87922549247742
18.0,labmovil3-All-Series,136.21751475334167
19.0,labmovil3-All-Series,136.53193855285645
20.0,labmovil3-All-Series,133.71406316757202
21.0,labmovil3-All-Series,125.74932813644409
22.0,labmovil3-All-Series,130.32888221740723
23.0,labmovil3-All-Series,106.5673189163208
24.0,labmovil3-All-Series,126.95452284812927
25.0,labmovil3-All-Series,123.03513145446777
1.0,labmovil2-All-Series,527.3618817329407
2.0,labmovil2-All-Series,427.66008496284485
3.0,labmovil2-All-Series,322.3677496910095
4.0,labmovil2-All-Series,325.7037844657898
5.0,labmovil2-All-Series,244.33031177520752
6.0,labmovil2-All-Series,214.40536332130432
7.0,labmovil2-All-Series,186.73365116119385
8.0,labmovil2-All-Series,181.18546175956726
9.0,labmovil2-All-Series,171.30593729019165
10.0,labmovil2-All-Series,168.09194946289062
11.0,labmovil2-All-Series,151.59119582176208
12.0,labmovil2-All-Series,146.93203449249268
13.0,labmovil2-All-Series,136.91760230064392
14.0,labmovil2-All-Series,149.17774176597595
15.0,labmovil2-All-Series,146.86149621009827
16.0,labmovil2-All-Series,138.34963417053223
17.0,labmovil2-All-Series,136.1894772052765
18.0,labmovil2-All-Series,133.04687023162842
19.0,labmovil2-All-Series,132.63945388793945
20.0,labmovil2-All-Series,133.6766767501831
21.0,labmovil2-All-Series,126.61988830566406
22.0,labmovil2-All-Series,133.28579306602478
23.0,labmovil2-All-Series,135.38002943992615
24.0,labmovil2-All-Series,130.3845272064209
25.0,labmovil2-All-Series,122.78040266036987
1.0,labmovil4-All-Series,505.8988971710205
2.0,labmovil4-All-Series,413.86438965797424
3.0,labmovil4-All-Series,313.96665930747986
4.0,labmovil4-All-Series,266.04567098617554
5.0,labmovil4-All-Series,242.8515112400055
6.0,labmovil4-All-Series,216.73839831352234
7.0,labmovil4-All-Series,193.93600583076477
8.0,labmovil4-All-Series,186.06928372383118
9.0,labmovil4-All-Series,174.20147037506104
10.0,labmovil4-All-Series,170.8548882007599
11.0,labmovil4-All-Series,151.8371593952179
12.0,labmovil4-All-Series,146.48017024993896
13.0,labmovil4-All-Series,152.00225162506104
14.0,labmovil4-All-Series,156.12419748306274
15.0,labmovil4-All-Series,146.33998155593872
16.0,labmovil4-All-Series,137.7673909664154
17.0,labmovil4-All-Series,138.22453474998474
18.0,labmovil4-All-Series,133.33745408058167
19.0,labmovil4-All-Series,129.53475666046143
20.0,labmovil4-All-Series,133.93043732643127
21.0,labmovil4-All-Series,134.11141419410706
22.0,labmovil4-All-Series,131.2234766483307
23.0,labmovil4-All-Series,163.56530117988586
24.0,labmovil4-All-Series,128.8385088443756
25.0,labmovil4-All-Series,123.20633244514465
