Iteration,Worker,Time
1.0,labmovil4-All-Series,744.4928436279297
2.0,labmovil4-All-Series,423.01830315589905
3.0,labmovil4-All-Series,319.25492763519287
4.0,labmovil4-All-Series,265.5319380760193
5.0,labmovil4-All-Series,241.91020822525024
6.0,labmovil4-All-Series,215.72061467170715
7.0,labmovil4-All-Series,195.34239840507507
9.0,labmovil4-All-Series,174.11004090309143
10.0,labmovil4-All-Series,170.41747641563416
11.0,labmovil4-All-Series,150.4383189678192
12.0,labmovil4-All-Series,172.6205825805664
13.0,labmovil4-All-Series,149.50683784484863
15.0,labmovil4-All-Series,134.3351535797119
16.0,labmovil4-All-Series,126.21824073791504
17.0,labmovil4-All-Series,126.045325756073
18.0,labmovil4-All-Series,123.58558750152588
19.0,labmovil4-All-Series,122.88707947731018
20.0,labmovil4-All-Series,129.75178933143616
21.0,labmovil4-All-Series,123.91441106796265
22.0,labmovil4-All-Series,129.7807536125183
23.0,labmovil4-All-Series,130.1619153022766
24.0,labmovil4-All-Series,121.99041247367859
25.0,labmovil4-All-Series,125.14981055259705
1.0,labmovil3-All-Series,458.7122805118561
2.0,labmovil3-All-Series,417.83215165138245
3.0,labmovil3-All-Series,319.5969133377075
4.0,labmovil3-All-Series,271.02409291267395
5.0,labmovil3-All-Series,245.31969094276428
6.0,labmovil3-All-Series,213.42553734779358
7.0,labmovil3-All-Series,196.91919112205505
9.0,labmovil3-All-Series,171.55032968521118
10.0,labmovil3-All-Series,167.51312589645386
11.0,labmovil3-All-Series,153.50086998939514
12.0,labmovil3-All-Series,137.62211227416992
13.0,labmovil3-All-Series,150.3857901096344
15.0,labmovil3-All-Series,134.13087105751038
16.0,labmovil3-All-Series,122.9969253540039
17.0,labmovil3-All-Series,125.01177644729614
18.0,labmovil3-All-Series,123.05608010292053
19.0,labmovil3-All-Series,123.14954853057861
20.0,labmovil3-All-Series,130.6428074836731
21.0,labmovil3-All-Series,124.9648368358612
22.0,labmovil3-All-Series,130.65860414505005
23.0,labmovil3-All-Series,132.84632754325867
24.0,labmovil3-All-Series,126.38204765319824
25.0,labmovil3-All-Series,123.263995885849
1.0,labmovil2-All-Series,333.92470932006836
2.0,labmovil2-All-Series,417.9059989452362
3.0,labmovil2-All-Series,321.6191864013672
4.0,labmovil2-All-Series,266.1383237838745
5.0,labmovil2-All-Series,243.4356849193573
6.0,labmovil2-All-Series,213.52331805229187
7.0,labmovil2-All-Series,184.97808194160461
9.0,labmovil2-All-Series,172.19722294807434
10.0,labmovil2-All-Series,169.10171246528625
11.0,labmovil2-All-Series,155.79671597480774
12.0,labmovil2-All-Series,154.28179812431335
13.0,labmovil2-All-Series,153.6575095653534
15.0,labmovil2-All-Series,135.73441886901855
16.0,labmovil2-All-Series,128.54864716529846
17.0,labmovil2-All-Series,126.52361917495728
18.0,labmovil2-All-Series,121.40805196762085
19.0,labmovil2-All-Series,129.6241762638092
20.0,labmovil2-All-Series,129.88008546829224
21.0,labmovil2-All-Series,129.42434000968933
22.0,labmovil2-All-Series,133.74771738052368
23.0,labmovil2-All-Series,130.48063254356384
24.0,labmovil2-All-Series,128.45934414863586
25.0,labmovil2-All-Series,121.21258234977722
