Iteration,Worker,Time
1.0,labmovil3-All-Series,508.88192915916443
2.0,labmovil3-All-Series,420.2177610397339
3.0,labmovil3-All-Series,315.27455949783325
4.0,labmovil3-All-Series,268.1143054962158
5.0,labmovil3-All-Series,238.3886799812317
6.0,labmovil3-All-Series,216.98307466506958
7.0,labmovil3-All-Series,194.10358881950378
8.0,labmovil3-All-Series,183.2815716266632
9.0,labmovil3-All-Series,171.75112867355347
10.0,labmovil3-All-Series,168.42109656333923
11.0,labmovil3-All-Series,153.63092947006226
12.0,labmovil3-All-Series,153.00837326049805
13.0,labmovil3-All-Series,153.56110167503357
14.0,labmovil3-All-Series,146.30154013633728
15.0,labmovil3-All-Series,136.38053393363953
16.0,labmovil3-All-Series,128.91963815689087
17.0,labmovil3-All-Series,127.27479195594788
18.0,labmovil3-All-Series,126.29650115966797
19.0,labmovil3-All-Series,121.10575318336487
20.0,labmovil3-All-Series,129.6952588558197
21.0,labmovil3-All-Series,127.08729338645935
22.0,labmovil3-All-Series,131.75099849700928
23.0,labmovil3-All-Series,132.3157455921173
24.0,labmovil3-All-Series,127.81371283531189
25.0,labmovil3-All-Series,124.24619936943054
1.0,labmovil2-All-Series,526.022412776947
2.0,labmovil2-All-Series,428.7800269126892
3.0,labmovil2-All-Series,331.3961818218231
4.0,labmovil2-All-Series,268.7605104446411
5.0,labmovil2-All-Series,250.51499366760254
6.0,labmovil2-All-Series,215.89297556877136
7.0,labmovil2-All-Series,194.4686872959137
8.0,labmovil2-All-Series,185.84702253341675
9.0,labmovil2-All-Series,172.46745991706848
10.0,labmovil2-All-Series,172.19165468215942
11.0,labmovil2-All-Series,154.87145066261292
12.0,labmovil2-All-Series,155.66119575500488
13.0,labmovil2-All-Series,153.64100742340088
14.0,labmovil2-All-Series,148.77433252334595
15.0,labmovil2-All-Series,135.82438158988953
16.0,labmovil2-All-Series,126.90126156806946
17.0,labmovil2-All-Series,128.58394408226013
18.0,labmovil2-All-Series,122.84133195877075
19.0,labmovil2-All-Series,125.85935425758362
20.0,labmovil2-All-Series,129.73286199569702
21.0,labmovil2-All-Series,127.31615781784058
22.0,labmovil2-All-Series,130.86265993118286
23.0,labmovil2-All-Series,134.17711329460144
24.0,labmovil2-All-Series,128.43596529960632
25.0,labmovil2-All-Series,124.59507060050964
1.0,labmovil4-All-Series,504.06473445892334
2.0,labmovil4-All-Series,417.1267604827881
3.0,labmovil4-All-Series,318.21095085144043
4.0,labmovil4-All-Series,268.38157749176025
5.0,labmovil4-All-Series,246.0817747116089
6.0,labmovil4-All-Series,212.74463486671448
7.0,labmovil4-All-Series,192.1477870941162
8.0,labmovil4-All-Series,185.20354461669922
9.0,labmovil4-All-Series,173.82627987861633
10.0,labmovil4-All-Series,171.31574773788452
11.0,labmovil4-All-Series,150.16782641410828
12.0,labmovil4-All-Series,153.96118068695068
13.0,labmovil4-All-Series,152.19536423683167
14.0,labmovil4-All-Series,146.744384765625
15.0,labmovil4-All-Series,137.20365071296692
16.0,labmovil4-All-Series,125.81949353218079
17.0,labmovil4-All-Series,127.15746879577637
18.0,labmovil4-All-Series,122.81631565093994
19.0,labmovil4-All-Series,127.27293348312378
20.0,labmovil4-All-Series,130.01754021644592
21.0,labmovil4-All-Series,125.1023850440979
22.0,labmovil4-All-Series,133.5704665184021
23.0,labmovil4-All-Series,130.14601516723633
24.0,labmovil4-All-Series,125.93861675262451
25.0,labmovil4-All-Series,122.94536924362183
