Iteration,Worker,Time
1.0,Master,1487.1524000000002
2.0,Master,1228.3285
3.0,Master,938.4901000000002
4.0,Master,780.9491
5.0,Master,709.0083
6.0,Master,616.885
7.0,Master,554.9851
8.0,Master,527.4571000000001
9.0,Master,487.4494000000001
10.0,Master,482.8609
11.0,Master,439.9417
12.0,Master,445.28010000000006
13.0,Master,439.67010000000005
14.0,Master,424.82750000000004
15.0,Master,393.10669999999993
16.0,Master,367.3486
17.0,Master,367.10310000000004
18.0,Master,360.58020000000005
19.0,Master,365.96219999999994
20.0,Master,369.18289999999996
21.0,Master,363.5242
22.0,Master,374.1821
23.0,Master,375.3102
24.0,Master,365.65639999999996
25.0,Master,358.28389999999996
