Iteration,Worker,Time
1.0,labmovil3-All-Series,71.34777593612671
2.0,labmovil3-All-Series,43.00214505195618
3.0,labmovil3-All-Series,41.16708421707153
4.0,labmovil3-All-Series,24.35462522506714
5.0,labmovil3-All-Series,37.69093656539917
6.0,labmovil3-All-Series,22.835625410079956
7.0,labmovil3-All-Series,21.109734058380127
8.0,labmovil3-All-Series,30.244018077850342
9.0,labmovil3-All-Series,23.016352891921997
10.0,labmovil3-All-Series,31.962894201278687
11.0,labmovil3-All-Series,24.67545247077942
12.0,labmovil3-All-Series,26.163814067840576
13.0,labmovil3-All-Series,20.1304030418396
14.0,labmovil3-All-Series,20.820627689361572
15.0,labmovil3-All-Series,20.1290385723114
16.0,labmovil3-All-Series,17.11849880218506
17.0,labmovil3-All-Series,20.71079421043396
18.0,labmovil3-All-Series,18.348217010498047
19.0,labmovil3-All-Series,26.983229160308838
20.0,labmovil3-All-Series,20.863433599472046
21.0,labmovil3-All-Series,20.262256383895874
22.0,labmovil3-All-Series,21.724525451660156
23.0,labmovil3-All-Series,19.34905743598938
24.0,labmovil3-All-Series,19.92174220085144
25.0,labmovil3-All-Series,17.609943866729736
1.0,labmovil2-All-Series,54.207292318344116
2.0,labmovil2-All-Series,34.439879179000854
3.0,labmovil2-All-Series,25.045461893081665
4.0,labmovil2-All-Series,23.708420276641846
5.0,labmovil2-All-Series,25.56462287902832
6.0,labmovil2-All-Series,23.925724506378174
7.0,labmovil2-All-Series,20.744635581970215
8.0,labmovil2-All-Series,27.6785671710968
9.0,labmovil2-All-Series,22.300021648406982
10.0,labmovil2-All-Series,28.192336082458496
11.0,labmovil2-All-Series,23.43493127822876
12.0,labmovil2-All-Series,23.51099157333374
13.0,labmovil2-All-Series,20.05049729347229
14.0,labmovil2-All-Series,18.347835302352905
15.0,labmovil2-All-Series,20.6851909160614
16.0,labmovil2-All-Series,19.13687539100647
17.0,labmovil2-All-Series,19.401642084121704
18.0,labmovil2-All-Series,21.803386211395264
19.0,labmovil2-All-Series,22.229628086090088
20.0,labmovil2-All-Series,20.825830459594727
21.0,labmovil2-All-Series,20.03339195251465
22.0,labmovil2-All-Series,22.612864017486572
23.0,labmovil2-All-Series,17.48768973350525
24.0,labmovil2-All-Series,19.299489736557007
25.0,labmovil2-All-Series,17.261072635650635
1.0,labmovil4-All-Series,76.1649706363678
2.0,labmovil4-All-Series,46.09314560890198
3.0,labmovil4-All-Series,38.230692863464355
4.0,labmovil4-All-Series,24.087353229522705
5.0,labmovil4-All-Series,29.997841835021973
6.0,labmovil4-All-Series,27.07406520843506
7.0,labmovil4-All-Series,23.0655357837677
8.0,labmovil4-All-Series,28.32204508781433
9.0,labmovil4-All-Series,20.94120168685913
10.0,labmovil4-All-Series,29.0682430267334
11.0,labmovil4-All-Series,28.1385555267334
12.0,labmovil4-All-Series,25.21100664138794
13.0,labmovil4-All-Series,21.496140480041504
14.0,labmovil4-All-Series,20.377783060073853
15.0,labmovil4-All-Series,19.30592179298401
16.0,labmovil4-All-Series,20.21864342689514
17.0,labmovil4-All-Series,20.82811737060547
18.0,labmovil4-All-Series,21.828402519226074
19.0,labmovil4-All-Series,20.816048860549927
20.0,labmovil4-All-Series,20.541152238845825
21.0,labmovil4-All-Series,22.247164726257324
22.0,labmovil4-All-Series,19.905057430267334
23.0,labmovil4-All-Series,21.51878786087036
24.0,labmovil4-All-Series,21.79683828353882
25.0,labmovil4-All-Series,18.910773992538452
