Iteration,Worker,Time
1.0,labmovil4-All-Series,151.75826144218445
2.0,labmovil4-All-Series,149.4015166759491
3.0,labmovil4-All-Series,132.6077539920807
4.0,labmovil4-All-Series,121.08902549743652
5.0,labmovil4-All-Series,132.1156985759735
6.0,labmovil4-All-Series,125.07918643951416
7.0,labmovil4-All-Series,122.33532977104187
8.0,labmovil4-All-Series,118.54171943664551
9.0,labmovil4-All-Series,114.60549449920654
10.0,labmovil4-All-Series,114.33218336105347
11.0,labmovil4-All-Series,112.487069606781
12.0,labmovil4-All-Series,114.18094325065613
13.0,labmovil4-All-Series,116.199547290802
14.0,labmovil4-All-Series,114.60507273674011
15.0,labmovil4-All-Series,113.85507225990295
16.0,labmovil4-All-Series,117.17876768112183
17.0,labmovil4-All-Series,113.28275799751282
18.0,labmovil4-All-Series,113.59699177742004
20.0,labmovil4-All-Series,114.68745636940002
21.0,labmovil4-All-Series,112.85682249069214
22.0,labmovil4-All-Series,115.1018648147583
23.0,labmovil4-All-Series,115.42168307304382
24.0,labmovil4-All-Series,110.69860219955444
25.0,labmovil4-All-Series,113.24877691268921
1.0,labmovil2-All-Series,154.83373641967773
2.0,labmovil2-All-Series,150.19911074638367
3.0,labmovil2-All-Series,126.31236219406128
4.0,labmovil2-All-Series,118.81509947776794
5.0,labmovil2-All-Series,136.7345678806305
6.0,labmovil2-All-Series,126.16768145561218
7.0,labmovil2-All-Series,122.013592004776
8.0,labmovil2-All-Series,121.3569540977478
9.0,labmovil2-All-Series,114.93201231956482
10.0,labmovil2-All-Series,113.34952116012573
11.0,labmovil2-All-Series,114.37463283538818
12.0,labmovil2-All-Series,114.85145854949951
13.0,labmovil2-All-Series,117.26108908653259
14.0,labmovil2-All-Series,113.7550323009491
15.0,labmovil2-All-Series,115.09343528747559
16.0,labmovil2-All-Series,114.33435940742493
17.0,labmovil2-All-Series,114.20749139785767
18.0,labmovil2-All-Series,113.6614363193512
20.0,labmovil2-All-Series,115.39253878593445
21.0,labmovil2-All-Series,112.4469313621521
22.0,labmovil2-All-Series,114.68239331245422
23.0,labmovil2-All-Series,115.04383945465088
24.0,labmovil2-All-Series,113.98281168937683
25.0,labmovil2-All-Series,115.43350267410278
1.0,labmovil3-All-Series,147.86004948616028
2.0,labmovil3-All-Series,154.4047839641571
3.0,labmovil3-All-Series,127.81970310211182
4.0,labmovil3-All-Series,107.79952692985535
5.0,labmovil3-All-Series,130.17292737960815
6.0,labmovil3-All-Series,125.86856937408447
7.0,labmovil3-All-Series,121.2254650592804
8.0,labmovil3-All-Series,118.33150744438171
9.0,labmovil3-All-Series,115.31817388534546
10.0,labmovil3-All-Series,113.85528469085693
11.0,labmovil3-All-Series,113.96335697174072
12.0,labmovil3-All-Series,114.047278881073
13.0,labmovil3-All-Series,116.21605348587036
14.0,labmovil3-All-Series,117.08022284507751
15.0,labmovil3-All-Series,114.90986633300781
16.0,labmovil3-All-Series,113.44512438774109
17.0,labmovil3-All-Series,115.3372266292572
18.0,labmovil3-All-Series,113.68746733665466
20.0,labmovil3-All-Series,113.72783899307251
21.0,labmovil3-All-Series,113.97943782806396
22.0,labmovil3-All-Series,115.94972920417786
23.0,labmovil3-All-Series,115.66312575340271
24.0,labmovil3-All-Series,116.57497072219849
25.0,labmovil3-All-Series,113.05213141441345
