Iteration,Worker,Time
1.0,labmovil3-All-Series,152.0072832107544
2.0,labmovil3-All-Series,153.15334129333496
3.0,labmovil3-All-Series,126.20880937576294
4.0,labmovil3-All-Series,116.955974817276
5.0,labmovil3-All-Series,133.1708550453186
6.0,labmovil3-All-Series,125.4062032699585
7.0,labmovil3-All-Series,122.14942216873169
8.0,labmovil3-All-Series,116.31138110160828
9.0,labmovil3-All-Series,116.13336682319641
10.0,labmovil3-All-Series,124.87420797348022
11.0,labmovil3-All-Series,114.05725240707397
12.0,labmovil3-All-Series,113.76309156417847
13.0,labmovil3-All-Series,113.52896523475647
14.0,labmovil3-All-Series,114.58295512199402
15.0,labmovil3-All-Series,115.73143935203552
16.0,labmovil3-All-Series,113.73604011535645
17.0,labmovil3-All-Series,113.55768394470215
18.0,labmovil3-All-Series,112.951420545578
20.0,labmovil3-All-Series,113.37071013450623
21.0,labmovil3-All-Series,114.32491326332092
22.0,labmovil3-All-Series,115.95597052574158
23.0,labmovil3-All-Series,114.74652862548828
24.0,labmovil3-All-Series,115.67401456832886
25.0,labmovil3-All-Series,102.74935507774353
1.0,labmovil4-All-Series,150.13781905174255
2.0,labmovil4-All-Series,152.14253687858582
3.0,labmovil4-All-Series,130.66921305656433
4.0,labmovil4-All-Series,121.85621428489685
5.0,labmovil4-All-Series,132.97250747680664
6.0,labmovil4-All-Series,125.81324648857117
7.0,labmovil4-All-Series,121.60206437110901
8.0,labmovil4-All-Series,118.878244638443
9.0,labmovil4-All-Series,115.43933081626892
10.0,labmovil4-All-Series,113.51232671737671
11.0,labmovil4-All-Series,116.52020335197449
12.0,labmovil4-All-Series,115.03728747367859
13.0,labmovil4-All-Series,114.35280632972717
14.0,labmovil4-All-Series,114.60357022285461
15.0,labmovil4-All-Series,116.3717052936554
16.0,labmovil4-All-Series,115.39114665985107
17.0,labmovil4-All-Series,115.30480456352234
18.0,labmovil4-All-Series,114.19488525390625
20.0,labmovil4-All-Series,116.38618850708008
21.0,labmovil4-All-Series,114.03496193885803
22.0,labmovil4-All-Series,117.00033831596375
23.0,labmovil4-All-Series,113.67212677001953
24.0,labmovil4-All-Series,112.04541420936584
25.0,labmovil4-All-Series,137.84474921226501
1.0,labmovil2-All-Series,152.39356803894043
2.0,labmovil2-All-Series,147.7813446521759
3.0,labmovil2-All-Series,130.9043688774109
4.0,labmovil2-All-Series,111.41986346244812
5.0,labmovil2-All-Series,131.25765252113342
6.0,labmovil2-All-Series,124.78921675682068
7.0,labmovil2-All-Series,121.89220523834229
8.0,labmovil2-All-Series,117.6082534790039
9.0,labmovil2-All-Series,114.9937949180603
10.0,labmovil2-All-Series,105.18301486968994
11.0,labmovil2-All-Series,114.4968273639679
12.0,labmovil2-All-Series,113.80918574333191
13.0,labmovil2-All-Series,116.76561975479126
14.0,labmovil2-All-Series,115.21029162406921
15.0,labmovil2-All-Series,116.36936783790588
16.0,labmovil2-All-Series,115.49512529373169
17.0,labmovil2-All-Series,114.7558491230011
18.0,labmovil2-All-Series,113.58362793922424
20.0,labmovil2-All-Series,113.65706872940063
21.0,labmovil2-All-Series,115.49358296394348
22.0,labmovil2-All-Series,114.50603985786438
23.0,labmovil2-All-Series,114.26362681388855
24.0,labmovil2-All-Series,115.47064566612244
25.0,labmovil2-All-Series,103.97125291824341
