Iteration,Worker,Time
1.0,labmovil4-All-Series,169.22896194458008
2.0,labmovil4-All-Series,147.43917393684387
3.0,labmovil4-All-Series,127.64029788970947
4.0,labmovil4-All-Series,111.85359740257263
5.0,labmovil4-All-Series,133.46671271324158
6.0,labmovil4-All-Series,125.18262100219727
7.0,labmovil4-All-Series,122.34561276435852
8.0,labmovil4-All-Series,117.03020858764648
9.0,labmovil4-All-Series,116.025887966156
10.0,labmovil4-All-Series,114.80664587020874
11.0,labmovil4-All-Series,115.71278381347656
12.0,labmovil4-All-Series,113.67510938644409
13.0,labmovil4-All-Series,116.79470801353455
14.0,labmovil4-All-Series,115.79791331291199
15.0,labmovil4-All-Series,116.09286117553711
16.0,labmovil4-All-Series,117.18237733840942
17.0,labmovil4-All-Series,116.16985368728638
18.0,labmovil4-All-Series,115.17165946960449
19.0,labmovil4-All-Series,116.28657913208008
20.0,labmovil4-All-Series,115.59030675888062
21.0,labmovil4-All-Series,114.23018622398376
22.0,labmovil4-All-Series,115.94929337501526
23.0,labmovil4-All-Series,116.1660418510437
24.0,labmovil4-All-Series,113.93540000915527
25.0,labmovil4-All-Series,114.19195055961609
1.0,labmovil2-All-Series,157.68006134033203
2.0,labmovil2-All-Series,152.6827998161316
3.0,labmovil2-All-Series,127.90928411483765
4.0,labmovil2-All-Series,118.37859272956848
5.0,labmovil2-All-Series,134.9086880683899
6.0,labmovil2-All-Series,127.58073043823242
7.0,labmovil2-All-Series,120.84524822235107
8.0,labmovil2-All-Series,120.51954221725464
9.0,labmovil2-All-Series,115.47717189788818
10.0,labmovil2-All-Series,114.95243501663208
11.0,labmovil2-All-Series,114.22459697723389
12.0,labmovil2-All-Series,115.59049463272095
13.0,labmovil2-All-Series,112.99618124961853
14.0,labmovil2-All-Series,115.15964460372925
15.0,labmovil2-All-Series,115.68850445747375
16.0,labmovil2-All-Series,115.09861159324646
17.0,labmovil2-All-Series,113.93710565567017
18.0,labmovil2-All-Series,113.80788326263428
19.0,labmovil2-All-Series,114.80786466598511
20.0,labmovil2-All-Series,114.56190061569214
21.0,labmovil2-All-Series,111.23894953727722
22.0,labmovil2-All-Series,114.38100814819336
23.0,labmovil2-All-Series,115.1996898651123
24.0,labmovil2-All-Series,116.77657532691956
25.0,labmovil2-All-Series,114.40583491325378
1.0,labmovil3-All-Series,130.0883984565735
2.0,labmovil3-All-Series,151.77993488311768
3.0,labmovil3-All-Series,135.0459258556366
4.0,labmovil3-All-Series,117.4122564792633
5.0,labmovil3-All-Series,130.33999180793762
6.0,labmovil3-All-Series,127.23177671432495
7.0,labmovil3-All-Series,123.43883395195007
8.0,labmovil3-All-Series,117.69712162017822
9.0,labmovil3-All-Series,115.56081891059875
10.0,labmovil3-All-Series,116.99734830856323
11.0,labmovil3-All-Series,113.45333242416382
12.0,labmovil3-All-Series,116.86876010894775
13.0,labmovil3-All-Series,114.96982932090759
14.0,labmovil3-All-Series,116.96402931213379
15.0,labmovil3-All-Series,116.30787205696106
16.0,labmovil3-All-Series,116.93928670883179
17.0,labmovil3-All-Series,115.64187836647034
18.0,labmovil3-All-Series,113.1312153339386
19.0,labmovil3-All-Series,113.40182900428772
20.0,labmovil3-All-Series,113.35147309303284
21.0,labmovil3-All-Series,114.84092783927917
22.0,labmovil3-All-Series,114.87290644645691
23.0,labmovil3-All-Series,115.64494943618774
24.0,labmovil3-All-Series,113.23406839370728
25.0,labmovil3-All-Series,114.15575289726257
