Iteration,Worker,Time
1.0,labmovil2-All-Series,151.58722305297852
2.0,labmovil2-All-Series,146.28387069702148
3.0,labmovil2-All-Series,131.56680846214294
4.0,labmovil2-All-Series,112.2000241279602
5.0,labmovil2-All-Series,129.24290084838867
6.0,labmovil2-All-Series,127.0316276550293
7.0,labmovil2-All-Series,118.94358539581299
8.0,labmovil2-All-Series,118.92479252815247
9.0,labmovil2-All-Series,115.45319962501526
10.0,labmovil2-All-Series,113.93969583511353
11.0,labmovil2-All-Series,115.77641153335571
12.0,labmovil2-All-Series,113.32019925117493
13.0,labmovil2-All-Series,115.52193570137024
14.0,labmovil2-All-Series,114.93799614906311
15.0,labmovil2-All-Series,114.12667107582092
16.0,labmovil2-All-Series,115.63328886032104
17.0,labmovil2-All-Series,115.56966948509216
18.0,labmovil2-All-Series,114.40825152397156
19.0,labmovil2-All-Series,115.79025077819824
20.0,labmovil2-All-Series,113.93230843544006
21.0,labmovil2-All-Series,114.14084768295288
22.0,labmovil2-All-Series,117.03676533699036
23.0,labmovil2-All-Series,114.54993081092834
24.0,labmovil2-All-Series,113.9712438583374
25.0,labmovil2-All-Series,114.63553309440613
1.0,labmovil4-All-Series,152.95613813400269
2.0,labmovil4-All-Series,152.64090538024902
3.0,labmovil4-All-Series,126.62700343132019
4.0,labmovil4-All-Series,113.97193837165833
5.0,labmovil4-All-Series,130.27447390556335
6.0,labmovil4-All-Series,127.38014268875122
7.0,labmovil4-All-Series,122.69357776641846
8.0,labmovil4-All-Series,117.71437764167786
9.0,labmovil4-All-Series,116.15112853050232
10.0,labmovil4-All-Series,114.56869339942932
11.0,labmovil4-All-Series,115.42326664924622
12.0,labmovil4-All-Series,113.88519310951233
13.0,labmovil4-All-Series,117.95955109596252
14.0,labmovil4-All-Series,116.83579683303833
15.0,labmovil4-All-Series,114.04113268852234
16.0,labmovil4-All-Series,115.13277173042297
17.0,labmovil4-All-Series,114.05808758735657
18.0,labmovil4-All-Series,114.45198965072632
19.0,labmovil4-All-Series,114.17582368850708
20.0,labmovil4-All-Series,114.40362191200256
21.0,labmovil4-All-Series,117.49940776824951
22.0,labmovil4-All-Series,114.01273250579834
23.0,labmovil4-All-Series,112.35595560073853
24.0,labmovil4-All-Series,115.71567130088806
25.0,labmovil4-All-Series,112.9126443862915
1.0,labmovil3-All-Series,150.70355439186096
2.0,labmovil3-All-Series,148.45372438430786
3.0,labmovil3-All-Series,126.92750978469849
4.0,labmovil3-All-Series,123.27229309082031
5.0,labmovil3-All-Series,136.03568577766418
6.0,labmovil3-All-Series,126.28241991996765
7.0,labmovil3-All-Series,122.23963117599487
8.0,labmovil3-All-Series,118.95381927490234
9.0,labmovil3-All-Series,115.81765007972717
10.0,labmovil3-All-Series,115.44164228439331
11.0,labmovil3-All-Series,113.28703927993774
12.0,labmovil3-All-Series,114.02149891853333
13.0,labmovil3-All-Series,113.94595670700073
14.0,labmovil3-All-Series,117.05926823616028
15.0,labmovil3-All-Series,116.38516187667847
16.0,labmovil3-All-Series,116.41581416130066
17.0,labmovil3-All-Series,115.3726110458374
18.0,labmovil3-All-Series,112.96298909187317
19.0,labmovil3-All-Series,114.2677571773529
20.0,labmovil3-All-Series,113.97152304649353
21.0,labmovil3-All-Series,113.95616793632507
22.0,labmovil3-All-Series,116.67083096504211
23.0,labmovil3-All-Series,116.40739965438843
24.0,labmovil3-All-Series,113.80726718902588
25.0,labmovil3-All-Series,114.95939064025879
