Iteration,Worker,Time
1.0,labmovil3-All-Series,28.096445083618164
2.0,labmovil3-All-Series,22.21813702583313
3.0,labmovil3-All-Series,32.01094913482666
4.0,labmovil3-All-Series,40.58886170387268
5.0,labmovil3-All-Series,21.618582487106323
6.0,labmovil3-All-Series,16.357239723205566
7.0,labmovil3-All-Series,15.768751621246338
8.0,labmovil3-All-Series,17.4693386554718
9.0,labmovil3-All-Series,15.209349870681763
10.0,labmovil3-All-Series,17.72230839729309
11.0,labmovil3-All-Series,16.957112789154053
12.0,labmovil3-All-Series,16.101281881332397
13.0,labmovil3-All-Series,16.929084062576294
14.0,labmovil3-All-Series,15.862515687942505
15.0,labmovil3-All-Series,16.057950496673584
16.0,labmovil3-All-Series,16.69478750228882
17.0,labmovil3-All-Series,16.783098220825195
18.0,labmovil3-All-Series,16.638748168945312
20.0,labmovil3-All-Series,16.52685308456421
21.0,labmovil3-All-Series,16.92687749862671
22.0,labmovil3-All-Series,16.79633617401123
23.0,labmovil3-All-Series,14.624161720275879
24.0,labmovil3-All-Series,14.89058232307434
25.0,labmovil3-All-Series,25.532468795776367
1.0,labmovil4-All-Series,29.965909242630005
2.0,labmovil4-All-Series,23.228941440582275
3.0,labmovil4-All-Series,27.55054545402527
4.0,labmovil4-All-Series,35.68862223625183
5.0,labmovil4-All-Series,21.816930055618286
6.0,labmovil4-All-Series,15.950196504592896
7.0,labmovil4-All-Series,16.31610941886902
8.0,labmovil4-All-Series,14.902475118637085
9.0,labmovil4-All-Series,15.903385877609253
10.0,labmovil4-All-Series,29.084189653396606
11.0,labmovil4-All-Series,14.49416184425354
12.0,labmovil4-All-Series,14.827085971832275
13.0,labmovil4-All-Series,16.10524296760559
14.0,labmovil4-All-Series,15.84190058708191
15.0,labmovil4-All-Series,15.417684555053711
16.0,labmovil4-All-Series,15.03968095779419
17.0,labmovil4-All-Series,15.035977602005005
18.0,labmovil4-All-Series,15.395283460617065
20.0,labmovil4-All-Series,13.511374711990356
21.0,labmovil4-All-Series,17.2168288230896
22.0,labmovil4-All-Series,15.751968383789062
23.0,labmovil4-All-Series,15.698563575744629
24.0,labmovil4-All-Series,18.519182682037354
25.0,labmovil4-All-Series,14.962369918823242
1.0,labmovil2-All-Series,27.71016025543213
2.0,labmovil2-All-Series,27.590133666992188
3.0,labmovil2-All-Series,27.31538963317871
4.0,labmovil2-All-Series,46.12497305870056
5.0,labmovil2-All-Series,23.531785011291504
6.0,labmovil2-All-Series,16.974226236343384
7.0,labmovil2-All-Series,16.025968551635742
8.0,labmovil2-All-Series,16.172466278076172
9.0,labmovil2-All-Series,16.34892177581787
10.0,labmovil2-All-Series,13.777183771133423
11.0,labmovil2-All-Series,16.517537832260132
12.0,labmovil2-All-Series,16.055187702178955
13.0,labmovil2-All-Series,13.692429542541504
14.0,labmovil2-All-Series,15.23517918586731
15.0,labmovil2-All-Series,15.420022010803223
16.0,labmovil2-All-Series,14.935702323913574
17.0,labmovil2-All-Series,15.584933042526245
18.0,labmovil2-All-Series,16.006540775299072
20.0,labmovil2-All-Series,16.2404944896698
21.0,labmovil2-All-Series,15.75820779800415
22.0,labmovil2-All-Series,18.246266841888428
23.0,labmovil2-All-Series,15.10706353187561
24.0,labmovil2-All-Series,15.093951225280762
25.0,labmovil2-All-Series,24.31180214881897
