Iteration,Worker,Time
1.0,labmovil4-All-Series,1637.4228324890137
2.0,labmovil4-All-Series,1365.5337545871735
3.0,labmovil4-All-Series,793.7625231742859
4.0,labmovil4-All-Series,679.4903779029846
5.0,labmovil4-All-Series,623.1014122962952
7.0,labmovil4-All-Series,508.1032156944275
8.0,labmovil4-All-Series,468.5408489704132
9.0,labmovil4-All-Series,442.0061197280884
10.0,labmovil4-All-Series,423.1329188346863
11.0,labmovil4-All-Series,399.17173504829407
12.0,labmovil4-All-Series,386.5044529438019
13.0,labmovil4-All-Series,373.89677453041077
14.0,labmovil4-All-Series,358.17698860168457
15.0,labmovil4-All-Series,348.71723103523254
16.0,labmovil4-All-Series,342.08674144744873
17.0,labmovil4-All-Series,338.70864963531494
18.0,labmovil4-All-Series,331.8270981311798
19.0,labmovil4-All-Series,392.21013259887695
21.0,labmovil4-All-Series,326.9909830093384
22.0,labmovil4-All-Series,320.8266484737396
23.0,labmovil4-All-Series,326.65850162506104
24.0,labmovil4-All-Series,317.3568694591522
25.0,labmovil4-All-Series,367.7694504261017
1.0,labmovil2-All-Series,2004.9272363185883
2.0,labmovil2-All-Series,1232.764153957367
3.0,labmovil2-All-Series,949.0695116519928
4.0,labmovil2-All-Series,817.8547394275665
5.0,labmovil2-All-Series,745.1314563751221
7.0,labmovil2-All-Series,594.103376865387
8.0,labmovil2-All-Series,546.3705668449402
9.0,labmovil2-All-Series,508.1501953601837
10.0,labmovil2-All-Series,480.65131878852844
11.0,labmovil2-All-Series,453.6642940044403
12.0,labmovil2-All-Series,431.5395927429199
13.0,labmovil2-All-Series,411.4878044128418
14.0,labmovil2-All-Series,392.18549489974976
15.0,labmovil2-All-Series,379.62127566337585
16.0,labmovil2-All-Series,374.29788064956665
17.0,labmovil2-All-Series,365.1980209350586
18.0,labmovil2-All-Series,355.32636308670044
19.0,labmovil2-All-Series,355.9091045856476
21.0,labmovil2-All-Series,337.4323253631592
22.0,labmovil2-All-Series,335.51046085357666
23.0,labmovil2-All-Series,339.7258632183075
24.0,labmovil2-All-Series,336.5927736759186
25.0,labmovil2-All-Series,369.7119641304016
1.0,labmovil3-All-Series,1640.9823505878448
2.0,labmovil3-All-Series,1021.341737985611
3.0,labmovil3-All-Series,789.4322264194489
4.0,labmovil3-All-Series,678.9361515045166
5.0,labmovil3-All-Series,622.0597422122955
7.0,labmovil3-All-Series,508.4670467376709
8.0,labmovil3-All-Series,469.0613498687744
9.0,labmovil3-All-Series,444.03827238082886
10.0,labmovil3-All-Series,421.1909041404724
11.0,labmovil3-All-Series,402.5759918689728
12.0,labmovil3-All-Series,383.8720033168793
13.0,labmovil3-All-Series,373.7733471393585
14.0,labmovil3-All-Series,357.7989420890808
15.0,labmovil3-All-Series,350.4214918613434
16.0,labmovil3-All-Series,341.8513526916504
17.0,labmovil3-All-Series,340.44600558280945
18.0,labmovil3-All-Series,332.4586215019226
19.0,labmovil3-All-Series,260.8825056552887
21.0,labmovil3-All-Series,325.8020360469818
22.0,labmovil3-All-Series,319.9505298137665
23.0,labmovil3-All-Series,323.91676139831543
24.0,labmovil3-All-Series,318.27882528305054
25.0,labmovil3-All-Series,356.825147151947
