Iteration,Worker,Time
1.0,labmovil2-All-Series,1960.7143375873566
2.0,labmovil2-All-Series,1340.2594606876373
3.0,labmovil2-All-Series,948.4880723953247
4.0,labmovil2-All-Series,803.6865046024323
5.0,labmovil2-All-Series,806.7845995426178
6.0,labmovil2-All-Series,638.1706380844116
7.0,labmovil2-All-Series,579.0601150989532
8.0,labmovil2-All-Series,535.6483731269836
10.0,labmovil2-All-Series,461.0721652507782
11.0,labmovil2-All-Series,440.21115946769714
12.0,labmovil2-All-Series,418.5226345062256
13.0,labmovil2-All-Series,407.8077266216278
15.0,labmovil2-All-Series,367.8734757900238
16.0,labmovil2-All-Series,364.641813993454
17.0,labmovil2-All-Series,363.45088148117065
18.0,labmovil2-All-Series,346.5442500114441
19.0,labmovil2-All-Series,344.11919617652893
20.0,labmovil2-All-Series,337.1711962223053
21.0,labmovil2-All-Series,338.2464873790741
22.0,labmovil2-All-Series,334.34394931793213
23.0,labmovil2-All-Series,333.71264266967773
24.0,labmovil2-All-Series,327.23566794395447
25.0,labmovil2-All-Series,375.82721853256226
1.0,labmovil4-All-Series,1472.5883960723877
2.0,labmovil4-All-Series,1134.6584861278534
3.0,labmovil4-All-Series,790.5462698936462
4.0,labmovil4-All-Series,678.626847743988
5.0,labmovil4-All-Series,560.727796792984
6.0,labmovil4-All-Series,549.420033454895
7.0,labmovil4-All-Series,507.479279756546
8.0,labmovil4-All-Series,468.0314271450043
10.0,labmovil4-All-Series,422.316433429718
11.0,labmovil4-All-Series,398.0286500453949
12.0,labmovil4-All-Series,383.332807302475
13.0,labmovil4-All-Series,372.3532121181488
15.0,labmovil4-All-Series,349.20514369010925
16.0,labmovil4-All-Series,342.9896590709686
17.0,labmovil4-All-Series,305.32816076278687
18.0,labmovil4-All-Series,332.83443903923035
19.0,labmovil4-All-Series,328.3806550502777
20.0,labmovil4-All-Series,354.2353250980377
21.0,labmovil4-All-Series,324.06972002983093
22.0,labmovil4-All-Series,318.72769951820374
23.0,labmovil4-All-Series,328.020720243454
24.0,labmovil4-All-Series,313.25009417533875
25.0,labmovil4-All-Series,365.5851547718048
1.0,labmovil3-All-Series,1805.3400874137878
2.0,labmovil3-All-Series,1134.989765882492
3.0,labmovil3-All-Series,793.0972785949707
4.0,labmovil3-All-Series,680.1212456226349
5.0,labmovil3-All-Series,624.4471943378448
6.0,labmovil3-All-Series,551.427271604538
7.0,labmovil3-All-Series,509.2485148906708
8.0,labmovil3-All-Series,469.8154957294464
10.0,labmovil3-All-Series,423.695276260376
11.0,labmovil3-All-Series,401.8213999271393
12.0,labmovil3-All-Series,384.39740681648254
13.0,labmovil3-All-Series,376.3474600315094
15.0,labmovil3-All-Series,352.14999127388
16.0,labmovil3-All-Series,345.6700747013092
17.0,labmovil3-All-Series,375.83252239227295
18.0,labmovil3-All-Series,335.76886677742004
19.0,labmovil3-All-Series,331.5124514102936
20.0,labmovil3-All-Series,292.4191496372223
21.0,labmovil3-All-Series,326.69521403312683
22.0,labmovil3-All-Series,321.79289078712463
23.0,labmovil3-All-Series,321.8350872993469
24.0,labmovil3-All-Series,324.49360489845276
25.0,labmovil3-All-Series,352.19214510917664
