Iteration,Worker,Time
1.0,labmovil2-All-Series,2223.1515016555786
2.0,labmovil2-All-Series,1339.1307199001312
3.0,labmovil2-All-Series,932.442985534668
4.0,labmovil2-All-Series,821.0210294723511
5.0,labmovil2-All-Series,735.86328291893
6.0,labmovil2-All-Series,641.4801397323608
7.0,labmovil2-All-Series,586.1019351482391
8.0,labmovil2-All-Series,536.5709390640259
9.0,labmovil2-All-Series,502.7810482978821
10.0,labmovil2-All-Series,471.6854040622711
11.0,labmovil2-All-Series,443.44704961776733
12.0,labmovil2-All-Series,424.3030626773834
13.0,labmovil2-All-Series,409.35446643829346
14.0,labmovil2-All-Series,389.79471588134766
15.0,labmovil2-All-Series,465.2991147041321
16.0,labmovil2-All-Series,368.07337284088135
17.0,labmovil2-All-Series,361.9007263183594
18.0,labmovil2-All-Series,353.8334889411926
19.0,labmovil2-All-Series,348.62267899513245
20.0,labmovil2-All-Series,340.1884078979492
21.0,labmovil2-All-Series,344.3977167606354
22.0,labmovil2-All-Series,336.64819145202637
23.0,labmovil2-All-Series,345.9273443222046
24.0,labmovil2-All-Series,334.1007606983185
25.0,labmovil2-All-Series,383.4210500717163
1.0,labmovil3-All-Series,1502.5509912967682
2.0,labmovil3-All-Series,1137.22589635849
3.0,labmovil3-All-Series,795.0746409893036
4.0,labmovil3-All-Series,677.5017068386078
5.0,labmovil3-All-Series,621.8990199565887
6.0,labmovil3-All-Series,550.0375463962555
7.0,labmovil3-All-Series,508.981507062912
8.0,labmovil3-All-Series,469.8561465740204
9.0,labmovil3-All-Series,441.8687832355499
10.0,labmovil3-All-Series,420.77850794792175
11.0,labmovil3-All-Series,399.9824957847595
12.0,labmovil3-All-Series,381.0691502094269
13.0,labmovil3-All-Series,372.29986810684204
14.0,labmovil3-All-Series,355.24821066856384
15.0,labmovil3-All-Series,384.32769656181335
16.0,labmovil3-All-Series,341.12008023262024
17.0,labmovil3-All-Series,338.1924560070038
18.0,labmovil3-All-Series,330.77303552627563
19.0,labmovil3-All-Series,326.3909242153168
20.0,labmovil3-All-Series,320.64471411705017
21.0,labmovil3-All-Series,322.777113199234
22.0,labmovil3-All-Series,316.36491346359253
23.0,labmovil3-All-Series,318.30415439605713
24.0,labmovil3-All-Series,315.868022441864
25.0,labmovil3-All-Series,354.33940601348877
1.0,labmovil4-All-Series,1532.7409482002258
2.0,labmovil4-All-Series,1134.8685405254364
3.0,labmovil4-All-Series,794.6388258934021
4.0,labmovil4-All-Series,677.8509423732758
5.0,labmovil4-All-Series,622.6001825332642
6.0,labmovil4-All-Series,548.5614361763
7.0,labmovil4-All-Series,508.3936941623688
8.0,labmovil4-All-Series,468.79642701148987
9.0,labmovil4-All-Series,442.12554907798767
10.0,labmovil4-All-Series,419.25640058517456
11.0,labmovil4-All-Series,397.1972963809967
12.0,labmovil4-All-Series,381.5892918109894
13.0,labmovil4-All-Series,370.2154200077057
14.0,labmovil4-All-Series,354.67772817611694
15.0,labmovil4-All-Series,242.5910837650299
16.0,labmovil4-All-Series,343.0087819099426
17.0,labmovil4-All-Series,336.9472270011902
18.0,labmovil4-All-Series,330.0391116142273
19.0,labmovil4-All-Series,328.99407291412354
20.0,labmovil4-All-Series,319.69880771636963
21.0,labmovil4-All-Series,322.34232234954834
22.0,labmovil4-All-Series,317.65657138824463
23.0,labmovil4-All-Series,322.102374792099
24.0,labmovil4-All-Series,313.6743230819702
25.0,labmovil4-All-Series,352.0929982662201
