Iteration,Worker,Time
1.0,labmovil4-All-Series,1632.0956873893738
2.0,labmovil4-All-Series,1141.9188878536224
3.0,labmovil4-All-Series,793.710193157196
4.0,labmovil4-All-Series,673.7402248382568
5.0,labmovil4-All-Series,620.2785561084747
6.0,labmovil4-All-Series,546.80171251297
7.0,labmovil4-All-Series,506.126172542572
8.0,labmovil4-All-Series,466.54359793663025
9.0,labmovil4-All-Series,435.22574186325073
10.0,labmovil4-All-Series,415.5302107334137
11.0,labmovil4-All-Series,394.2552080154419
12.0,labmovil4-All-Series,379.4984312057495
13.0,labmovil4-All-Series,368.7425546646118
14.0,labmovil4-All-Series,353.1502947807312
15.0,labmovil4-All-Series,345.13282656669617
16.0,labmovil4-All-Series,339.09494376182556
17.0,labmovil4-All-Series,334.9783384799957
18.0,labmovil4-All-Series,328.1882679462433
19.0,labmovil4-All-Series,324.2440917491913
20.0,labmovil4-All-Series,317.9298176765442
21.0,labmovil4-All-Series,320.65205907821655
22.0,labmovil4-All-Series,315.02793860435486
23.0,labmovil4-All-Series,321.6327359676361
24.0,labmovil4-All-Series,317.8216061592102
25.0,labmovil4-All-Series,356.7805817127228
1.0,labmovil3-All-Series,1664.8286237716675
2.0,labmovil3-All-Series,1132.5484313964844
3.0,labmovil3-All-Series,773.645468711853
4.0,labmovil3-All-Series,681.9070093631744
5.0,labmovil3-All-Series,622.7259132862091
6.0,labmovil3-All-Series,551.4457461833954
7.0,labmovil3-All-Series,509.42814087867737
8.0,labmovil3-All-Series,470.236567735672
9.0,labmovil3-All-Series,438.17733573913574
10.0,labmovil3-All-Series,419.8616805076599
11.0,labmovil3-All-Series,398.13847374916077
12.0,labmovil3-All-Series,382.9119346141815
13.0,labmovil3-All-Series,372.84389543533325
14.0,labmovil3-All-Series,357.2687714099884
15.0,labmovil3-All-Series,348.1401307582855
16.0,labmovil3-All-Series,342.5514633655548
17.0,labmovil3-All-Series,337.97835326194763
18.0,labmovil3-All-Series,331.7724356651306
19.0,labmovil3-All-Series,328.0589904785156
20.0,labmovil3-All-Series,321.8060657978058
21.0,labmovil3-All-Series,323.8093316555023
22.0,labmovil3-All-Series,319.2543249130249
23.0,labmovil3-All-Series,316.16698694229126
24.0,labmovil3-All-Series,315.1700789928436
25.0,labmovil3-All-Series,343.15404534339905
1.0,labmovil2-All-Series,1977.6730060577393
2.0,labmovil2-All-Series,1351.2568299770355
3.0,labmovil2-All-Series,982.8523461818695
4.0,labmovil2-All-Series,820.6402652263641
5.0,labmovil2-All-Series,739.533399105072
6.0,labmovil2-All-Series,651.8431992530823
7.0,labmovil2-All-Series,593.7147307395935
8.0,labmovil2-All-Series,542.1102583408356
9.0,labmovil2-All-Series,499.553519487381
10.0,labmovil2-All-Series,473.29541206359863
11.0,labmovil2-All-Series,446.11600518226624
12.0,labmovil2-All-Series,428.94439339637756
13.0,labmovil2-All-Series,413.21807956695557
14.0,labmovil2-All-Series,390.90674209594727
15.0,labmovil2-All-Series,378.083571434021
16.0,labmovil2-All-Series,369.58312797546387
17.0,labmovil2-All-Series,365.0077154636383
18.0,labmovil2-All-Series,354.61958956718445
19.0,labmovil2-All-Series,356.9746868610382
20.0,labmovil2-All-Series,351.2280333042145
21.0,labmovil2-All-Series,346.04144644737244
22.0,labmovil2-All-Series,337.70572328567505
23.0,labmovil2-All-Series,347.4898829460144
24.0,labmovil2-All-Series,332.3875539302826
25.0,labmovil2-All-Series,393.19043922424316
