Number of features,Execution time,Predicted time
36,3.128488333333333,2.4850000000000008
37,1.584285,2.485
38,1.57454,2.485
39,1.677366,1.6235000000000002
40,1.6008233333333335,1.6235000000000004
41,1.6022450000000001,1.5551999999999997
42,1.60681,1.5552
43,1.7608814285714287,1.7450999999999997
44,1.9333442857142857,1.7450999999999997
45,1.6113085714285715,1.5952000000000004
46,1.5754625,1.5952
47,1.665764285714286,1.5874000000000004
48,1.61453375,1.5874000000000001
49,1.5891525,1.5874
50,1.58714375,1.5874000000000001
51,1.5988677777777778,1.5874000000000001
52,1.5918471428571428,1.5887
53,1.5839,1.5838
54,1.7065858333333332,1.5838
55,1.587328,1.5163
56,1.59892,1.6614999999999995
57,1.5873416666666669,1.5569
58,1.59772,1.5569000000000004
59,1.59919,1.5568999999999997
60,1.5715299999999999,1.5569000000000002
61,2.950425,1.9391000000000005
62,1.5910966666666666,1.9391000000000007
63,1.6181674999999998,1.5983
64,1.6127340000000001,1.5982999999999998
65,1.619997777777778,1.5982999999999998
66,1.6158075,1.5983
68,1.6116199999999998,1.5356
69,1.644818,1.5356000000000003
70,1.5943450000000001,1.5356
71,1.6220271428571427,1.5356000000000005
73,1.59407,1.5514000000000001
74,1.5961599999999998,1.5514
75,1.6322733333333332,1.576
76,1.621189,1.5759999999999998
77,1.6215462500000002,1.5487
78,1.6147224999999998,1.5487
79,1.6127142857142858,1.5486999999999997
80,1.6262750000000001,1.7483
81,1.7375700000000003,1.7227000000000001
82,1.9947860000000004,1.7227000000000001
83,1.7945033333333333,1.7237999999999996
84,1.626865,1.7238
85,1.619473333333333,1.6132999999999997
86,1.6235699999999997,1.6133
87,1.6379266666666668,1.6053
88,1.6899188888888892,1.6053
89,1.5990600000000001,1.6021
90,1.6134500000000003,1.6021000000000003
91,1.63715,1.6021
92,1.6233999999999997,1.5902999999999998
93,1.6245566666666669,1.5902999999999998
94,1.62362,1.5970999999999995
95,1.6445685714285718,1.5970999999999995
96,1.6348875,1.5971
97,1.640468888888889,1.6416999999999995
98,1.6357216666666665,1.6417
99,1.629864,1.6417
100,1.617315,1.6416999999999997
101,1.6415728571428572,1.6417
102,1.6273799999999998,1.6416999999999997
103,1.630445,1.5947
104,1.6558424999999999,1.5947
105,1.6503824999999999,1.5947
106,1.62347,1.6042999999999998
107,1.64671,1.6042999999999998
108,1.6500366666666664,1.6043000000000005
110,1.6344033333333339,1.4705999999999995
111,1.673565,1.4706000000000001
112,1.632585,1.6697
113,1.65453,1.6697
114,1.61952,1.6937000000000002
115,1.761734,1.6937000000000004
116,1.7086,1.6733
117,1.65293,1.6733
118,1.6704099999999997,1.7205000000000001
119,1.71467,1.7205
120,1.66779,1.6385999999999998
121,1.6714859999999998,1.6385999999999998
122,1.6814600000000004,1.8746000000000003
123,1.6699100000000002,1.7218000000000004
124,1.6684933333333332,1.5940999999999996
125,1.6497400000000002,1.6929999999999998
126,1.6789749999999999,1.6904
127,1.69751,1.7605999999999997
128,1.6834050000000005,1.6319000000000004
129,1.6941850000000003,1.7487
130,1.64712,1.5746
131,1.70916,1.7734
132,1.6657557142857142,1.7033
133,1.6949650000000003,1.7644999999999995
134,1.6568399999999996,1.7645
135,1.6776966666666666,1.6629
138,1.6309900000000002,1.8267999999999998
139,1.6973680000000002,1.6354999999999997
141,1.6290300000000002,1.6489
143,1.6898199999999999,1.7549
144,1.72089,1.7549
145,1.65659,1.7274
146,1.70671,1.7274
147,1.7177699999999998,1.6906000000000003
148,1.66482,1.6906000000000003
149,1.6723649999999999,1.6906000000000003
150,1.70321,1.5394
151,1.6822949999999999,1.5394
152,1.7687549999999999,1.5394
153,1.65195,1.5394
154,1.681776666666667,1.5394
156,1.68132,1.8400000000000007
157,1.6606199999999998,1.4514
158,1.7036175,1.4514
159,1.7020766666666665,1.7322000000000004
160,1.6937633333333333,1.7674000000000005
161,1.6855550000000001,1.7673999999999999
162,1.741415,1.6888999999999998
163,1.68203,1.6888999999999994
166,1.7276500000000001,1.6913
167,1.6847649999999998,1.6856000000000002
169,1.7466899999999999,1.6799
170,1.74146,1.6799
171,1.67348,1.3797
175,1.68342,1.4839
177,1.6818899999999999,1.4839
180,1.7242850000000005,1.7791000000000001
181,1.68401,1.7791000000000001
182,1.7205599999999996,1.7791000000000001
183,1.7114800000000003,1.7106
184,1.7195600000000002,1.7106
185,1.74921,1.7106
186,1.75251,1.7106
187,1.7752499999999998,1.6902000000000001
188,1.7520399999999998,1.6902000000000001
189,1.7427185714285713,1.6902000000000008
190,1.7125650000000003,1.6231000000000002
191,1.7512749999999997,1.6231
192,1.7114,1.6231000000000002
193,1.7619333333333336,1.6231000000000002
194,1.752605,1.8106
195,1.7056500000000003,1.8106000000000002
196,1.7187100000000002,1.8888000000000007
198,1.7199079999999998,1.8888000000000003
199,1.7492550000000002,1.9367
200,1.78553,1.6846
201,1.7407775,1.6846
202,1.7563050000000004,1.6846000000000003
203,1.76992,1.8329999999999995
204,1.720965,1.8329999999999997
205,1.73309,1.8329999999999997
206,1.7761633333333333,1.8329999999999995
207,1.7096899999999997,1.8329999999999997
209,1.7736133333333335,1.5591999999999995
210,1.7044000000000001,1.5592000000000001
211,1.7990000000000002,1.5592000000000001
212,1.8125833333333337,1.8100000000000003
213,1.743088,1.8100000000000003
214,1.78856,1.8099999999999998
215,1.7062599999999999,1.8099999999999998
216,1.7705040000000003,1.8100000000000003
217,1.7716299999999998,1.8100000000000003
218,1.72864,1.8099999999999998
219,1.7742499999999999,1.81
222,1.7963200000000004,1.7959000000000003
223,1.7996066666666664,1.7676999999999998
224,1.8239900000000002,1.7677
225,1.7084700000000002,1.7677
226,1.76153,1.7677
227,1.7231700000000003,1.7677
228,1.82042,1.5695
230,1.7202300000000001,1.5695
235,1.79173,1.8029
237,1.7973799999999998,1.8029
239,1.7725599999999997,1.8421999999999996
240,1.78109,1.8421999999999996
241,1.80937,1.8421999999999996
243,1.83094,1.8421999999999996
246,1.8057350000000003,1.8284999999999996
247,1.88049,1.8284999999999996
248,1.7859366666666667,1.8284999999999996
249,1.8824099999999997,1.7918999999999996
250,1.8226049999999998,1.7918999999999996
251,1.75684,1.7918999999999996
252,1.7580000000000002,1.7918999999999996
253,1.8383399999999999,1.7918999999999996
254,1.7789900000000003,1.7918000000000005
255,1.7870000000000001,1.7918000000000003
256,1.7896249999999996,1.7918000000000003
257,1.7662849999999999,1.7126999999999994
258,1.71384,1.7127
259,1.7471899999999998,1.7127
261,1.80704,1.7127
262,1.8082749999999996,1.7127
264,1.7680433333333334,1.7126999999999994
265,1.7837,1.7126999999999994
267,1.808258,1.7476999999999998
268,1.79473,1.7477
269,1.7291700000000003,1.7477
270,1.80385,1.7477000000000005
272,1.8081900000000002,1.7643
273,1.8345300000000002,1.7642999999999998
274,1.75669,1.7643
275,1.79789,1.7643
276,1.8130700000000002,1.7643
277,1.7742799999999999,1.7643
280,1.7917200000000002,1.7643
281,1.7910600000000003,1.7643
284,1.8468199999999997,1.7642999999999998
285,1.82182,1.7643
292,1.86346,1.7646000000000002
295,1.8142299999999998,1.7513
299,1.87332,1.7513
303,1.83404,1.7513
304,1.8751299999999997,1.7201
308,1.831743333333333,1.7201000000000002
309,1.809155,1.7201
