Number of features,Execution time,Predicted time
36,3.123693333333333,3.156299999999999
37,1.58737,1.6121000000000003
38,1.57997,1.6121000000000003
39,1.6927219999999996,1.6121
40,1.5894800000000002,1.5833999999999997
41,1.5858700000000001,1.5833999999999997
42,1.58749,1.6343
43,1.7344099999999996,1.6342999999999996
44,1.9440285714285714,1.7048000000000008
45,1.6026200000000004,1.7048000000000008
46,1.5854875,1.5972
47,1.6584000000000003,1.5972
48,1.5921925,1.5889000000000002
49,1.5828925000000003,1.5889
50,1.58935,1.586
51,1.581675555555555,1.5860000000000005
52,1.594302857142857,1.5839
53,1.61552,1.6175000000000002
54,1.7024049999999997,1.6175
55,1.5882420000000002,1.5333
56,1.5849190000000002,1.5762
57,1.5842916666666664,1.6167999999999998
58,1.5924688888888887,1.5438000000000005
59,1.5990799999999998,1.5437999999999996
60,1.59444,1.8877
61,2.9106950000000005,1.8877000000000002
62,1.588676666666667,1.8877000000000004
63,1.6003349999999998,1.6138
64,1.6000860000000001,1.6137999999999997
65,1.6075499999999998,1.5844999999999998
66,1.611125,1.5845
68,1.5974324999999998,1.5702
69,1.5948399999999996,1.5702
70,1.5972425000000001,1.5748
71,1.6107914285714287,1.5747999999999998
73,1.6114966666666668,1.5232000000000006
74,1.591466,1.5232
75,1.6008266666666668,1.5593
76,1.604473,1.5593000000000004
77,1.6190687499999998,1.5444999999999998
78,1.6376275,1.5497
79,1.6210971428571428,1.5497
80,1.6264150000000002,1.7689999999999997
81,1.771035,1.7335
82,2.020442,1.7335000000000003
83,1.7846299999999997,1.8624999999999996
84,1.619385,1.5692999999999997
85,1.62512,1.5692999999999997
86,1.6160800000000002,1.6381000000000001
87,1.6155900000000003,1.6174000000000002
88,1.6808088888888888,1.6174
89,1.59714,1.6174
90,1.611438,1.6063000000000005
91,1.59813,1.6063000000000003
92,1.60288,1.5950999999999997
93,1.645946666666667,1.5951000000000002
94,1.6628600000000004,1.5951000000000002
95,1.6321914285714283,1.5444999999999998
96,1.6369399999999998,1.5445
97,1.6218544444444445,1.6131999999999995
98,1.627956666666667,1.6132
99,1.620142,1.6132
100,1.6323,1.6131999999999997
101,1.6312057142857146,1.6132000000000002
102,1.63278,1.6131999999999997
103,1.6443999999999999,1.6002000000000003
104,1.6384900000000002,1.6002000000000003
105,1.6292649999999997,1.6002000000000003
106,1.6645499999999998,1.6002000000000003
107,1.6287000000000003,1.6002000000000003
108,1.65881,1.5713999999999995
110,1.63037,1.5713999999999995
111,1.6475650000000002,1.6352
112,1.66069,1.6352
113,1.6256600000000003,1.9753
114,1.67242,1.9753
115,1.75929,1.6701999999999995
116,1.62911,1.6702
117,1.6610425,1.7355
118,1.70003,1.7355000000000005
119,1.6522799999999997,1.6754000000000002
120,1.631775,1.6172999999999997
121,1.6965320000000004,1.6173
122,1.6684233333333336,1.7789
123,1.65365,1.6316
124,1.65879,1.5469000000000002
125,1.65111,1.7385999999999995
126,1.6788699999999999,1.6646
127,1.64463,1.7459
128,1.639905,1.6183000000000003
129,1.658985,1.8128999999999997
130,1.659485,1.5572000000000004
131,1.6323600000000003,1.7616
132,1.6636228571428573,1.7310999999999996
133,1.654335,1.6697999999999997
134,1.67223,1.6641
135,1.7064866666666665,1.6109999999999995
138,1.6443550000000002,1.6885
139,1.6776939999999998,1.5024999999999997
141,1.67987,1.6717
143,1.71752,1.7425000000000002
144,1.7352,1.7425000000000002
145,1.7099699999999998,1.7586
146,1.70514,1.7586000000000002
147,1.70782,1.6957
148,1.6705,1.6957
149,1.6627699999999996,1.6799
150,1.6619250000000005,1.6799
151,1.7085100000000004,1.6799
152,1.6885,1.6309
153,1.6832550000000002,1.6309
154,1.6734233333333333,1.6871999999999996
156,1.6999766666666667,1.7074
157,1.67147,1.7074000000000003
158,1.6920099999999998,1.5712
159,1.69495,1.5712000000000002
160,1.6992366666666667,1.6514999999999995
161,1.679945,1.7553
162,1.709805,1.7553
163,1.6982900000000003,1.7517
166,1.7111400000000003,1.7635999999999998
167,1.698135,1.7338999999999998
169,1.6965800000000002,1.7849999999999997
170,1.68223,1.7849999999999997
171,1.68263,1.4779
175,1.69174,1.4643
177,1.78083,1.4643
180,1.68216,1.7571999999999999
181,1.7006799999999997,1.7572000000000003
182,1.7311200000000002,1.7571999999999999
183,1.68077,1.7513
184,1.7359150000000003,1.7513
185,1.7415333333333334,1.7513
186,1.7182033333333335,1.7453
187,1.78963,1.7452999999999999
188,1.7999900000000004,1.7452999999999999
189,1.7264642857142858,1.7453
190,1.7187849999999998,1.6179
191,1.7628466666666667,1.6179000000000003
192,1.75407,1.6179
193,1.7323266666666666,1.7141999999999995
194,1.7494383333333332,1.7142000000000004
195,1.7695,1.8731000000000002
196,1.7395733333333336,1.8731000000000002
198,1.7537900000000002,1.7914999999999999
199,1.7701349999999998,1.7914999999999999
200,1.7294800000000001,1.7231
201,1.7257224999999998,1.7231
202,1.7219000000000002,1.7503999999999997
203,1.7234966666666667,1.7503999999999997
204,1.728215,1.7687000000000002
205,1.75932,1.7687000000000002
206,1.7637766666666663,1.7687000000000004
207,1.7364149999999998,1.6331
209,1.76856,1.6330999999999998
210,1.72479,1.7411999999999999
211,1.77865,1.7411999999999999
212,1.77325,1.7411999999999999
213,1.7302300000000002,1.7300999999999995
214,1.7598299999999998,1.7300999999999997
215,1.74146,1.7300999999999997
216,1.7556539999999998,1.7300999999999995
217,1.727176666666667,1.7301
218,1.7306199999999996,1.7300999999999997
219,1.7494824999999998,1.7300999999999997
222,1.7574199999999998,2.0535
223,1.7957633333333334,1.7077999999999998
224,1.71035,1.7078
225,1.75034,1.7078
226,1.7282499999999998,1.7078
227,1.7640699999999998,1.3297000000000003
228,1.7875000000000003,1.3297000000000003
230,1.73279,1.5618
235,1.87136,1.9964000000000002
237,1.77574,1.7826999999999997
239,1.7426,1.7826999999999997
240,1.81284,1.7826999999999997
241,1.7957,1.7826999999999997
243,1.75426,1.7826999999999997
246,1.7805899999999997,1.7826999999999997
247,1.79625,1.8626999999999998
248,1.7827533333333332,1.8626999999999994
249,1.8146700000000002,1.8626999999999998
250,1.7756100000000004,1.8626999999999996
251,1.82672,1.6644999999999999
252,1.77057,1.6644999999999999
253,1.7893900000000003,1.6644999999999999
254,1.7921466666666666,1.6644999999999994
255,1.7744400000000002,1.7291999999999998
256,1.7795250000000002,1.7291999999999998
257,1.781945,1.7291999999999998
258,1.72911,1.7292
259,1.72735,1.6873999999999998
261,1.74798,1.6873999999999998
262,1.7795675,1.6873999999999998
264,1.8134666666666668,1.7584000000000004
265,1.7601650000000002,1.7584000000000004
267,1.8080819999999997,1.7583999999999997
268,1.7819650000000002,1.7584
269,1.73764,1.7584
270,1.8019949999999998,1.7584000000000004
272,1.7723299999999997,1.7584
273,1.7896150000000002,1.7706000000000004
274,1.8431800000000003,1.7706
275,1.78249,1.7706
276,1.7576999999999998,1.7706
277,1.75871,1.7706
280,1.7645,1.8040999999999996
281,1.75912,1.8040999999999996
284,1.771665,1.8040999999999996
285,1.80534,1.8040999999999996
292,1.85873,1.8069999999999997
295,1.8434899999999999,1.7594999999999998
299,1.7940799999999997,1.7594999999999998
303,1.8560199999999998,1.7594999999999998
304,1.8152149999999998,1.7595000000000003
308,1.8167366666666662,1.7389999999999997
309,1.8223349999999996,1.739
310,1.90536,1.739
311,1.8143299999999996,1.8969999999999998
312,1.82337,1.8969999999999998
313,1.8471600000000001,1.8969999999999996
314,1.864872,1.8970000000000002
315,1.8882625000000002,1.8969999999999998
316,1.8604100000000003,1.7836000000000003
317,1.85187,1.7836000000000003
318,1.8678750000000002,1.7836000000000003
319,1.7919099999999997,1.7836000000000003
321,1.928666666666667,1.7836
323,1.8933033333333333,1.7599000000000005
324,1.8412149999999996,1.7599
325,1.85911,1.7599000000000005
326,1.8716650000000001,1.7599000000000005
327,1.8163400000000003,1.8637000000000001
328,1.861535,1.8637000000000001
330,1.82089,1.8637000000000001
331,1.89469,1.8759000000000001
336,1.95353,1.8759000000000001
338,1.8569400000000003,1.7794000000000003
340,1.9081,1.7794
348,1.8839199999999998,1.9200000000000004
373,1.90248,1.6971
376,1.9313399999999998,1.6971
379,1.8527199999999997,1.6971
381,1.91388,1.6971
382,1.9481799999999996,1.6971
383,1.8996633333333333,1.6970999999999998
386,1.9878900000000002,2.0086000000000004
387,1.8992499999999999,2.0086000000000004
389,1.9044699999999999,2.0086000000000004
390,1.9348900000000004,2.0086000000000004
391,1.9076600000000004,2.0086000000000004
393,1.8441800000000002,2.0980999999999996
394,1.91313,2.0980999999999996
395,1.8985499999999997,2.0980999999999996
398,1.8880000000000001,1.9196999999999997
399,1.9773249999999998,1.9197
400,1.892865,1.9197
401,1.98625,1.9197
402,1.98753,1.9316
404,1.9054240000000002,1.9316
405,1.9160950000000003,1.9316000000000006
406,1.8932866666666668,1.9316000000000006
407,1.9554266666666669,1.9187000000000003
408,1.9436600000000002,1.9187
409,1.91851,1.9187
410,1.96681,1.9187
411,1.9214633333333333,1.9187000000000003
412,1.9546299999999999,1.9187
413,1.9741999999999997,1.9179
414,1.9240100000000002,1.9179
415,1.9273099999999999,1.9179
416,1.8762099999999997,1.9179
417,1.97562,1.9179
418,1.88853,1.9179
419,1.9743600000000001,1.9179
420,1.93029,1.8579
423,1.9489999999999998,1.8579
424,1.9900849999999999,1.8579
428,1.8898799999999998,1.8579
429,1.9454799999999999,1.9349999999999998
430,1.9635799999999999,1.9349999999999998
431,1.915135,1.9350000000000005
437,1.9745200000000005,1.9350000000000005
438,1.94671,1.9349999999999998
439,1.91379,1.9349999999999998
440,1.969015,1.8798000000000001
441,1.9507400000000001,1.8798
442,1.97515,1.8798
443,1.95344,1.8798000000000006
445,1.9431100000000003,1.8798
446,1.9641150000000003,1.8798000000000001
447,1.9732700000000005,1.8716000000000002
448,1.9851866666666667,1.8716000000000002
449,1.951465,1.8716000000000002
450,1.9897200000000004,1.8716000000000002
453,1.945065,1.9234999999999995
454,1.9083999999999999,1.9235
456,1.9595099999999999,1.9235
457,1.9887000000000001,1.9235
458,1.9960866666666666,2.0599
459,1.99481,2.0599
460,1.9448050000000001,2.0599
462,1.96848,2.0599
463,1.9982399999999998,2.0599
464,1.9585599999999999,1.7907
465,1.9589533333333335,1.7907000000000002
466,1.9603199999999998,1.7907
467,2.016065,1.7907
468,2.0680199999999997,1.7907
472,1.94164,1.8944000000000003
475,1.9863,1.8944000000000003
478,2.08224,1.8944000000000003
479,1.97873,1.8944000000000003
482,2.01973,2.0480000000000005
486,2.10159,2.0480000000000005
487,2.03304,2.0480000000000005
488,1.98372,2.0480000000000005
496,1.9884700000000002,2.1804999999999994
509,2.17978,2.1805000000000003
531,2.00748,1.9959
533,1.983895,1.9959
536,2.0551400000000006,1.9959
538,2.0319100000000003,1.9037
539,2.0059766666666663,1.9037000000000002
540,2.0951400000000002,1.9037
541,2.02391,1.9037
546,2.02223,2.0378
547,2.1188350000000002,2.0377999999999994
550,1.9945,2.0378
551,2.07749,2.0378
552,2.1305949999999996,2.0377999999999994
553,2.0284849999999994,2.0377999999999994
554,2.121285,2.0377999999999994
555,2.061716666666667,2.0377999999999994
556,2.0707500000000003,2.0017
