Number of features,Execution time,Predicted time
36,3.1471266666666664,6.834799999999999
37,1.59207,7.215399999999998
38,1.5424900000000001,7.2154
39,1.6760460000000001,7.2154
40,1.603125,7.2154
41,1.582365,7.2154
42,1.5910225,7.2154
43,1.742212857142857,7.2154
44,1.9262314285714284,7.235799999999998
45,1.5831357142857143,7.235799999999998
46,1.576825,7.2358
47,1.6444014285714286,7.235799999999998
48,1.60341875,7.235799999999999
49,1.572085,7.2358
50,1.58718375,7.235799999999999
51,1.6208566666666668,7.235799999999999
52,1.5834000000000001,7.235799999999998
53,1.5733549999999998,7.233900000000001
54,1.6843575000000002,7.233900000000002
55,1.575698,7.2339
56,1.5882569999999998,7.233899999999998
57,1.5945266666666666,7.2339
58,1.5901177777777775,7.233899999999999
59,1.5935833333333334,7.233900000000002
60,1.61216,7.233900000000001
61,2.907445,7.233900000000001
62,1.5761766666666661,7.233900000000002
63,1.6096775,7.2339
64,1.599514,7.2339
65,1.6046844444444446,8.048100000000002
66,1.6206600000000002,8.0481
68,1.6029249999999997,8.0481
69,1.60665,8.048099999999998
70,1.5989550000000001,8.0481
71,1.6038942857142857,8.048099999999998
73,1.581966666666667,8.048100000000002
74,1.6092939999999998,8.048099999999998
75,1.5949,8.048100000000002
76,1.6038889999999997,8.0481
77,1.6030962500000001,8.048100000000002
78,1.6127675,8.0481
79,1.6058242857142855,8.048099999999998
80,1.610155,8.048100000000002
81,1.7434025000000002,8.0481
82,1.9576060000000002,9.0332
83,1.806676666666667,9.0332
84,1.611805,9.033199999999999
85,1.6085216666666666,9.033199999999999
86,1.70264,9.033199999999999
87,1.606085,9.033199999999999
88,1.6724766666666666,9.033199999999997
89,1.6495549999999999,9.033199999999999
90,1.6109639999999998,9.0332
91,1.59702,9.033199999999999
92,1.632805,9.033199999999999
93,1.60946,9.0332
94,1.6621533333333334,9.0332
95,1.6462771428571426,9.033199999999997
96,1.625815,9.0332
97,1.6340244444444447,9.033199999999997
98,1.6229366666666665,9.033199999999999
99,1.61035,9.0332
100,1.646365,9.0332
101,1.6141057142857143,8.224699999999999
102,1.604355,8.224700000000002
103,1.615345,8.224700000000002
104,1.63187,8.2247
105,1.6691225000000003,8.2247
106,1.6437599999999999,8.2247
107,1.63218,8.2247
108,1.6593533333333332,8.224700000000004
110,1.6259666666666668,8.224700000000004
111,1.6592299999999998,8.224700000000002
112,1.6261649999999999,8.224700000000002
113,1.62014,8.2247
114,1.60188,8.2247
115,1.778816,8.224699999999999
116,1.66908,8.2247
117,1.6633075000000002,8.2247
118,1.67536,8.224700000000002
119,1.6863199999999998,8.2247
120,1.6661550000000003,8.224700000000002
121,1.6529239999999998,8.224699999999999
122,1.66304,8.224700000000004
123,1.6552600000000002,8.224700000000002
124,1.638976666666667,8.224700000000004
125,1.6544266666666667,7.680900000000002
126,1.664895,7.680899999999999
127,1.6689600000000002,7.680900000000001
128,1.6469049999999998,7.680900000000001
129,1.65467,7.680900000000001
130,1.6613899999999997,7.680900000000001
131,1.63033,7.680899999999999
132,1.6625885714285713,7.6808999999999985
133,1.663345,7.680900000000001
134,1.69563,7.680899999999999
135,1.6927833333333333,7.680900000000002
138,1.676915,3.7283
139,1.6624860000000001,3.7283
141,1.65312,3.7282999999999995
143,1.73495,3.7282999999999995
144,1.6635900000000003,3.7282999999999995
145,1.68353,3.7282999999999995
146,1.720875,3.7283
147,1.68569,3.7282999999999995
148,1.6560549999999998,3.7283
149,1.65087,3.7283
150,1.68964,3.7283
151,1.7073900000000002,3.7283
152,1.673155,3.7283
153,1.6725450000000002,3.7283
154,1.6811233333333333,3.7283000000000004
156,1.69734,4.0548
157,1.6623100000000002,4.0548
158,1.6914525,4.0548
159,1.706743333333333,4.0548
160,1.6863133333333336,4.0548
161,1.6933149999999997,4.0548
162,1.7113325,4.0548
163,1.6819533333333332,4.0548
166,1.7021125000000001,4.0548
167,1.735135,4.0548
169,1.73292,4.0548
170,1.69709,4.0548
171,1.67532,4.0548
175,1.6782800000000002,3.9342999999999995
177,1.6588,3.9342999999999995
180,1.7239049999999998,3.934299999999999
181,1.67489,3.9342999999999995
182,1.6920600000000001,3.934299999999999
183,1.67794,3.9342999999999995
184,1.68431,3.934299999999999
185,1.7680633333333333,3.9342999999999986
186,1.7418266666666666,3.9342999999999986
187,1.688,3.9342999999999995
188,1.77881,3.9342999999999995
189,1.7425457142857141,3.9343000000000004
190,1.7060599999999997,3.934299999999999
191,1.7172033333333336,3.9343000000000004
192,1.71461,3.9342999999999995
193,1.6914733333333336,3.364900000000001
194,1.724756666666667,3.3649
195,1.77135,3.3649
196,1.69943,3.364900000000001
198,1.779648,3.3649
199,1.7600850000000001,3.3649
200,1.7269599999999996,3.4855999999999994
201,1.741525,3.4855999999999994
202,1.6984049999999997,3.4856000000000003
203,1.7058700000000002,3.4856000000000007
204,1.7109400000000001,3.4856000000000003
205,1.70718,3.3742000000000005
206,1.7337999999999996,3.3742000000000005
207,1.744615,3.3742000000000005
209,1.7294133333333335,3.3742000000000005
210,1.7124200000000003,3.3165
211,1.8789000000000002,3.3165
212,1.8478766666666666,3.316500000000001
213,1.7348320000000002,3.3164999999999996
214,1.7496599999999998,3.3165
215,1.79489,3.2796999999999996
216,1.744896,3.279699999999999
217,1.7534366666666668,3.279700000000001
218,1.7220399999999998,3.2796999999999996
219,1.7561574999999998,3.2796999999999996
222,1.7533649999999998,3.0927999999999995
223,1.8089000000000002,3.092799999999999
224,1.7427800000000002,3.0928
225,1.7128599999999998,3.0928
226,1.73184,3.1655000000000006
227,1.83507,3.1655000000000006
228,1.83881,3.1655000000000006
230,1.7486899999999999,3.1655000000000006
235,1.7541999999999998,3.2674
237,1.73549,3.2674
239,1.761635,3.2674
240,1.85869,3.2674
241,1.8304799999999997,3.2674
243,1.7640799999999999,3.2674
246,1.8158699999999999,3.0734
247,1.8589399999999998,3.0734
248,1.8338566666666667,3.0734000000000012
249,1.87333,3.0734
250,1.7718700000000003,3.0734
251,1.8815300000000001,3.0734
252,1.8793200000000003,3.0734
253,1.8308300000000002,3.0734
254,1.8714099999999998,2.8279
255,1.8093149999999998,2.8279
256,1.84771,2.8279
257,1.761795,2.8279
258,1.78701,2.8279
259,1.7401899999999997,2.8279
261,1.8518400000000004,2.8279
262,1.7936050000000001,2.8279
264,1.81905,2.8279
265,1.7853749999999997,2.8279
267,1.823854,2.8566999999999996
268,1.7952774999999999,2.8567
269,1.7878,2.8567
270,1.879485,2.856700000000001
272,1.73333,2.8567
273,1.7699450000000003,2.856700000000001
274,1.7590599999999998,2.8567
275,1.8396700000000004,2.8567
