Iteration,Worker,Time
1.0,labmovil2-All-Series,210.1515839099884
2.0,labmovil2-All-Series,19.241941213607788
3.0,labmovil2-All-Series,17.95823907852173
4.0,labmovil2-All-Series,17.50145983695984
5.0,labmovil2-All-Series,17.286144018173218
6.0,labmovil2-All-Series,16.845909357070923
7.0,labmovil2-All-Series,18.929023027420044
8.0,labmovil2-All-Series,21.428519010543823
9.0,labmovil2-All-Series,22.777262926101685
10.0,labmovil2-All-Series,18.625901699066162
11.0,labmovil2-All-Series,16.98554229736328
12.0,labmovil2-All-Series,15.984606981277466
13.0,labmovil2-All-Series,15.988718271255493
14.0,labmovil2-All-Series,15.824643850326538
15.0,labmovil2-All-Series,48.62255930900574
16.0,labmovil2-All-Series,15.452067375183105
17.0,labmovil2-All-Series,14.816664457321167
18.0,labmovil2-All-Series,14.884523630142212
19.0,labmovil2-All-Series,14.799726486206055
20.0,labmovil2-All-Series,14.711532354354858
21.0,labmovil2-All-Series,14.856195211410522
22.0,labmovil2-All-Series,14.68927788734436
23.0,labmovil2-All-Series,19.61326265335083
24.0,labmovil2-All-Series,14.79652190208435
25.0,labmovil2-All-Series,39.43607544898987
1.0,labmovil3-All-Series,554.4558415412903
2.0,labmovil3-All-Series,221.14676475524902
3.0,labmovil3-All-Series,155.3265836238861
4.0,labmovil3-All-Series,161.02078247070312
5.0,labmovil3-All-Series,131.25040698051453
6.0,labmovil3-All-Series,108.28850269317627
7.0,labmovil3-All-Series,96.04945111274719
8.0,labmovil3-All-Series,88.14331150054932
9.0,labmovil3-All-Series,83.68952798843384
10.0,labmovil3-All-Series,69.53279781341553
11.0,labmovil3-All-Series,60.450096130371094
12.0,labmovil3-All-Series,59.21851944923401
13.0,labmovil3-All-Series,53.04331660270691
14.0,labmovil3-All-Series,50.37114906311035
15.0,labmovil3-All-Series,129.59397745132446
16.0,labmovil3-All-Series,42.405359983444214
17.0,labmovil3-All-Series,38.52493476867676
18.0,labmovil3-All-Series,37.944977045059204
19.0,labmovil3-All-Series,37.03148126602173
20.0,labmovil3-All-Series,34.255226135253906
21.0,labmovil3-All-Series,36.47679877281189
22.0,labmovil3-All-Series,34.9725558757782
23.0,labmovil3-All-Series,47.23645257949829
24.0,labmovil3-All-Series,33.02926015853882
25.0,labmovil3-All-Series,68.51771950721741
1.0,labmovil4-All-Series,533.4415941238403
2.0,labmovil4-All-Series,223.5041205883026
3.0,labmovil4-All-Series,155.7623987197876
4.0,labmovil4-All-Series,160.67154693603516
5.0,labmovil4-All-Series,130.5492444038391
6.0,labmovil4-All-Series,109.76461291313171
7.0,labmovil4-All-Series,96.6372640132904
8.0,labmovil4-All-Series,89.20303106307983
9.0,labmovil4-All-Series,83.4327621459961
10.0,labmovil4-All-Series,71.05490517616272
11.0,labmovil4-All-Series,63.23529553413391
12.0,labmovil4-All-Series,58.69837784767151
13.0,labmovil4-All-Series,55.12776470184326
14.0,labmovil4-All-Series,50.94163155555725
15.0,labmovil4-All-Series,34.44415354728699
16.0,labmovil4-All-Series,40.516658306121826
17.0,labmovil4-All-Series,39.770163774490356
18.0,labmovil4-All-Series,38.678900957107544
19.0,labmovil4-All-Series,34.428332567214966
20.0,labmovil4-All-Series,35.20113253593445
21.0,labmovil4-All-Series,36.91158962249756
22.0,labmovil4-All-Series,33.6808979511261
23.0,labmovil4-All-Series,43.43823218345642
24.0,labmovil4-All-Series,35.22295951843262
25.0,labmovil4-All-Series,70.76412725448608
