Iteration,Worker,Time
1.0,labmovil4-All-Series,387.1994378566742
2.0,labmovil4-All-Series,240.36838150024414
3.0,labmovil4-All-Series,218.27449941635132
4.0,labmovil4-All-Series,174.17600226402283
5.0,labmovil4-All-Series,145.93523979187012
6.0,labmovil4-All-Series,132.18073797225952
7.0,labmovil4-All-Series,110.76262855529785
8.0,labmovil4-All-Series,94.26217222213745
9.0,labmovil4-All-Series,82.6196072101593
10.0,labmovil4-All-Series,75.69167518615723
11.0,labmovil4-All-Series,69.72658896446228
12.0,labmovil4-All-Series,66.26786732673645
13.0,labmovil4-All-Series,61.29022693634033
14.0,labmovil4-All-Series,54.46137261390686
15.0,labmovil4-All-Series,49.345354318618774
16.0,labmovil4-All-Series,46.7838830947876
17.0,labmovil4-All-Series,47.20477604866028
18.0,labmovil4-All-Series,43.393269777297974
19.0,labmovil4-All-Series,48.98135447502136
20.0,labmovil4-All-Series,50.34421110153198
21.0,labmovil4-All-Series,42.31135010719299
22.0,labmovil4-All-Series,38.76453518867493
23.0,labmovil4-All-Series,45.539101362228394
24.0,labmovil4-All-Series,30.64811944961548
25.0,labmovil4-All-Series,63.747175455093384
1.0,labmovil3-All-Series,354.4665014743805
2.0,labmovil3-All-Series,249.7388379573822
3.0,labmovil3-All-Series,238.33922386169434
4.0,labmovil3-All-Series,166.00921773910522
5.0,labmovil3-All-Series,143.48788261413574
6.0,labmovil3-All-Series,127.5367043018341
7.0,labmovil3-All-Series,107.4606602191925
8.0,labmovil3-All-Series,90.5692024230957
9.0,labmovil3-All-Series,79.66801333427429
10.0,labmovil3-All-Series,71.36020541191101
11.0,labmovil3-All-Series,65.84332323074341
12.0,labmovil3-All-Series,62.85436391830444
13.0,labmovil3-All-Series,57.1888861656189
14.0,labmovil3-All-Series,50.34289598464966
15.0,labmovil3-All-Series,46.33805012702942
16.0,labmovil3-All-Series,43.32736349105835
17.0,labmovil3-All-Series,44.204761266708374
18.0,labmovil3-All-Series,39.809102058410645
19.0,labmovil3-All-Series,45.16645574569702
20.0,labmovil3-All-Series,46.467962980270386
21.0,labmovil3-All-Series,39.15407752990723
22.0,labmovil3-All-Series,34.53814888000488
23.0,labmovil3-All-Series,51.00485038757324
24.0,labmovil3-All-Series,33.299646615982056
25.0,labmovil3-All-Series,77.37371182441711
1.0,labmovil2-All-Series,41.622119188308716
2.0,labmovil2-All-Series,31.030439376831055
3.0,labmovil2-All-Series,29.132346391677856
4.0,labmovil2-All-Series,27.275961875915527
5.0,labmovil2-All-Series,26.680396795272827
6.0,labmovil2-All-Series,27.139251232147217
7.0,labmovil2-All-Series,23.174070358276367
8.0,labmovil2-All-Series,18.69551181793213
9.0,labmovil2-All-Series,18.291829586029053
10.0,labmovil2-All-Series,17.92647385597229
11.0,labmovil2-All-Series,17.86579179763794
12.0,labmovil2-All-Series,16.8219051361084
13.0,labmovil2-All-Series,16.814702033996582
14.0,labmovil2-All-Series,16.704925298690796
15.0,labmovil2-All-Series,16.394609451293945
16.0,labmovil2-All-Series,16.295698881149292
17.0,labmovil2-All-Series,17.1753990650177
18.0,labmovil2-All-Series,16.96194815635681
19.0,labmovil2-All-Series,16.25075936317444
20.0,labmovil2-All-Series,17.045995473861694
21.0,labmovil2-All-Series,16.92196273803711
22.0,labmovil2-All-Series,16.086750507354736
23.0,labmovil2-All-Series,19.681954383850098
24.0,labmovil2-All-Series,16.08217167854309
25.0,labmovil2-All-Series,27.337317943572998
