Iteration,Worker,Time
2.0,labmovil3-All-Series,541.8933312892914
3.0,labmovil3-All-Series,559.80304646492
5.0,labmovil3-All-Series,380.8734095096588
6.0,labmovil3-All-Series,320.70649123191833
7.0,labmovil3-All-Series,291.8386137485504
8.0,labmovil3-All-Series,255.16418719291687
9.0,labmovil3-All-Series,236.7308006286621
10.0,labmovil3-All-Series,206.26454997062683
11.0,labmovil3-All-Series,181.19364309310913
12.0,labmovil3-All-Series,163.11754250526428
13.0,labmovil3-All-Series,133.31552743911743
14.0,labmovil3-All-Series,134.89508891105652
15.0,labmovil3-All-Series,124.03559684753418
16.0,labmovil3-All-Series,134.72979378700256
17.0,labmovil3-All-Series,104.8139123916626
18.0,labmovil3-All-Series,98.78036117553711
19.0,labmovil3-All-Series,94.45179986953735
20.0,labmovil3-All-Series,91.77640676498413
21.0,labmovil3-All-Series,90.83994603157043
22.0,labmovil3-All-Series,90.40681767463684
23.0,labmovil3-All-Series,72.5812394618988
24.0,labmovil3-All-Series,89.79609417915344
25.0,labmovil3-All-Series,87.20435929298401
2.0,labmovil2-All-Series,580.6881487369537
3.0,labmovil2-All-Series,608.9269390106201
5.0,labmovil2-All-Series,419.4023928642273
6.0,labmovil2-All-Series,349.98301362991333
7.0,labmovil2-All-Series,312.0864987373352
8.0,labmovil2-All-Series,268.0307319164276
9.0,labmovil2-All-Series,246.85701823234558
10.0,labmovil2-All-Series,258.93329095840454
11.0,labmovil2-All-Series,180.21266341209412
12.0,labmovil2-All-Series,161.77099180221558
13.0,labmovil2-All-Series,132.53744912147522
14.0,labmovil2-All-Series,134.58537554740906
15.0,labmovil2-All-Series,123.78820395469666
16.0,labmovil2-All-Series,89.48113584518433
17.0,labmovil2-All-Series,104.51754856109619
18.0,labmovil2-All-Series,98.4716432094574
19.0,labmovil2-All-Series,94.46006751060486
20.0,labmovil2-All-Series,91.56371974945068
21.0,labmovil2-All-Series,90.51298499107361
22.0,labmovil2-All-Series,90.3307797908783
23.0,labmovil2-All-Series,72.27395534515381
24.0,labmovil2-All-Series,89.38655662536621
25.0,labmovil2-All-Series,86.71581959724426
2.0,labmovil4-All-Series,548.2786824703217
3.0,labmovil4-All-Series,564.3670575618744
5.0,labmovil4-All-Series,385.0630712509155
6.0,labmovil4-All-Series,323.9783568382263
7.0,labmovil4-All-Series,295.09542894363403
8.0,labmovil4-All-Series,255.8077416419983
9.0,labmovil4-All-Series,238.83234858512878
10.0,labmovil4-All-Series,165.27259826660156
11.0,labmovil4-All-Series,181.6446032524109
12.0,labmovil4-All-Series,162.62166690826416
13.0,labmovil4-All-Series,177.150217294693
14.0,labmovil4-All-Series,135.07115530967712
15.0,labmovil4-All-Series,124.43571424484253
16.0,labmovil4-All-Series,111.91866111755371
17.0,labmovil4-All-Series,104.48224902153015
18.0,labmovil4-All-Series,98.46817827224731
19.0,labmovil4-All-Series,93.65112566947937
20.0,labmovil4-All-Series,91.18651604652405
21.0,labmovil4-All-Series,90.35012650489807
22.0,labmovil4-All-Series,89.78449726104736
23.0,labmovil4-All-Series,126.19581508636475
24.0,labmovil4-All-Series,89.1721682548523
25.0,labmovil4-All-Series,86.78219175338745
