Iteration,Worker,Time
1.0,labmovil3-All-Series,655.3642103672028
2.0,labmovil3-All-Series,542.2033767700195
3.0,labmovil3-All-Series,560.279865026474
4.0,labmovil3-All-Series,452.01448941230774
5.0,labmovil3-All-Series,381.055242061615
6.0,labmovil3-All-Series,288.3773148059845
7.0,labmovil3-All-Series,291.1235592365265
8.0,labmovil3-All-Series,254.17996215820312
9.0,labmovil3-All-Series,236.8583264350891
10.0,labmovil3-All-Series,205.14512610435486
11.0,labmovil3-All-Series,181.04242086410522
12.0,labmovil3-All-Series,162.7843954563141
13.0,labmovil3-All-Series,146.99841809272766
14.0,labmovil3-All-Series,134.9022090435028
15.0,labmovil3-All-Series,123.81219601631165
16.0,labmovil3-All-Series,111.94031858444214
17.0,labmovil3-All-Series,104.8255705833435
18.0,labmovil3-All-Series,98.76743602752686
19.0,labmovil3-All-Series,94.2134177684784
20.0,labmovil3-All-Series,91.52112984657288
21.0,labmovil3-All-Series,90.42017912864685
22.0,labmovil3-All-Series,89.74180793762207
23.0,labmovil3-All-Series,90.48252081871033
24.0,labmovil3-All-Series,89.55225920677185
25.0,labmovil3-All-Series,87.06243109703064
1.0,labmovil4-All-Series,662.678936958313
2.0,labmovil4-All-Series,546.1508281230927
3.0,labmovil4-All-Series,561.8074247837067
4.0,labmovil4-All-Series,454.83709359169006
5.0,labmovil4-All-Series,385.24971079826355
6.0,labmovil4-All-Series,356.682443857193
7.0,labmovil4-All-Series,293.90464425086975
8.0,labmovil4-All-Series,256.980105638504
9.0,labmovil4-All-Series,238.80813694000244
10.0,labmovil4-All-Series,205.6520025730133
11.0,labmovil4-All-Series,183.7525999546051
12.0,labmovil4-All-Series,162.92313885688782
13.0,labmovil4-All-Series,149.26887702941895
14.0,labmovil4-All-Series,135.0098853111267
15.0,labmovil4-All-Series,124.44660329818726
16.0,labmovil4-All-Series,112.32235383987427
17.0,labmovil4-All-Series,104.6661434173584
18.0,labmovil4-All-Series,98.92143702507019
19.0,labmovil4-All-Series,94.25469160079956
20.0,labmovil4-All-Series,91.51721119880676
21.0,labmovil4-All-Series,90.70115995407104
22.0,labmovil4-All-Series,90.10253047943115
23.0,labmovil4-All-Series,90.2708203792572
24.0,labmovil4-All-Series,89.37041926383972
25.0,labmovil4-All-Series,86.87780785560608
1.0,labmovil2-All-Series,704.6504564285278
2.0,labmovil2-All-Series,586.2238421440125
3.0,labmovil2-All-Series,602.4179537296295
4.0,labmovil2-All-Series,500.2687647342682
5.0,labmovil2-All-Series,419.77171516418457
6.0,labmovil2-All-Series,343.3361277580261
7.0,labmovil2-All-Series,304.81534600257874
8.0,labmovil2-All-Series,261.7736222743988
9.0,labmovil2-All-Series,242.94683861732483
10.0,labmovil2-All-Series,205.6358346939087
11.0,labmovil2-All-Series,180.3138291835785
12.0,labmovil2-All-Series,162.54157161712646
13.0,labmovil2-All-Series,146.69289803504944
14.0,labmovil2-All-Series,134.34995579719543
15.0,labmovil2-All-Series,124.45657896995544
16.0,labmovil2-All-Series,111.84176540374756
17.0,labmovil2-All-Series,104.58543372154236
18.0,labmovil2-All-Series,98.51408338546753
19.0,labmovil2-All-Series,93.91820049285889
20.0,labmovil2-All-Series,91.37290239334106
21.0,labmovil2-All-Series,90.37714076042175
22.0,labmovil2-All-Series,90.38047122955322
23.0,labmovil2-All-Series,90.7976565361023
24.0,labmovil2-All-Series,89.44059371948242
25.0,labmovil2-All-Series,86.81588387489319
