Iteration,Mean,Std
1.0,1969.1412999999998,0.0
2.0,1624.8857,0.0
3.0,1678.9121000000002,0.0
4.0,1350.4536,0.0
5.0,1136.7801000000002,0.0
6.0,947.8744000000002,0.0
7.0,858.8813,0.0
8.0,745.4322,0.0
9.0,693.5744,0.0
10.0,601.3489999999999,0.0
11.0,525.0024999999999,0.0
12.0,471.5628,0.0
13.0,424.69430000000006,0.0
14.0,387.3890999999999,0.0
15.0,355.9609,0.0
16.0,320.4004,0.0
17.0,296.9064,0.0
18.0,280.75410000000005,0.0
19.0,267.1504,0.0
20.0,259.3171,0.0
21.0,255.3338,0.0
22.0,254.92630000000003,0.0
23.0,255.8374,0.0
24.0,251.3896,0.0
25.0,243.89559999999997,0.0
