Iteration,Worker,Time
1.0,Master,1969.1412999999998
2.0,Master,1624.8857
3.0,Master,1678.9121000000002
4.0,Master,1350.4536
5.0,Master,1136.7801000000002
6.0,Master,947.8744000000002
7.0,Master,858.8813
8.0,Master,745.4322
9.0,Master,693.5744
10.0,Master,601.3489999999999
11.0,Master,525.0024999999999
12.0,Master,471.5628
13.0,Master,424.69430000000006
14.0,Master,387.3890999999999
15.0,Master,355.9609
16.0,Master,320.4004
17.0,Master,296.9064
18.0,Master,280.75410000000005
19.0,Master,267.1504
20.0,Master,259.3171
21.0,Master,255.3338
22.0,Master,254.92630000000003
23.0,Master,255.8374
24.0,Master,251.3896
25.0,Master,243.89559999999997
