Iteration,Worker,Time
1.0,labmovil2-All-Series,2302.9799678325653
2.0,labmovil2-All-Series,1568.9225373268127
3.0,labmovil2-All-Series,1211.6595630645752
4.0,labmovil2-All-Series,1125.0954608917236
5.0,labmovil2-All-Series,1229.1354043483734
6.0,labmovil2-All-Series,1367.1013979911804
7.0,labmovil2-All-Series,1399.9927563667297
8.0,labmovil2-All-Series,1490.4956386089325
9.0,labmovil2-All-Series,1432.223979473114
10.0,labmovil2-All-Series,1498.2357273101807
11.0,labmovil2-All-Series,1525.4920597076416
12.0,labmovil2-All-Series,1590.4454762935638
13.0,labmovil2-All-Series,1582.227394580841
14.0,labmovil2-All-Series,1547.5665595531464
15.0,labmovil2-All-Series,1586.8173596858978
16.0,labmovil2-All-Series,1671.3384673595428
17.0,labmovil2-All-Series,1699.9204277992249
18.0,labmovil2-All-Series,1652.0933361053467
19.0,labmovil2-All-Series,1613.0711090564728
20.0,labmovil2-All-Series,1642.846247434616
21.0,labmovil2-All-Series,1630.8406121730804
22.0,labmovil2-All-Series,1687.5594775676727
23.0,labmovil2-All-Series,1577.5772964954376
25.0,labmovil2-All-Series,1592.264246225357
1.0,labmovil3-All-Series,1870.8835971355438
2.0,labmovil3-All-Series,1288.4246804714203
3.0,labmovil3-All-Series,1015.4483590126038
4.0,labmovil3-All-Series,958.5243651866913
5.0,labmovil3-All-Series,1032.423981666565
6.0,labmovil3-All-Series,1182.9028067588806
7.0,labmovil3-All-Series,1161.144246339798
8.0,labmovil3-All-Series,1269.5614023208618
9.0,labmovil3-All-Series,1218.61132478714
10.0,labmovil3-All-Series,1276.7951216697693
11.0,labmovil3-All-Series,1256.3129360675812
12.0,labmovil3-All-Series,1366.7125375270844
13.0,labmovil3-All-Series,1355.9071736335754
14.0,labmovil3-All-Series,1320.4336903095245
15.0,labmovil3-All-Series,1366.6021838188171
16.0,labmovil3-All-Series,1388.2506296634674
17.0,labmovil3-All-Series,1437.0114879608154
18.0,labmovil3-All-Series,1404.9180510044098
19.0,labmovil3-All-Series,1399.6515641212463
20.0,labmovil3-All-Series,1393.7834594249725
21.0,labmovil3-All-Series,1387.037281513214
22.0,labmovil3-All-Series,1443.5351119041443
23.0,labmovil3-All-Series,1351.0151777267456
25.0,labmovil3-All-Series,1384.1475434303284
1.0,labmovil4-All-Series,1886.5276401042938
2.0,labmovil4-All-Series,1291.9518299102783
3.0,labmovil4-All-Series,1039.7140307426453
4.0,labmovil4-All-Series,931.547685623169
5.0,labmovil4-All-Series,1070.092315196991
6.0,labmovil4-All-Series,1194.0988428592682
7.0,labmovil4-All-Series,1223.7003316879272
8.0,labmovil4-All-Series,1284.0450749397278
9.0,labmovil4-All-Series,1247.1069810390472
10.0,labmovil4-All-Series,1303.2936823368073
11.0,labmovil4-All-Series,1257.4795651435852
12.0,labmovil4-All-Series,1389.136393070221
13.0,labmovil4-All-Series,1350.13019657135
14.0,labmovil4-All-Series,1326.7067470550537
15.0,labmovil4-All-Series,1357.927348613739
16.0,labmovil4-All-Series,1429.5376226902008
17.0,labmovil4-All-Series,1461.760085105896
18.0,labmovil4-All-Series,1404.652089357376
19.0,labmovil4-All-Series,1416.407889842987
20.0,labmovil4-All-Series,1414.1510939598083
21.0,labmovil4-All-Series,1427.9391186237335
22.0,labmovil4-All-Series,1459.3084189891815
23.0,labmovil4-All-Series,1361.6896550655365
25.0,labmovil4-All-Series,1415.8667976856232
