Iteration,Worker,Time
1.0,labmovil2-All-Series,2244.50324511528
2.0,labmovil2-All-Series,1525.169460773468
3.0,labmovil2-All-Series,976.4408547878265
4.0,labmovil2-All-Series,960.8456466197968
5.0,labmovil2-All-Series,1200.01806974411
6.0,labmovil2-All-Series,1366.5230550765991
7.0,labmovil2-All-Series,1364.9736502170563
8.0,labmovil2-All-Series,1475.061360836029
9.0,labmovil2-All-Series,1408.976273059845
10.0,labmovil2-All-Series,1491.5180416107178
11.0,labmovil2-All-Series,1493.068597316742
12.0,labmovil2-All-Series,1416.2219996452332
13.0,labmovil2-All-Series,1474.191269159317
14.0,labmovil2-All-Series,1502.189890384674
15.0,labmovil2-All-Series,1763.0044248104095
16.0,labmovil2-All-Series,1620.300636291504
17.0,labmovil2-All-Series,1680.1723012924194
18.0,labmovil2-All-Series,1627.2466161251068
19.0,labmovil2-All-Series,1603.464827299118
20.0,labmovil2-All-Series,1606.929396390915
21.0,labmovil2-All-Series,1620.547197818756
22.0,labmovil2-All-Series,1670.0149314403534
23.0,labmovil2-All-Series,1552.4772779941559
24.0,labmovil2-All-Series,1598.2747325897217
25.0,labmovil2-All-Series,1609.4331924915314
1.0,labmovil3-All-Series,1879.485852241516
2.0,labmovil3-All-Series,1287.4044787883759
3.0,labmovil3-All-Series,1235.6679604053497
4.0,labmovil3-All-Series,1035.0600452423096
5.0,labmovil3-All-Series,1048.7964856624603
6.0,labmovil3-All-Series,1155.893352508545
7.0,labmovil3-All-Series,1197.004955291748
8.0,labmovil3-All-Series,1268.6095340251923
9.0,labmovil3-All-Series,1225.4855568408966
10.0,labmovil3-All-Series,1276.9267613887787
11.0,labmovil3-All-Series,1291.5239832401276
12.0,labmovil3-All-Series,1523.3123669624329
13.0,labmovil3-All-Series,1356.063621520996
14.0,labmovil3-All-Series,1327.738543510437
15.0,labmovil3-All-Series,1219.5446779727936
16.0,labmovil3-All-Series,1400.1544902324677
17.0,labmovil3-All-Series,1443.720573425293
18.0,labmovil3-All-Series,1402.1254665851593
19.0,labmovil3-All-Series,1391.1616039276123
20.0,labmovil3-All-Series,1415.4158508777618
21.0,labmovil3-All-Series,1405.2626266479492
22.0,labmovil3-All-Series,1446.0987131595612
23.0,labmovil3-All-Series,1347.2476046085358
24.0,labmovil3-All-Series,1388.9807302951813
25.0,labmovil3-All-Series,1392.7579894065857
1.0,labmovil4-All-Series,1885.8786900043488
2.0,labmovil4-All-Series,1296.1874480247498
3.0,labmovil4-All-Series,1005.5824542045593
4.0,labmovil4-All-Series,963.1621236801147
5.0,labmovil4-All-Series,1037.792462348938
6.0,labmovil4-All-Series,1196.1457369327545
7.0,labmovil4-All-Series,1192.5283365249634
8.0,labmovil4-All-Series,1288.7133479118347
9.0,labmovil4-All-Series,1247.7968094348907
10.0,labmovil4-All-Series,1300.9925816059113
11.0,labmovil4-All-Series,1238.2542517185211
12.0,labmovil4-All-Series,1387.935322523117
13.0,labmovil4-All-Series,1405.6947293281555
14.0,labmovil4-All-Series,1349.6221194267273
15.0,labmovil4-All-Series,1351.4671413898468
16.0,labmovil4-All-Series,1450.5519008636475
17.0,labmovil4-All-Series,1463.1621673107147
18.0,labmovil4-All-Series,1431.0433146953583
19.0,labmovil4-All-Series,1428.691891670227
20.0,labmovil4-All-Series,1415.9167051315308
21.0,labmovil4-All-Series,1415.9501566886902
22.0,labmovil4-All-Series,1463.6139905452728
23.0,labmovil4-All-Series,1381.1231472492218
24.0,labmovil4-All-Series,1443.32768201828
25.0,labmovil4-All-Series,1416.186129808426
