Iteration,Worker,Time
1.0,labmovil2-All-Series,2228.7094094753265
2.0,labmovil2-All-Series,1546.3550381660461
3.0,labmovil2-All-Series,1234.919091463089
4.0,labmovil2-All-Series,1113.4644572734833
5.0,labmovil2-All-Series,1255.2574059963226
6.0,labmovil2-All-Series,1428.029301404953
8.0,labmovil2-All-Series,1473.647661447525
9.0,labmovil2-All-Series,1419.3028388023376
10.0,labmovil2-All-Series,1492.3900861740112
11.0,labmovil2-All-Series,1476.7023770809174
12.0,labmovil2-All-Series,1597.7663443088531
13.0,labmovil2-All-Series,1547.8115549087524
14.0,labmovil2-All-Series,1544.5432422161102
15.0,labmovil2-All-Series,1593.071926355362
16.0,labmovil2-All-Series,1644.7748725414276
17.0,labmovil2-All-Series,1679.032526731491
18.0,labmovil2-All-Series,1646.5751535892487
19.0,labmovil2-All-Series,1630.7918288707733
20.0,labmovil2-All-Series,1639.573629617691
21.0,labmovil2-All-Series,1628.0670869350433
22.0,labmovil2-All-Series,1694.7488007545471
23.0,labmovil2-All-Series,1557.1150615215302
24.0,labmovil2-All-Series,1616.2255012989044
25.0,labmovil2-All-Series,1622.413066625595
1.0,labmovil3-All-Series,1921.3790085315704
2.0,labmovil3-All-Series,1284.2323489189148
3.0,labmovil3-All-Series,995.7424321174622
4.0,labmovil3-All-Series,946.7210030555725
5.0,labmovil3-All-Series,1057.1701953411102
6.0,labmovil3-All-Series,1171.1903212070465
8.0,labmovil3-All-Series,1230.332158088684
9.0,labmovil3-All-Series,1223.094399690628
10.0,labmovil3-All-Series,1267.3217611312866
11.0,labmovil3-All-Series,1279.9979548454285
12.0,labmovil3-All-Series,1390.4818348884583
13.0,labmovil3-All-Series,1356.8133885860443
14.0,labmovil3-All-Series,1327.5212585926056
15.0,labmovil3-All-Series,1352.7427809238434
16.0,labmovil3-All-Series,1428.0484762191772
17.0,labmovil3-All-Series,1448.8842601776123
18.0,labmovil3-All-Series,1403.0323836803436
19.0,labmovil3-All-Series,1393.7597019672394
20.0,labmovil3-All-Series,1390.6926708221436
21.0,labmovil3-All-Series,1393.1771340370178
22.0,labmovil3-All-Series,1435.3939590454102
23.0,labmovil3-All-Series,1351.525259256363
24.0,labmovil3-All-Series,1403.6941223144531
25.0,labmovil3-All-Series,1389.3556623458862
1.0,labmovil4-All-Series,1909.4560115337372
2.0,labmovil4-All-Series,1290.6514732837677
3.0,labmovil4-All-Series,1034.9692494869232
4.0,labmovil4-All-Series,955.2328124046326
5.0,labmovil4-All-Series,1007.3026249408722
6.0,labmovil4-All-Series,1134.077871799469
8.0,labmovil4-All-Series,1293.7036094665527
9.0,labmovil4-All-Series,1237.338919878006
10.0,labmovil4-All-Series,1300.2043206691742
11.0,labmovil4-All-Series,1256.1542751789093
12.0,labmovil4-All-Series,1344.875900030136
13.0,labmovil4-All-Series,1355.2969517707825
14.0,labmovil4-All-Series,1302.9531755447388
15.0,labmovil4-All-Series,1349.0603647232056
16.0,labmovil4-All-Series,1393.2296481132507
17.0,labmovil4-All-Series,1442.341093301773
18.0,labmovil4-All-Series,1393.5170514583588
19.0,labmovil4-All-Series,1391.8798859119415
20.0,labmovil4-All-Series,1399.8228116035461
21.0,labmovil4-All-Series,1403.277404308319
22.0,labmovil4-All-Series,1446.1491477489471
23.0,labmovil4-All-Series,1350.1983485221863
24.0,labmovil4-All-Series,1397.282223701477
25.0,labmovil4-All-Series,1393.0914924144745
