Iteration,Worker,Time
1.0,labmovil4-All-Series,1876.6720366477966
2.0,labmovil4-All-Series,1287.2718496322632
3.0,labmovil4-All-Series,1011.3045885562897
4.0,labmovil4-All-Series,948.386899471283
5.0,labmovil4-All-Series,1031.140608549118
6.0,labmovil4-All-Series,1173.0329940319061
7.0,labmovil4-All-Series,1177.4740920066833
8.0,labmovil4-All-Series,1264.2038280963898
9.0,labmovil4-All-Series,1211.6635472774506
10.0,labmovil4-All-Series,1277.2242431640625
11.0,labmovil4-All-Series,1253.5474140644073
12.0,labmovil4-All-Series,1358.0325889587402
13.0,labmovil4-All-Series,1337.7992763519287
14.0,labmovil4-All-Series,1307.271959066391
15.0,labmovil4-All-Series,1330.1209123134613
16.0,labmovil4-All-Series,1379.4002513885498
17.0,labmovil4-All-Series,1433.7250072956085
18.0,labmovil4-All-Series,1397.5153179168701
19.0,labmovil4-All-Series,1380.0825262069702
20.0,labmovil4-All-Series,1385.1701736450195
21.0,labmovil4-All-Series,1379.3107709884644
22.0,labmovil4-All-Series,1411.9379608631134
23.0,labmovil4-All-Series,1354.7054810523987
24.0,labmovil4-All-Series,1381.6491901874542
25.0,labmovil4-All-Series,1387.0354762077332
1.0,labmovil3-All-Series,1840.3886437416077
2.0,labmovil3-All-Series,1291.8610396385193
3.0,labmovil3-All-Series,1018.4329922199249
4.0,labmovil3-All-Series,939.7436773777008
5.0,labmovil3-All-Series,1024.1983404159546
6.0,labmovil3-All-Series,1160.4745588302612
7.0,labmovil3-All-Series,1182.425374507904
8.0,labmovil3-All-Series,1278.9539115428925
9.0,labmovil3-All-Series,1217.4249999523163
10.0,labmovil3-All-Series,1281.8279340267181
11.0,labmovil3-All-Series,1299.5383479595184
12.0,labmovil3-All-Series,1363.813717365265
13.0,labmovil3-All-Series,1348.4906253814697
14.0,labmovil3-All-Series,1319.6171972751617
15.0,labmovil3-All-Series,1354.7185723781586
16.0,labmovil3-All-Series,1397.084258556366
17.0,labmovil3-All-Series,1436.9197461605072
18.0,labmovil3-All-Series,1388.78160405159
19.0,labmovil3-All-Series,1408.1112642288208
20.0,labmovil3-All-Series,1391.7632131576538
21.0,labmovil3-All-Series,1395.5912761688232
22.0,labmovil3-All-Series,1435.4701433181763
23.0,labmovil3-All-Series,1334.0432605743408
24.0,labmovil3-All-Series,1370.7664585113525
25.0,labmovil3-All-Series,1377.2969064712524
1.0,labmovil2-All-Series,2398.423443555832
2.0,labmovil2-All-Series,1551.7739214897156
3.0,labmovil2-All-Series,1252.0906496047974
4.0,labmovil2-All-Series,1142.4144322872162
5.0,labmovil2-All-Series,1260.077781677246
6.0,labmovil2-All-Series,1401.6866705417633
7.0,labmovil2-All-Series,1433.540222644806
8.0,labmovil2-All-Series,1496.0638263225555
9.0,labmovil2-All-Series,1472.3202879428864
10.0,labmovil2-All-Series,1511.6986012458801
11.0,labmovil2-All-Series,1463.452846288681
12.0,labmovil2-All-Series,1605.94038438797
13.0,labmovil2-All-Series,1579.8909957408905
14.0,labmovil2-All-Series,1548.1432712078094
15.0,labmovil2-All-Series,1609.0789999961853
16.0,labmovil2-All-Series,1703.9639871120453
17.0,labmovil2-All-Series,1704.2752258777618
18.0,labmovil2-All-Series,1653.5877554416656
19.0,labmovil2-All-Series,1625.1315703392029
20.0,labmovil2-All-Series,1655.383028268814
21.0,labmovil2-All-Series,1655.2623317241669
22.0,labmovil2-All-Series,1738.5102026462555
23.0,labmovil2-All-Series,1576.2037324905396
24.0,labmovil2-All-Series,1672.1917133331299
25.0,labmovil2-All-Series,1646.9267253875732
