Iteration,Worker,Time
1.0,Master,5671.738600000001
2.0,Master,3855.6803999999997
3.0,Master,3045.2105
4.0,Master,2813.7483999999995
5.0,Master,3097.518
6.0,Master,3487.4750000000004
7.0,Master,3535.8288999999995
8.0,Master,3783.5852999999997
9.0,Master,3650.5057
10.0,Master,3820.4201000000003
11.0,Master,3769.3757
12.0,Master,4071.0928000000004
13.0,Master,4012.3936999999996
14.0,Master,3923.6059
15.0,Master,4030.9519
16.0,Master,4200.517099999999
17.0,Master,4299.5416000000005
18.0,Master,4173.6973
19.0,Master,4150.9666
20.0,Master,4160.2034
21.0,Master,4164.7056
22.0,Master,4299.4327
23.0,Master,4004.4366
24.0,Master,4151.449699999999
25.0,Master,4139.7485
