Number of features,Execution time,Predicted time
82,4.527174999999999,7.8177
112,7.491709999999999,7.400900000000002
113,7.89858,7.400900000000002
114,7.8542575,7.4009
115,6.856541666666668,7.400899999999998
116,7.16724909090909,7.400900000000002
117,7.789425,7.400900000000002
118,7.5277199999999995,7.400900000000002
119,7.558144545454545,7.400900000000002
120,7.023264999999999,7.400900000000004
121,7.267680909090909,7.400900000000003
122,7.8003214285714275,7.4009
123,7.2960821875,7.400900000000002
124,7.135026190476191,7.400900000000003
125,7.530828648648649,7.558999999999998
126,7.307262439024391,7.558999999999999
127,7.6000570270270265,7.558999999999998
128,7.216297142857143,7.558999999999998
129,7.525819069767443,7.5589999999999975
130,7.153680256410257,7.558999999999998
131,7.576031842105263,7.5589999999999975
132,7.448703953488371,7.5589999999999975
133,7.290428518518518,7.5589999999999975
134,7.282962068965518,7.558999999999999
135,7.160558000000001,7.558999999999999
136,7.582811111111111,7.5589999999999975
137,7.091934090909091,7.558999999999998
138,7.355839999999999,4.4102
139,6.8367086666666665,4.410199999999999
140,7.017056153846154,4.4102
141,7.375235,4.4102000000000015
142,7.103594166666666,4.4102000000000015
143,7.4085149999999995,4.4102
144,7.408692500000001,4.410200000000001
145,7.722926,4.4102
146,6.7820425,4.4102
147,7.60419,4.4102
148,7.376221666666665,4.4102
149,7.476380000000001,4.410200000000001
150,7.0890433333333345,4.410200000000001
151,6.61274,4.410200000000001
152,6.439206666666667,4.4102
153,8.314090000000002,4.410200000000001
154,5.507503333333332,4.410200000000001
155,7.886369999999999,4.0896
156,7.62612,4.089600000000001
157,7.452653333333334,4.089600000000001
158,5.407508,4.0896
159,7.43995,4.0896
160,7.7387033333333335,4.089600000000001
161,7.619190000000001,4.0896
162,7.138730000000001,4.089599999999999
163,7.304875,4.089600000000001
164,8.30964,4.089599999999999
165,6.69882,4.089600000000001
166,7.6785733333333335,4.089600000000001
167,6.65163,4.089599999999999
168,6.70235,4.0896
169,7.507864999999998,4.089600000000001
170,7.1870699999999985,4.089600000000001
171,7.568770000000001,4.089599999999999
172,6.466969999999999,4.089600000000001
173,5.6887300000000005,3.9277
174,6.1636766666666665,3.9277000000000006
177,6.160839999999999,3.9277
178,7.38571,3.9277
180,6.86539,3.9277
181,8.563849999999999,3.9277
183,7.86436,3.9277
184,5.49238,3.9277
185,7.386290000000001,3.9277
186,8.45531,3.9277
188,6.222814999999999,3.9277
190,7.865869999999999,3.9277
191,5.47731,3.9277
192,4.70599,3.9277
193,6.866907499999999,3.3517
194,7.769334999999998,3.3517
195,6.983606666666668,3.351699999999999
196,8.50899,3.3517
197,7.983685,3.3517
198,8.277935000000001,3.3517
199,7.6219785,3.3517000000000006
200,7.26212,3.4723999999999995
201,6.471639999999999,3.4723999999999995
202,5.5201,3.4723999999999995
203,7.570882499999999,3.4723999999999995
204,7.776784999999999,3.4723999999999995
205,6.962210000000001,3.3609999999999998
206,7.97049,3.3609999999999998
207,7.611190000000001,3.3609999999999998
208,5.92073,3.3609999999999998
209,5.842630000000001,3.3609999999999998
213,7.81226,3.3073
214,6.664833333333333,3.3072999999999997
216,7.044810000000001,3.2704
219,7.16874,3.2704
220,8.87007,3.0948
221,6.837860000000001,3.0948
223,7.1518299999999995,3.0948
225,7.871799999999999,3.0948
226,5.552115000000001,3.1674999999999995
227,8.412270000000001,3.1675
228,5.478979999999999,3.1675
