Iteration,Worker,Time
1.0,labmovil2-All-Series,21.605297327041626
2.0,labmovil2-All-Series,18.066806316375732
3.0,labmovil2-All-Series,93.12285995483398
4.0,labmovil2-All-Series,102.45116114616394
5.0,labmovil2-All-Series,19.647098541259766
6.0,labmovil2-All-Series,15.787761926651001
7.0,labmovil2-All-Series,15.464142799377441
8.0,labmovil2-All-Series,15.493137836456299
9.0,labmovil2-All-Series,15.364049196243286
10.0,labmovil2-All-Series,15.310874462127686
11.0,labmovil2-All-Series,29.446484327316284
12.0,labmovil2-All-Series,11.16926884651184
13.0,labmovil2-All-Series,32.75675892829895
14.0,labmovil2-All-Series,15.124290943145752
15.0,labmovil2-All-Series,15.897016286849976
16.0,labmovil2-All-Series,15.090063571929932
17.0,labmovil2-All-Series,15.036390542984009
18.0,labmovil2-All-Series,15.06104040145874
19.0,labmovil2-All-Series,15.03125262260437
20.0,labmovil2-All-Series,15.904155254364014
21.0,labmovil2-All-Series,15.017987489700317
22.0,labmovil2-All-Series,15.03675103187561
23.0,labmovil2-All-Series,15.091976881027222
24.0,labmovil2-All-Series,15.082507610321045
25.0,labmovil2-All-Series,15.1161527633667
1.0,labmovil3-All-Series,386.62269020080566
2.0,labmovil3-All-Series,255.8317883014679
3.0,labmovil3-All-Series,242.11019134521484
4.0,labmovil3-All-Series,226.8890335559845
5.0,labmovil3-All-Series,170.86868262290955
6.0,labmovil3-All-Series,226.4174644947052
7.0,labmovil3-All-Series,183.43283772468567
8.0,labmovil3-All-Series,221.9449646472931
9.0,labmovil3-All-Series,198.85476541519165
10.0,labmovil3-All-Series,229.90215468406677
11.0,labmovil3-All-Series,230.99109840393066
12.0,labmovil3-All-Series,722.830573797226
13.0,labmovil3-All-Series,150.88440656661987
14.0,labmovil3-All-Series,189.5756378173828
15.0,labmovil3-All-Series,225.3544569015503
16.0,labmovil3-All-Series,235.2362096309662
17.0,labmovil3-All-Series,251.48811841011047
18.0,labmovil3-All-Series,240.18218994140625
19.0,labmovil3-All-Series,227.3344759941101
20.0,labmovil3-All-Series,207.4177007675171
21.0,labmovil3-All-Series,230.3025586605072
22.0,labmovil3-All-Series,238.95296931266785
23.0,labmovil3-All-Series,220.32165026664734
24.0,labmovil3-All-Series,224.37650990486145
25.0,labmovil3-All-Series,231.79135584831238
1.0,labmovil4-All-Series,380.229852437973
2.0,labmovil4-All-Series,247.048819065094
3.0,labmovil4-All-Series,268.48304414749146
4.0,labmovil4-All-Series,111.6536283493042
5.0,labmovil4-All-Series,181.87270593643188
6.0,labmovil4-All-Series,186.1650800704956
7.0,labmovil4-All-Series,187.90945649147034
8.0,labmovil4-All-Series,201.84115076065063
9.0,labmovil4-All-Series,176.5435128211975
10.0,labmovil4-All-Series,205.8363344669342
11.0,labmovil4-All-Series,284.2608299255371
12.0,labmovil4-All-Series,227.08061289787292
13.0,labmovil4-All-Series,101.25329875946045
14.0,labmovil4-All-Series,167.69206190109253
15.0,labmovil4-All-Series,427.4342997074127
16.0,labmovil4-All-Series,184.83879899978638
17.0,labmovil4-All-Series,232.04652452468872
18.0,labmovil4-All-Series,211.26434183120728
19.0,labmovil4-All-Series,189.80418825149536
20.0,labmovil4-All-Series,206.91684651374817
21.0,labmovil4-All-Series,219.61502861976624
22.0,labmovil4-All-Series,221.43769192695618
23.0,labmovil4-All-Series,186.4461076259613
24.0,labmovil4-All-Series,170.0295581817627
25.0,labmovil4-All-Series,208.36321544647217
