Iteration,Worker,Time
1.0,labmovil2-All-Series,82.69375014305115
2.0,labmovil2-All-Series,19.581334829330444
3.0,labmovil2-All-Series,17.557843446731567
4.0,labmovil2-All-Series,17.430649042129517
5.0,labmovil2-All-Series,17.308154582977295
6.0,labmovil2-All-Series,16.44532299041748
8.0,labmovil2-All-Series,39.38054656982422
9.0,labmovil2-All-Series,15.920140743255615
10.0,labmovil2-All-Series,20.861805200576782
11.0,labmovil2-All-Series,15.85692834854126
12.0,labmovil2-All-Series,15.653746366500854
13.0,labmovil2-All-Series,15.6782546043396
14.0,labmovil2-All-Series,16.447476625442505
15.0,labmovil2-All-Series,15.637532711029053
16.0,labmovil2-All-Series,15.555123329162598
17.0,labmovil2-All-Series,15.511404037475586
18.0,labmovil2-All-Series,15.559092998504639
19.0,labmovil2-All-Series,15.635224342346191
20.0,labmovil2-All-Series,15.701348066329956
21.0,labmovil2-All-Series,15.65466022491455
22.0,labmovil2-All-Series,15.532691240310669
23.0,labmovil2-All-Series,15.551896095275879
24.0,labmovil2-All-Series,15.685033559799194
25.0,labmovil2-All-Series,15.58321213722229
1.0,labmovil3-All-Series,390.02415108680725
2.0,labmovil3-All-Series,281.7040240764618
3.0,labmovil3-All-Series,256.7345027923584
4.0,labmovil3-All-Series,184.17410326004028
5.0,labmovil3-All-Series,215.3953652381897
6.0,labmovil3-All-Series,273.284303188324
8.0,labmovil3-All-Series,282.69604992866516
9.0,labmovil3-All-Series,212.1285798549652
10.0,labmovil3-All-Series,245.9301302433014
11.0,labmovil3-All-Series,212.56135058403015
12.0,labmovil3-All-Series,222.93825578689575
13.0,labmovil3-All-Series,206.67642092704773
14.0,labmovil3-All-Series,233.46946024894714
15.0,labmovil3-All-Series,255.9666781425476
16.0,labmovil3-All-Series,232.28151965141296
17.0,labmovil3-All-Series,245.65967059135437
18.0,labmovil3-All-Series,259.10186290740967
19.0,labmovil3-All-Series,252.66735124588013
20.0,labmovil3-All-Series,264.58230686187744
21.0,labmovil3-All-Series,250.54461312294006
22.0,labmovil3-All-Series,274.88753294944763
23.0,labmovil3-All-Series,221.14169836044312
24.0,labmovil3-All-Series,228.2164125442505
25.0,labmovil3-All-Series,248.64061641693115
1.0,labmovil4-All-Series,401.9471480846405
2.0,labmovil4-All-Series,275.2848997116089
3.0,labmovil4-All-Series,217.50768542289734
4.0,labmovil4-All-Series,175.66229391098022
5.0,labmovil4-All-Series,265.26293563842773
6.0,labmovil4-All-Series,310.3967525959015
8.0,labmovil4-All-Series,219.3245985507965
9.0,labmovil4-All-Series,197.88405966758728
10.0,labmovil4-All-Series,213.04757070541382
11.0,labmovil4-All-Series,236.40503025054932
12.0,labmovil4-All-Series,268.5441906452179
13.0,labmovil4-All-Series,208.19285774230957
14.0,labmovil4-All-Series,258.03754329681396
15.0,labmovil4-All-Series,259.6490943431854
16.0,labmovil4-All-Series,267.1003477573395
17.0,labmovil4-All-Series,252.2028374671936
18.0,labmovil4-All-Series,268.61719512939453
19.0,labmovil4-All-Series,254.54716730117798
20.0,labmovil4-All-Series,255.45216608047485
21.0,labmovil4-All-Series,240.4443428516388
22.0,labmovil4-All-Series,264.13234424591064
23.0,labmovil4-All-Series,222.46860909461975
24.0,labmovil4-All-Series,234.62831115722656
25.0,labmovil4-All-Series,244.9047863483429
