Iteration,Worker,Time
1.0,labmovil4-All-Series,555.805905342102
2.0,labmovil4-All-Series,294.93792271614075
3.0,labmovil4-All-Series,268.77326369285583
4.0,labmovil4-All-Series,220.56510663032532
5.0,labmovil4-All-Series,255.14783716201782
6.0,labmovil4-All-Series,254.67432618141174
7.0,labmovil4-All-Series,281.7774350643158
8.0,labmovil4-All-Series,257.19228625297546
9.0,labmovil4-All-Series,285.77340149879456
10.0,labmovil4-All-Series,259.48172974586487
11.0,labmovil4-All-Series,234.70086574554443
12.0,labmovil4-All-Series,272.5858120918274
13.0,labmovil4-All-Series,266.72917437553406
14.0,labmovil4-All-Series,265.3314573764801
15.0,labmovil4-All-Series,303.36450695991516
16.0,labmovil4-All-Series,348.3181881904602
17.0,labmovil4-All-Series,294.93192648887634
18.0,labmovil4-All-Series,280.5440847873688
19.0,labmovil4-All-Series,269.564847946167
20.0,labmovil4-All-Series,294.709379196167
21.0,labmovil4-All-Series,300.56471252441406
22.0,labmovil4-All-Series,351.1273238658905
23.0,labmovil4-All-Series,246.2018232345581
24.0,labmovil4-All-Series,315.01791071891785
25.0,labmovil4-All-Series,284.3908751010895
1.0,labmovil3-All-Series,592.089298248291
2.0,labmovil3-All-Series,290.34873270988464
3.0,labmovil3-All-Series,261.6448600292206
4.0,labmovil3-All-Series,229.20832872390747
5.0,labmovil3-All-Series,262.0901052951813
6.0,labmovil3-All-Series,267.23276138305664
7.0,labmovil3-All-Series,276.8261525630951
8.0,labmovil3-All-Series,242.44220280647278
9.0,labmovil3-All-Series,280.01194882392883
10.0,labmovil3-All-Series,254.87803888320923
11.0,labmovil3-All-Series,188.70993185043335
12.0,labmovil3-All-Series,266.80468368530273
13.0,labmovil3-All-Series,256.03782534599304
14.0,labmovil3-All-Series,252.98621916770935
15.0,labmovil3-All-Series,278.7668468952179
16.0,labmovil3-All-Series,330.63418102264404
17.0,labmovil3-All-Series,291.73718762397766
18.0,labmovil3-All-Series,289.2777986526489
19.0,labmovil3-All-Series,241.5361099243164
20.0,labmovil3-All-Series,288.1163396835327
21.0,labmovil3-All-Series,284.2842073440552
22.0,labmovil3-All-Series,327.59514141082764
23.0,labmovil3-All-Series,266.86404371261597
24.0,labmovil3-All-Series,325.90064239501953
25.0,labmovil3-All-Series,294.1294448375702
1.0,labmovil2-All-Series,34.05449843406677
2.0,labmovil2-All-Series,30.435850858688354
3.0,labmovil2-All-Series,27.987202644348145
4.0,labmovil2-All-Series,26.53757381439209
5.0,labmovil2-All-Series,26.21066403388977
6.0,labmovil2-All-Series,26.020649671554565
7.0,labmovil2-All-Series,25.711304426193237
8.0,labmovil2-All-Series,25.332288026809692
9.0,labmovil2-All-Series,25.116660833358765
10.0,labmovil2-All-Series,25.00737166404724
11.0,labmovil2-All-Series,24.795433521270752
12.0,labmovil2-All-Series,24.678016662597656
13.0,labmovil2-All-Series,24.637454986572266
14.0,labmovil2-All-Series,24.460145235061646
15.0,labmovil2-All-Series,24.406419277191162
16.0,labmovil2-All-Series,23.75445246696472
17.0,labmovil2-All-Series,24.381707906723022
18.0,labmovil2-All-Series,24.471647262573242
19.0,labmovil2-All-Series,24.515803813934326
20.0,labmovil2-All-Series,24.496524572372437
21.0,labmovil2-All-Series,24.613151788711548
22.0,labmovil2-All-Series,24.555082082748413
23.0,labmovil2-All-Series,24.703571796417236
24.0,labmovil2-All-Series,24.475387573242188
25.0,labmovil2-All-Series,24.49962592124939
