Iteration,Worker,Time
1.0,labmovil4-All-Series,673.927657365799
2.0,labmovil4-All-Series,492.1732351779938
3.0,labmovil4-All-Series,340.7639672756195
4.0,labmovil4-All-Series,295.85506796836853
5.0,labmovil4-All-Series,280.1351487636566
6.0,labmovil4-All-Series,252.15549755096436
8.0,labmovil4-All-Series,208.0180835723877
9.0,labmovil4-All-Series,209.1794798374176
10.0,labmovil4-All-Series,177.01978707313538
11.0,labmovil4-All-Series,176.5410032272339
12.0,labmovil4-All-Series,162.76130056381226
13.0,labmovil4-All-Series,171.38731861114502
14.0,labmovil4-All-Series,197.00505137443542
15.0,labmovil4-All-Series,193.26093363761902
16.0,labmovil4-All-Series,184.26460027694702
17.0,labmovil4-All-Series,183.3750240802765
18.0,labmovil4-All-Series,177.16575050354004
20.0,labmovil4-All-Series,186.9806773662567
21.0,labmovil4-All-Series,210.4776587486267
22.0,labmovil4-All-Series,172.513267993927
23.0,labmovil4-All-Series,191.65020155906677
24.0,labmovil4-All-Series,179.92377543449402
25.0,labmovil4-All-Series,175.120938539505
1.0,labmovil3-All-Series,674.0217242240906
2.0,labmovil3-All-Series,494.83656096458435
3.0,labmovil3-All-Series,340.3579332828522
4.0,labmovil3-All-Series,292.885187625885
5.0,labmovil3-All-Series,278.6976556777954
6.0,labmovil3-All-Series,253.439448595047
8.0,labmovil3-All-Series,207.59445810317993
9.0,labmovil3-All-Series,209.37604689598083
10.0,labmovil3-All-Series,184.58989596366882
11.0,labmovil3-All-Series,178.3217911720276
12.0,labmovil3-All-Series,163.77977442741394
13.0,labmovil3-All-Series,176.35610461235046
14.0,labmovil3-All-Series,201.03973937034607
15.0,labmovil3-All-Series,193.97053384780884
16.0,labmovil3-All-Series,176.13753962516785
17.0,labmovil3-All-Series,184.93737483024597
18.0,labmovil3-All-Series,202.7516872882843
20.0,labmovil3-All-Series,195.71163868904114
21.0,labmovil3-All-Series,214.4429588317871
22.0,labmovil3-All-Series,174.35795044898987
23.0,labmovil3-All-Series,181.0270128250122
24.0,labmovil3-All-Series,170.21232271194458
25.0,labmovil3-All-Series,173.82989382743835
1.0,labmovil2-All-Series,747.1642320156097
2.0,labmovil2-All-Series,549.6862442493439
3.0,labmovil2-All-Series,388.62136793136597
4.0,labmovil2-All-Series,326.37302446365356
5.0,labmovil2-All-Series,310.38610553741455
6.0,labmovil2-All-Series,277.57131934165955
8.0,labmovil2-All-Series,213.9048047065735
9.0,labmovil2-All-Series,216.54727792739868
10.0,labmovil2-All-Series,184.26423621177673
11.0,labmovil2-All-Series,181.42595887184143
12.0,labmovil2-All-Series,165.08304262161255
13.0,labmovil2-All-Series,172.96865129470825
14.0,labmovil2-All-Series,197.32726383209229
15.0,labmovil2-All-Series,195.75704097747803
16.0,labmovil2-All-Series,182.44797229766846
17.0,labmovil2-All-Series,183.57251048088074
18.0,labmovil2-All-Series,183.52992939949036
20.0,labmovil2-All-Series,196.30168962478638
21.0,labmovil2-All-Series,198.7173376083374
22.0,labmovil2-All-Series,167.6614499092102
23.0,labmovil2-All-Series,162.8171033859253
24.0,labmovil2-All-Series,181.0594699382782
25.0,labmovil2-All-Series,183.60069918632507
