Iteration,Worker,Time
1.0,labmovil4-All-Series,669.0440769195557
2.0,labmovil4-All-Series,490.2597599029541
3.0,labmovil4-All-Series,341.7600128650665
4.0,labmovil4-All-Series,293.33937525749207
5.0,labmovil4-All-Series,284.03585028648376
6.0,labmovil4-All-Series,254.08315253257751
7.0,labmovil4-All-Series,243.13415908813477
8.0,labmovil4-All-Series,207.41082286834717
9.0,labmovil4-All-Series,209.02843141555786
10.0,labmovil4-All-Series,180.8016185760498
11.0,labmovil4-All-Series,176.41425704956055
12.0,labmovil4-All-Series,179.3909718990326
13.0,labmovil4-All-Series,170.3134801387787
14.0,labmovil4-All-Series,194.45245957374573
15.0,labmovil4-All-Series,204.16268110275269
16.0,labmovil4-All-Series,179.305748462677
17.0,labmovil4-All-Series,186.29096293449402
20.0,labmovil4-All-Series,191.3380410671234
21.0,labmovil4-All-Series,202.527916431427
22.0,labmovil4-All-Series,169.71055150032043
23.0,labmovil4-All-Series,175.6622748374939
24.0,labmovil4-All-Series,174.3233585357666
25.0,labmovil4-All-Series,174.98180222511292
1.0,labmovil3-All-Series,675.1769669055939
2.0,labmovil3-All-Series,494.6981611251831
3.0,labmovil3-All-Series,340.44593358039856
4.0,labmovil3-All-Series,296.39053416252136
5.0,labmovil3-All-Series,273.34116435050964
6.0,labmovil3-All-Series,259.47381806373596
7.0,labmovil3-All-Series,256.16243624687195
8.0,labmovil3-All-Series,207.2991225719452
9.0,labmovil3-All-Series,209.74477195739746
10.0,labmovil3-All-Series,182.02839374542236
11.0,labmovil3-All-Series,184.34849309921265
12.0,labmovil3-All-Series,163.19550251960754
13.0,labmovil3-All-Series,176.53659176826477
14.0,labmovil3-All-Series,201.89612293243408
15.0,labmovil3-All-Series,187.7171471118927
16.0,labmovil3-All-Series,181.6461341381073
17.0,labmovil3-All-Series,181.93330454826355
20.0,labmovil3-All-Series,201.09948253631592
21.0,labmovil3-All-Series,228.92234468460083
22.0,labmovil3-All-Series,173.10128903388977
23.0,labmovil3-All-Series,178.19037461280823
24.0,labmovil3-All-Series,178.5947196483612
25.0,labmovil3-All-Series,179.2609486579895
1.0,labmovil2-All-Series,768.2839534282684
2.0,labmovil2-All-Series,560.1663353443146
3.0,labmovil2-All-Series,408.2087323665619
4.0,labmovil2-All-Series,332.80199933052063
5.0,labmovil2-All-Series,318.5749213695526
6.0,labmovil2-All-Series,274.11933517456055
7.0,labmovil2-All-Series,258.82923102378845
8.0,labmovil2-All-Series,219.54227209091187
9.0,labmovil2-All-Series,222.14566659927368
10.0,labmovil2-All-Series,184.8463978767395
11.0,labmovil2-All-Series,177.5789394378662
12.0,labmovil2-All-Series,149.18526816368103
13.0,labmovil2-All-Series,175.99759101867676
14.0,labmovil2-All-Series,202.88801193237305
15.0,labmovil2-All-Series,194.85189723968506
16.0,labmovil2-All-Series,180.2578146457672
17.0,labmovil2-All-Series,185.83530569076538
20.0,labmovil2-All-Series,187.30881142616272
21.0,labmovil2-All-Series,197.53563165664673
22.0,labmovil2-All-Series,172.12828922271729
23.0,labmovil2-All-Series,183.0380642414093
24.0,labmovil2-All-Series,179.34703302383423
25.0,labmovil2-All-Series,176.2587697505951
