Iteration,Worker,Time
1.0,labmovil4-All-Series,641.6205468177795
2.0,labmovil4-All-Series,490.53073620796204
4.0,labmovil4-All-Series,291.96565771102905
5.0,labmovil4-All-Series,278.58851766586304
7.0,labmovil4-All-Series,243.21933221817017
8.0,labmovil4-All-Series,216.91067123413086
9.0,labmovil4-All-Series,206.89808702468872
10.0,labmovil4-All-Series,181.18557405471802
11.0,labmovil4-All-Series,195.8501214981079
12.0,labmovil4-All-Series,163.34166526794434
13.0,labmovil4-All-Series,175.50480794906616
14.0,labmovil4-All-Series,199.77724075317383
15.0,labmovil4-All-Series,203.8534290790558
16.0,labmovil4-All-Series,179.85103821754456
17.0,labmovil4-All-Series,177.77543759346008
18.0,labmovil4-All-Series,183.51847434043884
19.0,labmovil4-All-Series,187.44185423851013
20.0,labmovil4-All-Series,188.41209292411804
21.0,labmovil4-All-Series,202.31378197669983
22.0,labmovil4-All-Series,163.98953485488892
23.0,labmovil4-All-Series,168.38241982460022
24.0,labmovil4-All-Series,185.5843288898468
25.0,labmovil4-All-Series,176.7985863685608
1.0,labmovil3-All-Series,690.4640648365021
2.0,labmovil3-All-Series,495.92999386787415
4.0,labmovil3-All-Series,294.35043120384216
5.0,labmovil3-All-Series,279.5341475009918
7.0,labmovil3-All-Series,247.51548171043396
8.0,labmovil3-All-Series,208.0591015815735
9.0,labmovil3-All-Series,217.14742255210876
10.0,labmovil3-All-Series,182.06109261512756
11.0,labmovil3-All-Series,143.58015322685242
12.0,labmovil3-All-Series,163.42349576950073
13.0,labmovil3-All-Series,170.75891137123108
14.0,labmovil3-All-Series,205.97897052764893
15.0,labmovil3-All-Series,206.32476997375488
16.0,labmovil3-All-Series,179.12766647338867
17.0,labmovil3-All-Series,191.19062566757202
18.0,labmovil3-All-Series,185.18962407112122
19.0,labmovil3-All-Series,193.02386116981506
20.0,labmovil3-All-Series,202.19157671928406
21.0,labmovil3-All-Series,218.98228812217712
22.0,labmovil3-All-Series,171.4830207824707
23.0,labmovil3-All-Series,182.6887321472168
24.0,labmovil3-All-Series,182.5698869228363
25.0,labmovil3-All-Series,180.91703295707703
1.0,labmovil2-All-Series,754.1985337734222
2.0,labmovil2-All-Series,544.3054575920105
4.0,labmovil2-All-Series,319.4436686038971
5.0,labmovil2-All-Series,304.08557963371277
7.0,labmovil2-All-Series,261.1195259094238
8.0,labmovil2-All-Series,210.33706998825073
9.0,labmovil2-All-Series,209.69449424743652
10.0,labmovil2-All-Series,182.09430694580078
11.0,labmovil2-All-Series,201.0803165435791
12.0,labmovil2-All-Series,165.4952471256256
13.0,labmovil2-All-Series,175.5133879184723
14.0,labmovil2-All-Series,191.58727478981018
15.0,labmovil2-All-Series,178.83545756340027
16.0,labmovil2-All-Series,181.38831067085266
17.0,labmovil2-All-Series,184.0680799484253
18.0,labmovil2-All-Series,194.61172199249268
19.0,labmovil2-All-Series,186.7372419834137
20.0,labmovil2-All-Series,188.8757359981537
21.0,labmovil2-All-Series,202.5792715549469
22.0,labmovil2-All-Series,179.3384256362915
23.0,labmovil2-All-Series,184.71793007850647
24.0,labmovil2-All-Series,162.63945031166077
25.0,labmovil2-All-Series,171.9166738986969
