Iteration,Worker,Time
1.0,labmovil3-All-Series,743.0282778739929
2.0,labmovil3-All-Series,514.7008805274963
3.0,labmovil3-All-Series,342.2391722202301
4.0,labmovil3-All-Series,295.09426283836365
5.0,labmovil3-All-Series,284.92466378211975
6.0,labmovil3-All-Series,254.98013138771057
7.0,labmovil3-All-Series,245.175297498703
8.0,labmovil3-All-Series,209.54945611953735
9.0,labmovil3-All-Series,209.98612236976624
10.0,labmovil3-All-Series,182.80144953727722
11.0,labmovil3-All-Series,178.9309229850769
12.0,labmovil3-All-Series,163.68083500862122
13.0,labmovil3-All-Series,173.56325507164001
14.0,labmovil3-All-Series,202.7630250453949
15.0,labmovil3-All-Series,197.26297998428345
16.0,labmovil3-All-Series,174.0327286720276
17.0,labmovil3-All-Series,174.01009702682495
18.0,labmovil3-All-Series,185.09392309188843
19.0,labmovil3-All-Series,202.95529198646545
20.0,labmovil3-All-Series,190.35274744033813
21.0,labmovil3-All-Series,206.68743348121643
22.0,labmovil3-All-Series,172.78995203971863
23.0,labmovil3-All-Series,175.5760304927826
24.0,labmovil3-All-Series,177.82213258743286
25.0,labmovil3-All-Series,177.50003242492676
1.0,labmovil4-All-Series,650.503415107727
2.0,labmovil4-All-Series,489.9578354358673
3.0,labmovil4-All-Series,344.59389567375183
4.0,labmovil4-All-Series,295.96695828437805
5.0,labmovil4-All-Series,281.0030126571655
6.0,labmovil4-All-Series,263.0453224182129
7.0,labmovil4-All-Series,255.2630636692047
8.0,labmovil4-All-Series,209.21385264396667
9.0,labmovil4-All-Series,209.71041703224182
10.0,labmovil4-All-Series,182.29988145828247
11.0,labmovil4-All-Series,181.52312469482422
12.0,labmovil4-All-Series,165.36810755729675
13.0,labmovil4-All-Series,178.38500261306763
14.0,labmovil4-All-Series,195.44379472732544
15.0,labmovil4-All-Series,196.52796626091003
16.0,labmovil4-All-Series,183.26110219955444
17.0,labmovil4-All-Series,189.94624710083008
18.0,labmovil4-All-Series,188.00067448616028
19.0,labmovil4-All-Series,177.0012788772583
20.0,labmovil4-All-Series,196.61454725265503
21.0,labmovil4-All-Series,200.01598238945007
22.0,labmovil4-All-Series,170.97312879562378
23.0,labmovil4-All-Series,187.9747269153595
24.0,labmovil4-All-Series,179.71419525146484
25.0,labmovil4-All-Series,177.61910939216614
1.0,labmovil2-All-Series,686.1376116275787
2.0,labmovil2-All-Series,522.1122195720673
3.0,labmovil2-All-Series,377.76150131225586
4.0,labmovil2-All-Series,334.2669916152954
5.0,labmovil2-All-Series,309.96633219718933
6.0,labmovil2-All-Series,270.9218556880951
7.0,labmovil2-All-Series,267.8416497707367
8.0,labmovil2-All-Series,216.38574290275574
9.0,labmovil2-All-Series,222.70073223114014
10.0,labmovil2-All-Series,186.4109263420105
11.0,labmovil2-All-Series,181.26727056503296
12.0,labmovil2-All-Series,165.7926890850067
13.0,labmovil2-All-Series,172.83469820022583
14.0,labmovil2-All-Series,203.2909014225006
15.0,labmovil2-All-Series,194.1555142402649
16.0,labmovil2-All-Series,187.1350724697113
17.0,labmovil2-All-Series,194.72649431228638
18.0,labmovil2-All-Series,194.6618196964264
19.0,labmovil2-All-Series,193.5569727420807
20.0,labmovil2-All-Series,196.3881652355194
21.0,labmovil2-All-Series,226.52770972251892
22.0,labmovil2-All-Series,173.49867749214172
23.0,labmovil2-All-Series,175.7803463935852
24.0,labmovil2-All-Series,176.860684633255
25.0,labmovil2-All-Series,176.76839089393616
