Iteration,Worker,Time
1.0,Master,2009.0879999999997
2.0,Master,1469.1970999999999
3.0,Master,1007.3864
4.0,Master,864.5188999999999
5.0,Master,818.4241
6.0,Master,742.6925
7.0,Master,718.7941999999999
8.0,Master,603.1215
9.0,Master,609.3375
10.0,Master,524.827
11.0,Master,516.7341000000001
12.0,Master,472.59299999999996
13.0,Master,502.3842
14.0,Master,575.636
15.0,Master,564.4190000000001
16.0,Master,522.4377999999999
17.0,Master,534.7232000000001
18.0,Master,544.7045
19.0,Master,549.3436
20.0,Master,560.6347000000001
21.0,Master,605.5957999999999
22.0,Master,497.6369000000001
23.0,Master,518.5346999999999
24.0,Master,514.1428999999999
25.0,Master,512.2817
