Iteration,Worker,Time
1.0,labmovil4-All-Series,116.94382882118225
2.0,labmovil4-All-Series,89.37048578262329
3.0,labmovil4-All-Series,68.15124583244324
4.0,labmovil4-All-Series,57.92582178115845
5.0,labmovil4-All-Series,53.13074803352356
6.0,labmovil4-All-Series,40.461546182632446
7.0,labmovil4-All-Series,40.80526638031006
8.0,labmovil4-All-Series,27.38804268836975
9.0,labmovil4-All-Series,29.067718744277954
10.0,labmovil4-All-Series,19.153247356414795
11.0,labmovil4-All-Series,25.2006356716156
12.0,labmovil4-All-Series,15.356844902038574
13.0,labmovil4-All-Series,33.79466962814331
14.0,labmovil4-All-Series,34.61055660247803
15.0,labmovil4-All-Series,55.35367488861084
16.0,labmovil4-All-Series,23.593701124191284
17.0,labmovil4-All-Series,19.91047501564026
20.0,labmovil4-All-Series,31.25662136077881
21.0,labmovil4-All-Series,93.03809714317322
22.0,labmovil4-All-Series,23.63173484802246
23.0,labmovil4-All-Series,30.8480281829834
24.0,labmovil4-All-Series,27.695048809051514
25.0,labmovil4-All-Series,17.431896209716797
1.0,labmovil3-All-Series,110.81093883514404
2.0,labmovil3-All-Series,84.93208456039429
3.0,labmovil3-All-Series,156.72440671920776
4.0,labmovil3-All-Series,54.87466287612915
5.0,labmovil3-All-Series,63.82543396949768
6.0,labmovil3-All-Series,35.070880651474
7.0,labmovil3-All-Series,27.776989221572876
8.0,labmovil3-All-Series,27.49974298477173
9.0,labmovil3-All-Series,28.351378202438354
10.0,labmovil3-All-Series,17.926472187042236
11.0,labmovil3-All-Series,17.2663996219635
12.0,labmovil3-All-Series,31.65451455116272
13.0,labmovil3-All-Series,27.571557998657227
14.0,labmovil3-All-Series,27.166893243789673
15.0,labmovil3-All-Series,71.79920887947083
16.0,labmovil3-All-Series,21.253315448760986
17.0,labmovil3-All-Series,24.268133401870728
20.0,labmovil3-All-Series,21.495179891586304
21.0,labmovil3-All-Series,66.64366888999939
22.0,labmovil3-All-Series,20.240997314453125
23.0,labmovil3-All-Series,28.319928407669067
24.0,labmovil3-All-Series,23.42368769645691
25.0,labmovil3-All-Series,13.15274977684021
1.0,labmovil2-All-Series,17.703952312469482
2.0,labmovil2-All-Series,19.463910341262817
3.0,labmovil2-All-Series,17.958374500274658
4.0,labmovil2-All-Series,18.463197708129883
5.0,labmovil2-All-Series,18.591676950454712
6.0,labmovil2-All-Series,20.425363540649414
7.0,labmovil2-All-Series,25.110194444656372
8.0,labmovil2-All-Series,15.256593465805054
9.0,labmovil2-All-Series,15.950483560562134
10.0,labmovil2-All-Series,15.108468055725098
11.0,labmovil2-All-Series,24.035953283309937
12.0,labmovil2-All-Series,45.70688343048096
13.0,labmovil2-All-Series,28.11055874824524
14.0,labmovil2-All-Series,26.175004243850708
15.0,labmovil2-All-Series,64.66445875167847
16.0,labmovil2-All-Series,22.641634941101074
17.0,labmovil2-All-Series,20.366132259368896
20.0,labmovil2-All-Series,35.2858510017395
21.0,labmovil2-All-Series,98.03038191795349
22.0,labmovil2-All-Series,21.21399712562561
23.0,labmovil2-All-Series,23.472238779067993
24.0,labmovil2-All-Series,22.671374320983887
25.0,labmovil2-All-Series,16.15492868423462
