Iteration,Worker,Time
1.0,labmovil4-All-Series,133.3758523464203
2.0,labmovil4-All-Series,72.67509412765503
4.0,labmovil4-All-Series,46.2850136756897
5.0,labmovil4-All-Series,57.130560874938965
7.0,labmovil4-All-Series,33.84908723831177
8.0,labmovil4-All-Series,20.099571466445923
9.0,labmovil4-All-Series,35.04680895805359
10.0,labmovil4-All-Series,21.212586402893066
11.0,labmovil4-All-Series,40.71248435974121
12.0,labmovil4-All-Series,19.88913583755493
13.0,labmovil4-All-Series,21.361506462097168
14.0,labmovil4-All-Series,44.693020820617676
15.0,labmovil4-All-Series,37.222681522369385
16.0,labmovil4-All-Series,20.557424783706665
17.0,labmovil4-All-Series,30.500481367111206
18.0,labmovil4-All-Series,30.432228326797485
19.0,labmovil4-All-Series,26.29398488998413
20.0,labmovil4-All-Series,48.772003173828125
21.0,labmovil4-All-Series,41.617300271987915
22.0,labmovil4-All-Series,43.27794408798218
23.0,labmovil4-All-Series,32.80529022216797
24.0,labmovil4-All-Series,27.48344087600708
25.0,labmovil4-All-Series,33.95135426521301
1.0,labmovil3-All-Series,84.53233432769775
2.0,labmovil3-All-Series,67.27583646774292
4.0,labmovil3-All-Series,43.90024018287659
5.0,labmovil3-All-Series,56.18493103981018
7.0,labmovil3-All-Series,29.552937746047974
8.0,labmovil3-All-Series,28.951141119003296
9.0,labmovil3-All-Series,24.797473430633545
10.0,labmovil3-All-Series,20.33706784248352
11.0,labmovil3-All-Series,14.40610933303833
12.0,labmovil3-All-Series,19.807305335998535
13.0,labmovil3-All-Series,26.10740303993225
14.0,labmovil3-All-Series,38.49129104614258
15.0,labmovil3-All-Series,34.75134062767029
16.0,labmovil3-All-Series,21.28079652786255
17.0,labmovil3-All-Series,17.085293292999268
18.0,labmovil3-All-Series,28.761078596115112
19.0,labmovil3-All-Series,20.7119779586792
20.0,labmovil3-All-Series,34.99251937866211
21.0,labmovil3-All-Series,24.94879412651062
22.0,labmovil3-All-Series,35.78445816040039
23.0,labmovil3-All-Series,18.49897789955139
24.0,labmovil3-All-Series,30.497882843017578
25.0,labmovil3-All-Series,29.832907676696777
1.0,labmovil2-All-Series,20.797865390777588
2.0,labmovil2-All-Series,18.900372743606567
4.0,labmovil2-All-Series,18.807002782821655
5.0,labmovil2-All-Series,31.633498907089233
7.0,labmovil2-All-Series,15.948893547058105
8.0,labmovil2-All-Series,26.67317271232605
9.0,labmovil2-All-Series,32.250401735305786
10.0,labmovil2-All-Series,20.303853511810303
11.0,labmovil2-All-Series,73.1891725063324
12.0,labmovil2-All-Series,17.735553979873657
13.0,labmovil2-All-Series,21.35292649269104
14.0,labmovil2-All-Series,52.88298678398132
15.0,labmovil2-All-Series,62.2406530380249
16.0,labmovil2-All-Series,19.02015233039856
17.0,labmovil2-All-Series,24.207839012145996
18.0,labmovil2-All-Series,19.338980674743652
19.0,labmovil2-All-Series,26.998597145080566
20.0,labmovil2-All-Series,48.30836009979248
21.0,labmovil2-All-Series,41.351810693740845
22.0,labmovil2-All-Series,27.92905330657959
23.0,labmovil2-All-Series,16.46977996826172
24.0,labmovil2-All-Series,50.428319454193115
25.0,labmovil2-All-Series,38.833266735076904
