Iteration,Worker,Time
2.0,labmovil4-All-Series,4167.084899425507
3.0,labmovil4-All-Series,3962.3067705631256
4.0,labmovil4-All-Series,3798.188410282135
5.0,labmovil4-All-Series,3737.9269609451294
6.0,labmovil4-All-Series,3742.3295691013336
7.0,labmovil4-All-Series,3725.097666501999
8.0,labmovil4-All-Series,4080.0903844833374
9.0,labmovil4-All-Series,3639.0634882450104
10.0,labmovil4-All-Series,3604.589830636978
11.0,labmovil4-All-Series,3596.161719083786
12.0,labmovil4-All-Series,3569.835865497589
13.0,labmovil4-All-Series,3620.7543711662292
14.0,labmovil4-All-Series,3679.659523487091
15.0,labmovil4-All-Series,3689.2418925762177
16.0,labmovil4-All-Series,3685.9297223091125
17.0,labmovil4-All-Series,3700.539875984192
18.0,labmovil4-All-Series,3704.2180511951447
19.0,labmovil4-All-Series,3887.767318725586
20.0,labmovil4-All-Series,3968.288323879242
21.0,labmovil4-All-Series,4102.028148651123
22.0,labmovil4-All-Series,4255.303737163544
23.0,labmovil4-All-Series,4571.521202087402
24.0,labmovil4-All-Series,4935.72474861145
25.0,labmovil4-All-Series,5156.2865533828735
2.0,labmovil2-All-Series,4465.191104888916
3.0,labmovil2-All-Series,4752.461029052734
4.0,labmovil2-All-Series,4593.895348548889
5.0,labmovil2-All-Series,4518.155443191528
6.0,labmovil2-All-Series,4511.153852701187
7.0,labmovil2-All-Series,4486.569161653519
8.0,labmovil2-All-Series,3565.0318167209625
9.0,labmovil2-All-Series,4282.821838855743
10.0,labmovil2-All-Series,4315.526924133301
11.0,labmovil2-All-Series,4271.997564077377
12.0,labmovil2-All-Series,4246.510820388794
13.0,labmovil2-All-Series,4292.45795083046
14.0,labmovil2-All-Series,4371.375633955002
15.0,labmovil2-All-Series,4369.081667900085
16.0,labmovil2-All-Series,4380.498334884644
17.0,labmovil2-All-Series,4351.505527019501
18.0,labmovil2-All-Series,4400.168433904648
19.0,labmovil2-All-Series,4619.921640634537
20.0,labmovil2-All-Series,4708.130651712418
21.0,labmovil2-All-Series,4868.2287628650665
22.0,labmovil2-All-Series,5051.003709793091
23.0,labmovil2-All-Series,5398.475549221039
24.0,labmovil2-All-Series,5873.578255176544
25.0,labmovil2-All-Series,6055.246514797211
2.0,labmovil3-All-Series,4593.3640167713165
3.0,labmovil3-All-Series,3970.5000338554382
4.0,labmovil3-All-Series,3836.6872384548187
5.0,labmovil3-All-Series,3756.8817207813263
6.0,labmovil3-All-Series,3763.4189751148224
7.0,labmovil3-All-Series,3738.0852868556976
8.0,labmovil3-All-Series,4095.314372777939
9.0,labmovil3-All-Series,3662.2517142295837
10.0,labmovil3-All-Series,3637.077889442444
11.0,labmovil3-All-Series,3614.7908928394318
12.0,labmovil3-All-Series,3575.018641233444
13.0,labmovil3-All-Series,3644.874329805374
14.0,labmovil3-All-Series,3687.3021924495697
15.0,labmovil3-All-Series,3694.19500374794
16.0,labmovil3-All-Series,3716.841378927231
17.0,labmovil3-All-Series,3686.715399503708
18.0,labmovil3-All-Series,3729.366895675659
19.0,labmovil3-All-Series,3912.5955595970154
20.0,labmovil3-All-Series,3979.351920604706
21.0,labmovil3-All-Series,4075.0914714336395
22.0,labmovil3-All-Series,4295.131027936935
23.0,labmovil3-All-Series,4585.383425474167
24.0,labmovil3-All-Series,4972.572717189789
25.0,labmovil3-All-Series,5139.416847229004
