Iteration,Worker,Time
1.0,labmovil3-All-Series,4809.55668091774
2.0,labmovil3-All-Series,4233.3356285095215
3.0,labmovil3-All-Series,4031.4942972660065
4.0,labmovil3-All-Series,3881.1255934238434
5.0,labmovil3-All-Series,3807.804330587387
6.0,labmovil3-All-Series,3820.157317876816
7.0,labmovil3-All-Series,3808.7597539424896
8.0,labmovil3-All-Series,3780.9647266864777
9.0,labmovil3-All-Series,3722.7563982009888
10.0,labmovil3-All-Series,3685.605139017105
11.0,labmovil3-All-Series,3666.555904150009
12.0,labmovil3-All-Series,3631.6706969738007
13.0,labmovil3-All-Series,3705.5767447948456
14.0,labmovil3-All-Series,3755.6575424671173
15.0,labmovil3-All-Series,3752.776470184326
16.0,labmovil3-All-Series,3750.4500300884247
17.0,labmovil3-All-Series,3753.737996816635
18.0,labmovil3-All-Series,3779.587405204773
19.0,labmovil3-All-Series,3961.561361312866
20.0,labmovil3-All-Series,4050.7609560489655
21.0,labmovil3-All-Series,4186.990993499756
22.0,labmovil3-All-Series,4329.920383930206
23.0,labmovil3-All-Series,4688.44913983345
24.0,labmovil3-All-Series,5032.795523881912
25.0,labmovil3-All-Series,5253.3724319934845
1.0,labmovil4-All-Series,5764.0684933662415
2.0,labmovil4-All-Series,4211.607978343964
3.0,labmovil4-All-Series,4020.787193775177
4.0,labmovil4-All-Series,3876.210531234741
5.0,labmovil4-All-Series,3807.6931505203247
6.0,labmovil4-All-Series,3807.4206948280334
7.0,labmovil4-All-Series,3797.8547582626343
8.0,labmovil4-All-Series,3775.3658328056335
9.0,labmovil4-All-Series,3708.613509654999
10.0,labmovil4-All-Series,3684.388073205948
11.0,labmovil4-All-Series,3678.502016067505
12.0,labmovil4-All-Series,3645.428044319153
13.0,labmovil4-All-Series,3682.690213918686
14.0,labmovil4-All-Series,3749.807537317276
15.0,labmovil4-All-Series,3768.235511302948
16.0,labmovil4-All-Series,3766.2606172561646
17.0,labmovil4-All-Series,3776.0000553131104
18.0,labmovil4-All-Series,3775.4507310390472
19.0,labmovil4-All-Series,3971.5335745811462
20.0,labmovil4-All-Series,4032.768036365509
21.0,labmovil4-All-Series,4171.368991613388
22.0,labmovil4-All-Series,4352.83736538887
23.0,labmovil4-All-Series,4642.7821407318115
24.0,labmovil4-All-Series,5036.625368118286
25.0,labmovil4-All-Series,5188.086250782013
1.0,labmovil2-All-Series,4473.109517335892
2.0,labmovil2-All-Series,4890.579378128052
3.0,labmovil2-All-Series,4693.765969753265
4.0,labmovil2-All-Series,4546.988140583038
5.0,labmovil2-All-Series,4478.115691423416
6.0,labmovil2-All-Series,4470.317234754562
7.0,labmovil2-All-Series,4446.153932094574
8.0,labmovil2-All-Series,4425.656551122665
9.0,labmovil2-All-Series,4331.836221218109
10.0,labmovil2-All-Series,4296.534883260727
11.0,labmovil2-All-Series,4249.353548049927
12.0,labmovil2-All-Series,4228.367817640305
13.0,labmovil2-All-Series,4307.819374322891
14.0,labmovil2-All-Series,4359.790030956268
15.0,labmovil2-All-Series,4350.107542514801
16.0,labmovil2-All-Series,4404.412575244904
17.0,labmovil2-All-Series,4354.358108043671
18.0,labmovil2-All-Series,4406.867315292358
19.0,labmovil2-All-Series,4612.231069564819
20.0,labmovil2-All-Series,4709.939927101135
21.0,labmovil2-All-Series,4818.012808799744
22.0,labmovil2-All-Series,5057.77591586113
23.0,labmovil2-All-Series,5388.989780426025
24.0,labmovil2-All-Series,5894.483371973038
25.0,labmovil2-All-Series,6119.207377433777
