Iteration,Worker,Time
1.0,labmovil4-All-Series,5156.739573478699
2.0,labmovil4-All-Series,4134.265816450119
3.0,labmovil4-All-Series,3920.0321929454803
4.0,labmovil4-All-Series,3397.497544527054
5.0,labmovil4-All-Series,3715.522833108902
6.0,labmovil4-All-Series,3712.3420169353485
7.0,labmovil4-All-Series,3697.851529598236
8.0,labmovil4-All-Series,3674.0606875419617
9.0,labmovil4-All-Series,3606.3688356876373
10.0,labmovil4-All-Series,3589.9687130451202
11.0,labmovil4-All-Series,3562.9728767871857
12.0,labmovil4-All-Series,3539.054071187973
13.0,labmovil4-All-Series,3582.7073645591736
14.0,labmovil4-All-Series,3649.9925899505615
15.0,labmovil4-All-Series,3654.4159412384033
16.0,labmovil4-All-Series,3668.0226650238037
17.0,labmovil4-All-Series,3663.914044857025
18.0,labmovil4-All-Series,3651.6417906284332
19.0,labmovil4-All-Series,3883.6828718185425
20.0,labmovil4-All-Series,3946.804034948349
21.0,labmovil4-All-Series,4055.25998878479
22.0,labmovil4-All-Series,4229.589210510254
23.0,labmovil4-All-Series,4497.496673107147
24.0,labmovil4-All-Series,4860.984108686447
25.0,labmovil4-All-Series,5102.731271743774
1.0,labmovil2-All-Series,4993.796464443207
2.0,labmovil2-All-Series,4824.547472715378
3.0,labmovil2-All-Series,4642.932614803314
4.0,labmovil2-All-Series,4464.035734653473
5.0,labmovil2-All-Series,4356.821977853775
6.0,labmovil2-All-Series,4370.169817447662
7.0,labmovil2-All-Series,4350.859380483627
8.0,labmovil2-All-Series,4325.322549343109
9.0,labmovil2-All-Series,4225.82187795639
10.0,labmovil2-All-Series,4197.9480702877045
11.0,labmovil2-All-Series,4157.766269683838
12.0,labmovil2-All-Series,4127.295486450195
13.0,labmovil2-All-Series,4200.740008831024
14.0,labmovil2-All-Series,4259.564463376999
15.0,labmovil2-All-Series,4270.120778083801
16.0,labmovil2-All-Series,4266.315594673157
17.0,labmovil2-All-Series,4260.994740962982
18.0,labmovil2-All-Series,4301.800815582275
19.0,labmovil2-All-Series,4502.4329829216
20.0,labmovil2-All-Series,4552.227306842804
21.0,labmovil2-All-Series,4712.322163581848
22.0,labmovil2-All-Series,4893.79766201973
23.0,labmovil2-All-Series,5321.646300792694
24.0,labmovil2-All-Series,5773.483287811279
25.0,labmovil2-All-Series,5929.792054176331
1.0,labmovil3-All-Series,4778.179508924484
2.0,labmovil3-All-Series,4176.522419929504
3.0,labmovil3-All-Series,3967.191288948059
4.0,labmovil3-All-Series,4198.892164468765
5.0,labmovil3-All-Series,3746.6868917942047
6.0,labmovil3-All-Series,3749.6336736679077
7.0,labmovil3-All-Series,3734.2789783477783
8.0,labmovil3-All-Series,3710.7483761310577
9.0,labmovil3-All-Series,3662.4611773490906
10.0,labmovil3-All-Series,3622.4493527412415
11.0,labmovil3-All-Series,3612.7693758010864
12.0,labmovil3-All-Series,3577.03511762619
13.0,labmovil3-All-Series,3644.4932956695557
14.0,labmovil3-All-Series,3681.1663625240326
15.0,labmovil3-All-Series,3691.1701827049255
16.0,labmovil3-All-Series,3706.533526659012
17.0,labmovil3-All-Series,3680.1205036640167
18.0,labmovil3-All-Series,3727.9120650291443
19.0,labmovil3-All-Series,3873.950433731079
20.0,labmovil3-All-Series,3986.717437028885
21.0,labmovil3-All-Series,4111.263945102692
22.0,labmovil3-All-Series,4317.468901872635
23.0,labmovil3-All-Series,4571.916882991791
24.0,labmovil3-All-Series,4955.874445676804
25.0,labmovil3-All-Series,5115.5117292404175
