Iteration,Worker,Time
1.0,labmovil3-All-Series,4859.880827188492
2.0,labmovil3-All-Series,4221.902345657349
3.0,labmovil3-All-Series,4021.7234723567963
4.0,labmovil3-All-Series,3877.3315591812134
5.0,labmovil3-All-Series,3800.5171372890472
6.0,labmovil3-All-Series,3815.1953835487366
7.0,labmovil3-All-Series,3796.528683423996
8.0,labmovil3-All-Series,3767.5423605442047
9.0,labmovil3-All-Series,3695.566474914551
10.0,labmovil3-All-Series,3671.7985048294067
11.0,labmovil3-All-Series,3651.1376419067383
12.0,labmovil3-All-Series,3617.7958059310913
13.0,labmovil3-All-Series,3665.1464643478394
14.0,labmovil3-All-Series,3733.087661266327
15.0,labmovil3-All-Series,3756.1262757778168
16.0,labmovil3-All-Series,3746.127221107483
17.0,labmovil3-All-Series,3735.17010641098
18.0,labmovil3-All-Series,3772.222658634186
19.0,labmovil3-All-Series,3959.547733783722
20.0,labmovil3-All-Series,4026.577343940735
21.0,labmovil3-All-Series,4159.2437789440155
22.0,labmovil3-All-Series,4324.439396381378
23.0,labmovil3-All-Series,4596.887047529221
24.0,labmovil3-All-Series,5041.977405786514
25.0,labmovil3-All-Series,5231.862975358963
1.0,labmovil2-All-Series,5613.508160114288
2.0,labmovil2-All-Series,4892.02555680275
3.0,labmovil2-All-Series,4697.48700094223
4.0,labmovil2-All-Series,4502.091484308243
5.0,labmovil2-All-Series,4402.89493227005
6.0,labmovil2-All-Series,4417.6560571193695
7.0,labmovil2-All-Series,4380.455308675766
8.0,labmovil2-All-Series,4338.968794345856
9.0,labmovil2-All-Series,4276.501615762711
10.0,labmovil2-All-Series,4232.520550251007
11.0,labmovil2-All-Series,4182.814877748489
12.0,labmovil2-All-Series,4158.87579870224
13.0,labmovil2-All-Series,4239.051939725876
14.0,labmovil2-All-Series,4278.157242774963
15.0,labmovil2-All-Series,4286.622898101807
16.0,labmovil2-All-Series,4304.395143985748
17.0,labmovil2-All-Series,4280.980422735214
18.0,labmovil2-All-Series,4298.2409410476685
19.0,labmovil2-All-Series,4513.41636800766
20.0,labmovil2-All-Series,4610.435608386993
21.0,labmovil2-All-Series,4747.654144287109
22.0,labmovil2-All-Series,4967.22088098526
23.0,labmovil2-All-Series,5353.209916591644
24.0,labmovil2-All-Series,5749.158234596252
25.0,labmovil2-All-Series,5959.893303632736
1.0,labmovil4-All-Series,4653.698973894119
2.0,labmovil4-All-Series,4164.194197654724
3.0,labmovil4-All-Series,3943.4098694324493
4.0,labmovil4-All-Series,3794.8371679782867
5.0,labmovil4-All-Series,3726.0853707790375
6.0,labmovil4-All-Series,3729.5820355415344
7.0,labmovil4-All-Series,3713.9514536857605
8.0,labmovil4-All-Series,3692.4450676441193
9.0,labmovil4-All-Series,3614.1629004478455
10.0,labmovil4-All-Series,3597.5365126132965
11.0,labmovil4-All-Series,3584.612711429596
12.0,labmovil4-All-Series,3543.2264733314514
13.0,labmovil4-All-Series,3605.378046989441
14.0,labmovil4-All-Series,3655.5706622600555
15.0,labmovil4-All-Series,3679.8117163181305
16.0,labmovil4-All-Series,3664.544043302536
17.0,labmovil4-All-Series,3662.2212977409363
18.0,labmovil4-All-Series,3678.253776073456
19.0,labmovil4-All-Series,3870.0369827747345
20.0,labmovil4-All-Series,3939.2624373435974
21.0,labmovil4-All-Series,4054.8299374580383
22.0,labmovil4-All-Series,4220.704277038574
23.0,labmovil4-All-Series,4531.158971309662
24.0,labmovil4-All-Series,4898.68198800087
25.0,labmovil4-All-Series,5072.8407299518585
