Iteration,Mean,Std
1.0,14311.3198,0.0
2.0,12591.5807,0.0
3.0,11964.6638,0.0
4.0,11521.915499999997,0.0
5.0,11309.8086,0.0
6.0,11316.2343,0.0
7.0,11279.4305,0.0
8.0,11189.557,0.0
9.0,10991.988,0.0
10.0,10923.7461,0.0
11.0,10838.963700000002,0.0
12.0,10757.0243,0.0
13.0,10939.1883,0.0
14.0,11092.967499999999,0.0
15.0,11113.8825,0.0
16.0,11146.885900000001,0.0
17.0,11114.560800000003,0.0
18.0,11186.401600000001,0.0
19.0,11746.8929,0.0
20.0,11974.229799999997,0.0
21.0,12363.737700000001,0.0
22.0,12870.1809,0.0
23.0,13778.076699999998,0.0
24.0,14934.966199999999,0.0
25.0,15491.431599999998,0.0
