Iteration,Worker,Time
1.0,Master,14311.3198
2.0,Master,12591.5807
3.0,Master,11964.6638
4.0,Master,11521.915499999997
5.0,Master,11309.8086
6.0,Master,11316.2343
7.0,Master,11279.4305
8.0,Master,11189.557
9.0,Master,10991.988
10.0,Master,10923.7461
11.0,Master,10838.963700000002
12.0,Master,10757.0243
13.0,Master,10939.1883
14.0,Master,11092.967499999999
15.0,Master,11113.8825
16.0,Master,11146.885900000001
17.0,Master,11114.560800000003
18.0,Master,11186.401600000001
19.0,Master,11746.8929
20.0,Master,11974.229799999997
21.0,Master,12363.737700000001
22.0,Master,12870.1809
23.0,Master,13778.076699999998
24.0,Master,14934.966199999999
25.0,Master,15491.431599999998
