Number of features,Execution time,Predicted time
43,29.83405,28.235300000000002
44,32.39961,28.611399999999996
45,27.725344999999994,28.611399999999996
46,30.14934,27.68050000000001
47,28.222542499999996,27.680500000000002
48,28.833418,27.6805
49,28.047500000000003,27.680500000000002
50,30.792786,27.681899999999995
51,27.886082222222225,27.68189999999999
52,27.292505,26.66219999999999
53,26.79135714285714,26.367799999999995
54,27.547214615384615,26.367799999999995
55,26.575968000000003,25.2157
56,26.573677142857143,25.75979999999999
57,26.743425,25.712899999999994
58,26.00884444444445,25.1618
59,25.93906666666667,25.161800000000007
60,25.869634285714284,25.341699999999996
61,26.321438571428573,25.341699999999996
62,26.353498888888893,25.341699999999996
63,25.54199,23.5014
64,23.351544999999998,23.501399999999997
65,24.707504,23.4258
66,23.939053333333334,23.4258
67,25.899820000000002,23.425300000000004
68,23.05031,23.4253
69,23.63666,23.425300000000004
70,24.246951999999997,23.227900000000005
71,24.033572500000002,23.2279
72,23.70268166666667,23.013899999999996
73,24.123186,23.0139
74,23.509196000000006,23.0139
75,20.94721333333333,21.654499999999995
76,22.655007777777776,21.6545
77,22.18878333333333,21.557800000000007
78,22.37142,21.652000000000005
79,22.257042,21.652
80,23.235213749999996,22.159500000000005
81,21.243673333333327,22.01649999999999
82,23.259819999999998,22.016500000000004
83,23.119027142857142,22.264799999999997
84,22.89539666666666,21.675899999999995
85,22.0023275,21.6759
86,22.62310428571429,21.917799999999996
87,21.615276666666663,20.768699999999992
88,21.306369999999998,20.768699999999992
89,20.98472,20.768700000000003
90,22.920125,21.2526
91,21.030050000000003,21.2526
92,21.055020000000003,20.7309
93,23.108159999999998,20.730900000000002
94,21.045845,20.730900000000002
95,20.061199999999996,20.382200000000005
97,22.596169999999994,20.942
98,19.863979999999994,20.942
99,21.7434975,20.942
100,21.757085000000004,20.942000000000004
101,21.432359999999996,20.942
102,21.734506666666668,20.942
103,21.170553999999996,20.5055
104,21.194504000000002,20.5055
105,21.479031666666664,20.505499999999998
106,20.736744999999996,20.505499999999998
107,21.864804,20.5055
108,21.94242857142857,20.316700000000008
109,20.517569999999996,20.316700000000004
110,20.724754000000004,20.316700000000004
111,20.116813333333333,19.9832
112,22.01749,19.983200000000004
113,21.495766000000003,20.3268
114,20.978323333333332,20.3268
115,20.420115000000003,20.074799999999996
116,20.784860000000002,20.074799999999996
117,21.484461999999997,20.819699999999997
118,21.799948,20.819699999999997
119,20.7912325,20.3162
120,21.247133333333338,20.386499999999998
121,21.298,20.386500000000005
122,20.4662925,19.9698
123,21.144879999999997,20.085100000000004
124,20.79675,20.0197
125,21.12784,20.063700000000004
126,19.403529999999996,19.6753
127,20.648439999999997,19.8564
128,19.129649999999998,19.4094
129,21.008050000000004,20.148199999999992
130,20.130795,19.295200000000005
131,19.273090000000003,19.5762
132,20.313219999999998,19.545700000000004
133,20.66025,19.4409
134,18.75587,19.2322
135,19.109089999999995,19.1043
136,22.48585,19.2158
137,18.97019333333333,19.215799999999998
138,20.027878,19.2037
139,20.058974999999997,19.4596
140,20.17787,19.4596
141,20.46398,19.5394
142,20.537286666666667,19.5394
143,20.252992499999998,19.3415
144,19.234915000000004,19.3415
145,19.4979475,19.2723
146,19.955644,19.2723
148,20.534826666666667,19.410300000000003
149,19.700595,19.127199999999995
150,19.746075,19.1272
151,19.81443,19.127199999999995
152,19.78669,18.9746
153,18.898159999999997,18.974600000000002
154,21.289360000000002,19.2337
155,19.89741,19.2337
156,19.186813333333337,19.080500000000008
157,19.163109999999996,19.080500000000008
158,20.449826666666674,18.97609999999999
159,19.678838,18.9761
160,18.33837,18.911799999999992
161,20.404040000000006,19.1248
162,19.330050000000007,19.1248
164,19.266635,19.121199999999998
166,19.309238333333333,19.033699999999996
167,20.852089999999997,19.1419
168,20.22225,19.1419
169,19.45212,19.161400000000004
173,20.574345,19.3157
174,19.95167,19.3157
