Iteration,Mean,Std
2.0,633.3394195238749,468.2884307787864
3.0,542.9440883000692,370.5662153729653
4.0,536.5565041700999,366.36287617739447
5.0,530.8165306250254,363.4179485357279
6.0,522.1396759351095,357.5600942899786
7.0,520.476035118103,355.93938732491193
8.0,856.6813718477885,700.2026345293265
9.0,439.7909119129181,298.15540082757934
10.0,479.06312878926593,327.7499245778203
11.0,460.1323724587758,314.29316537495527
12.0,465.09812871615094,317.77308507943957
13.0,455.381339152654,311.1148443828807
14.0,474.175035238266,324.2917173099983
15.0,467.90334637959796,319.318486584771
16.0,468.1641510327657,320.38546979131837
17.0,453.9665726025899,310.17796121657625
18.0,471.04252552986145,322.31008245383583
19.0,495.2131559054057,339.44015632780844
20.0,504.910851875941,346.1867691388377
21.0,535.1848621368408,367.7039462605939
22.0,532.5695080757141,366.07045021862893
23.0,562.0236441294352,386.6040833232138
24.0,629.0489799976349,433.68421077087305
25.0,620.2478020191193,427.80545672197474
