Iteration,Worker,Time
2.0,labmovil4-All-Series,1153.8943378925323
3.0,labmovil4-All-Series,809.059928894043
4.0,labmovil4-All-Series,814.6250929832458
5.0,labmovil4-All-Series,797.2109446525574
6.0,labmovil4-All-Series,785.4442391395569
7.0,labmovil4-All-Series,778.6290736198425
8.0,labmovil4-All-Series,832.4094233512878
9.0,labmovil4-All-Series,662.1064374446869
10.0,labmovil4-All-Series,726.8715128898621
11.0,labmovil4-All-Series,691.6207120418549
12.0,labmovil4-All-Series,692.3840389251709
13.0,labmovil4-All-Series,687.3225185871124
14.0,labmovil4-All-Series,707.2946283817291
15.0,labmovil4-All-Series,696.167641878128
16.0,labmovil4-All-Series,709.9909074306488
17.0,labmovil4-All-Series,666.3469641208649
18.0,labmovil4-All-Series,711.4089345932007
19.0,labmovil4-All-Series,747.5406768321991
20.0,labmovil4-All-Series,755.2128267288208
21.0,labmovil4-All-Series,781.6061744689941
22.0,labmovil4-All-Series,811.0785958766937
23.0,labmovil4-All-Series,842.2958343029022
24.0,labmovil4-All-Series,953.9494717121124
25.0,labmovil4-All-Series,914.2778871059418
2.0,labmovil2-All-Series,18.508700132369995
3.0,labmovil2-All-Series,18.905670404434204
4.0,labmovil2-All-Series,18.9181547164917
5.0,labmovil2-All-Series,16.982462406158447
6.0,labmovil2-All-Series,16.61995553970337
7.0,labmovil2-All-Series,17.157578468322754
8.0,labmovil2-All-Series,11.505414247512817
9.0,labmovil2-All-Series,18.348086833953857
10.0,labmovil2-All-Series,15.934419393539429
11.0,labmovil2-All-Series,15.78486704826355
12.0,labmovil2-All-Series,15.709084033966064
13.0,labmovil2-All-Series,15.61893892288208
14.0,labmovil2-All-Series,15.57851791381836
15.0,labmovil2-All-Series,16.327866554260254
16.0,labmovil2-All-Series,15.422294855117798
17.0,labmovil2-All-Series,15.38131308555603
18.0,labmovil2-All-Series,15.45855188369751
19.0,labmovil2-All-Series,15.386354923248291
20.0,labmovil2-All-Series,15.370498895645142
21.0,labmovil2-All-Series,15.40556025505066
22.0,labmovil2-All-Series,15.378623247146606
23.0,labmovil2-All-Series,15.341487169265747
24.0,labmovil2-All-Series,16.095965147018433
25.0,labmovil2-All-Series,15.317925691604614
2.0,labmovil3-All-Series,727.6152205467224
3.0,labmovil3-All-Series,800.8666656017303
4.0,labmovil3-All-Series,776.1262648105621
5.0,labmovil3-All-Series,778.2561848163605
6.0,labmovil3-All-Series,764.3548331260681
7.0,labmovil3-All-Series,765.6414532661438
8.0,labmovil3-All-Series,1726.1292779445648
9.0,labmovil3-All-Series,638.9182114601135
10.0,labmovil3-All-Series,694.3834540843964
11.0,labmovil3-All-Series,672.9915382862091
12.0,labmovil3-All-Series,687.2012631893158
13.0,labmovil3-All-Series,663.2025599479675
14.0,labmovil3-All-Series,699.6519594192505
15.0,labmovil3-All-Series,691.2145307064056
16.0,labmovil3-All-Series,679.0792508125305
17.0,labmovil3-All-Series,680.1714406013489
18.0,labmovil3-All-Series,686.2600901126862
19.0,labmovil3-All-Series,722.7124359607697
20.0,labmovil3-All-Series,744.1492300033569
21.0,labmovil3-All-Series,808.5428516864777
22.0,labmovil3-All-Series,771.251305103302
23.0,labmovil3-All-Series,828.4336109161377
24.0,labmovil3-All-Series,917.1015031337738
25.0,labmovil3-All-Series,931.1475932598114
