Iteration,Mean,Std
1.0,996.5649896462759,155.11508185073595
2.0,468.05643916130066,315.0738183204244
3.0,463.0441828568776,314.75190285563724
4.0,463.4818651676178,315.0554961252718
5.0,463.742830435435,316.0140144884249
6.0,454.37740206718445,309.53405156922366
7.0,444.783006588618,303.073529043902
8.0,447.64654699961346,305.2388708384942
9.0,427.5620228449504,290.5138742739735
10.0,423.51296575864154,288.2823366676432
11.0,400.28346967697144,271.9614504733097
12.0,408.96304257710773,278.0998017773461
13.0,425.38601779937744,289.4451483833752
14.0,420.1512327988942,286.1796111912918
15.0,408.59449513753253,278.0124802615063
16.0,446.21817390124005,304.622700441599
17.0,408.41859769821167,278.03639937908264
18.0,434.9162917137146,296.68241541396145
19.0,445.83439723650616,304.4053938696633
20.0,461.61803070704144,315.0665592182416
21.0,441.27882464726764,301.2162022779523
22.0,492.91540694236755,337.842373393858
23.0,497.5850128332774,341.51110368589354
24.0,588.4806719621023,405.30385995262156
25.0,615.072849114736,424.3843895312128
