Iteration,Mean,Std
1.0,736.6764479478201,158.5149359855011
2.0,467.4041789372762,315.9132888330905
3.0,484.4896722634633,330.2247281484792
4.0,527.6695361932119,133.3971778402765
5.0,434.9944609800975,295.24013105063517
6.0,442.9184453487396,301.6976390225036
7.0,439.6078592141469,299.61412306097304
8.0,438.0868655045827,298.73611794989904
9.0,410.4721665382385,279.7307636833489
10.0,410.4716800053914,279.263448832778
11.0,395.7854899565379,269.41922844217663
12.0,396.126900990804,268.79504708081015
13.0,407.26387842496234,277.927299960853
14.0,411.69230484962463,280.2962789699098
15.0,414.00905124346417,281.9824880831653
16.0,401.65076382954913,273.41329720619837
17.0,408.15477228164673,277.7254612676762
18.0,424.36353039741516,290.1861874531829
19.0,431.26573332150775,294.0024064486148
20.0,406.60493151346844,276.47218680165145
21.0,435.64113052686054,297.4219088309166
22.0,430.48533550898236,294.5902138721686
23.0,540.026505947113,372.20889839049335
24.0,592.1448918183645,409.62627230929985
25.0,562.5919429461161,386.90299179072315
