Iteration,Worker,Time
1.0,labmovil4-All-Series,549.9691824913025
2.0,labmovil4-All-Series,711.5835988521576
3.0,labmovil4-All-Series,741.1761782169342
4.0,labmovil4-All-Series,637.923378944397
5.0,labmovil4-All-Series,659.1488621234894
6.0,labmovil4-All-Series,674.6249310970306
7.0,labmovil4-All-Series,669.4196257591248
8.0,labmovil4-All-Series,667.4033823013306
9.0,labmovil4-All-Series,635.6539611816406
10.0,labmovil4-All-Series,623.9583456516266
11.0,labmovil4-All-Series,610.6487872600555
12.0,labmovil4-All-Series,604.8677215576172
13.0,labmovil4-All-Series,633.8700702190399
14.0,labmovil4-All-Series,625.2741868495941
15.0,labmovil4-All-Series,631.4954106807709
16.0,labmovil4-All-Series,613.9186942577362
17.0,labmovil4-All-Series,612.5838239192963
18.0,labmovil4-All-Series,666.5066301822662
19.0,labmovil4-All-Series,634.2716243267059
20.0,labmovil4-All-Series,621.7171561717987
21.0,labmovil4-All-Series,673.3298408985138
22.0,labmovil4-All-Series,681.1813831329346
23.0,labmovil4-All-Series,839.5497851371765
24.0,labmovil4-All-Series,927.941397190094
25.0,labmovil4-All-Series,842.5390229225159
1.0,labmovil2-All-Series,722.5788118839264
2.0,labmovil2-All-Series,21.301942586898804
3.0,labmovil2-All-Series,18.275756359100342
4.0,labmovil2-All-Series,339.9708297252655
5.0,labmovil2-All-Series,17.849717378616333
6.0,labmovil2-All-Series,16.797130584716797
7.0,labmovil2-All-Series,16.41177487373352
8.0,labmovil2-All-Series,16.141520500183105
9.0,labmovil2-All-Series,16.200918912887573
10.0,labmovil2-All-Series,15.978988409042358
11.0,labmovil2-All-Series,15.85539436340332
12.0,labmovil2-All-Series,16.626306295394897
13.0,labmovil2-All-Series,15.837425947189331
14.0,labmovil2-All-Series,15.702313423156738
15.0,labmovil2-All-Series,15.790573835372925
16.0,labmovil2-All-Series,15.625764608383179
17.0,labmovil2-All-Series,15.503127813339233
18.0,labmovil2-All-Series,16.347605228424072
19.0,labmovil2-All-Series,15.521513223648071
20.0,labmovil2-All-Series,16.29388427734375
21.0,labmovil2-All-Series,16.26766610145569
22.0,labmovil2-All-Series,16.972931623458862
23.0,labmovil2-All-Series,15.400157451629639
24.0,labmovil2-All-Series,15.44221806526184
25.0,labmovil2-All-Series,15.478240489959717
1.0,labmovil3-All-Series,937.4813494682312
2.0,labmovil3-All-Series,669.3269953727722
3.0,labmovil3-All-Series,694.0170822143555
4.0,labmovil3-All-Series,605.1143999099731
5.0,labmovil3-All-Series,627.9848034381866
6.0,labmovil3-All-Series,637.3332743644714
7.0,labmovil3-All-Series,632.9921770095825
8.0,labmovil3-All-Series,630.7156937122345
9.0,labmovil3-All-Series,579.5616195201874
10.0,labmovil3-All-Series,591.4777059555054
11.0,labmovil3-All-Series,560.8522882461548
12.0,labmovil3-All-Series,566.8866751194
13.0,labmovil3-All-Series,572.0841391086578
14.0,labmovil3-All-Series,594.100414276123
15.0,labmovil3-All-Series,594.7411692142487
16.0,labmovil3-All-Series,575.4078326225281
17.0,labmovil3-All-Series,596.3773651123047
18.0,labmovil3-All-Series,590.2363557815552
19.0,labmovil3-All-Series,644.0040624141693
20.0,labmovil3-All-Series,581.8037540912628
21.0,labmovil3-All-Series,617.3258845806122
22.0,labmovil3-All-Series,593.3016917705536
23.0,labmovil3-All-Series,765.129575252533
24.0,labmovil3-All-Series,833.0510601997375
25.0,labmovil3-All-Series,829.7585654258728
